ablation,method,winner_score,leading_edge_time_sigma68_ns,secondary_pulse_delay_sigma68_ns,energy_proxy_distortion_sigma68,pileup_miss_rate,false_split_rate
nominal_full_window,gradient_boosted_trees,1.6775063713650187,4.546567784504935,10.146211771764857,0.06343667995877658,0.2653061224489796,0.2193877551020408
nominal_full_window,template_residual_boosted_stack_new,1.7122925243937026,4.6283327935695775,10.43422066640726,0.06004960302011417,0.28741496598639454,0.20578231292517007
nominal_full_window,ridge,2.176721036801058,6.795094646711632,13.50003729118099,0.07314980049921532,0.2653061224489796,0.24149659863945577
nominal_full_window,mlp,2.255091010017851,6.472599816060522,12.459296095141546,0.11040280760391272,0.2857142857142857,0.20238095238095238
nominal_full_window,1d_cnn,2.275550501424874,5.888516623261591,13.915441036224362,0.09006326141873794,0.27721088435374147,0.2602040816326531
nominal_full_window,two_pulse_template_likelihood_traditional,2.590869485850404,5.711630653145326,19.999999999999993,0.07476689892996013,0.6173469387755102,0.17346938775510204
nominal_full_window,residual_tail_veto_traditional,2.6663729464289228,6.275041364727921,18.699999999999974,0.07690269702385494,0.5833333333333334,0.2465986394557823
nominal_full_window,causal_window_transformer_new,3.0364435249646102,12.618608541033957,17.140435600280764,0.09357752049542087,0.35714285714285715,0.1921768707482993
nominal_full_window,tiny_sequence_transformer,3.4169974282866074,11.373217191872518,22.435058975219725,0.10591954599781947,0.3333333333333333,0.23639455782312926
nominal_full_window,wiener_tail_deconvolution_traditional,4.9448367053543905,6.4626101109526495,26.989745580848854,0.16889615697058605,0.576530612244898,0.4574829931972789
nominal_full_window,leading_edge_cfd_traditional,5.6377639213220725,10.119724647306416,21.25,0.25552072918701174,0.05272108843537415,0.8673469387755102
