stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,1200,2.8162355356320585,5,9.2449418488512
B4,1007,2.8314282712573258,6,10.648984805926768
B6,911,3.72799135554101,8,9.52202097374206
B8,585,4.126304453747329,8,9.35872139102679
