subset,method,n,amp_bias_median_frac,amp_res68_abs_frac,amp_full_rms_frac,amp_catastrophic_rate,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,charge_catastrophic_rate,time_abs68_samples,time_bias_median_samples,tail_bias_median_frac
heldout_all,peak_calibrated,5112,0.0029012753013139166,0.17869763539960437,0.22228858817403724,0.280320813771518,-0.0017011814561861552,0.12565410628092685,0.21988958207969678,0.17625195618153364,0.06017699115044284,-0.00140350877192974,-0.012294588894434855
heldout_all,integral_calibrated,5112,0.027761564567077374,0.34503886261124456,0.37697415303533066,0.54518779342723,-0.0017011814561861552,0.12565410628092685,0.21988958207969678,0.17625195618153364,0.06017699115044284,-0.00140350877192974,-0.012294588894434855
heldout_all,interpolation_calibrated,5112,0.002900991385014158,0.1786973087713184,0.22228867484672857,0.280320813771518,-0.007036870095023452,0.10383993757326815,0.16389960102726717,0.10856807511737089,0.05172634293263617,-0.011600016249639022,0.00015992109447687808
heldout_all,adaptive_template,5112,-0.03302091094559072,0.4327030941617774,0.59445336267572,0.63302034428795,0.0163984620233899,0.376435759862442,0.5396287957824025,0.6279342723004695,3.375223003659126,-0.16959346555474486,0.06562869623000014
heldout_all,rising_edge_huber,5112,-0.0001014297814058791,0.03484148144959359,0.16998276449095528,0.07296557120500782,0.00012608118392876298,0.02368148404238189,0.15435059227589973,0.0715962441314554,0.06017699115044284,-0.00140350877192974,-0.012294588894434855
heldout_all,ml_inpaint_et,5112,-0.0011407088163968375,0.024487222729499276,0.0781953828162712,0.029147104851330204,0.00023581924192723434,0.017430883909371177,0.06664384433904007,0.025821596244131457,0.07317526488913204,-0.011747106025478127,0.0007670517836658175
heldout_all,ml_residual_hgb,5112,0.001563676514954761,0.02051927944704644,0.06854680535744528,0.017801251956181534,0.0007596204693681224,0.015400848779832745,0.07121596285780729,0.02034428794992175,0.05172634293263617,-0.011600016249639022,0.00015992109447682257
run_57,peak_calibrated,2636,0.0029147007029397065,0.1795309037914418,0.2242302029613741,0.2830045523520486,0.0003979527762237639,0.12721258149741552,0.23815714578821953,0.18361153262518967,0.058360463066344084,-0.0011696050428441351,-0.009429279319762396
run_57,integral_calibrated,2636,0.03165434952766996,0.3368428991995774,0.3779763453990774,0.5292109256449166,0.0003979527762237639,0.12721258149741552,0.23815714578821953,0.18361153262518967,0.058360463066344084,-0.0011696050428441351,-0.009429279319762396
run_57,interpolation_calibrated,2636,0.002914950761193593,0.17953053419750248,0.22423028643234078,0.2830045523520486,-0.0069893118751748655,0.10597937192661856,0.1665403868105363,0.11380880121396054,0.048202396804261305,-0.010893617021276558,0.00017665791589127622
run_57,adaptive_template,2636,-0.033721917065141764,0.42589643067079913,0.5895711053040881,0.6289833080424886,-0.003820809502960148,0.3761116193981534,0.52844751159374,0.6210166919575114,3.3654038056667837,-0.0028786856959301943,0.07064157921368402
run_57,rising_edge_huber,2636,-6.926607388869663e-05,0.03397691974042737,0.16182980247038267,0.06828528072837632,0.0003859122646450131,0.023124002855088116,0.14469396447352614,0.06562974203338391,0.058360463066344084,-0.0011696050428441351,-0.009429279319762396
run_57,ml_inpaint_et,2636,-0.00024120064455170471,0.024256405572919783,0.07940849505067818,0.025796661608497723,-0.00011414951736636787,0.01739228499680184,0.07189714354919775,0.023520485584218515,0.06980472595946595,-0.010111857826865744,0.0005510751148553594
run_57,ml_residual_hgb,2636,0.0015636765149546878,0.019328435334288827,0.06029478495548741,0.01251896813353566,0.00098969505396299,0.01484657494907631,0.06678328253548735,0.015933232169954476,0.048202396804261305,-0.010893617021276447,0.00017665791589127622
run_65,peak_calibrated,2476,0.0028800897477046887,0.17833292194246456,0.22020269116777194,0.27746365105008075,-0.0035200453475830763,0.12403674523050938,0.19860343981355896,0.1684168012924071,0.06251097453906952,-0.0019773265223610448,-0.015658530756788802
run_65,integral_calibrated,2476,0.02162788979279339,0.354886152159493,0.37590426215700556,0.5621970920840065,-0.0035200453475830763,0.12403674523050938,0.19860343981355896,0.1684168012924071,0.06251097453906952,-0.0019773265223610448,-0.015658530756788802
run_65,interpolation_calibrated,2476,0.0028806200461798095,0.17833208714155696,0.22020278131883364,0.27746365105008075,-0.007251720218752304,0.10109381004785231,0.16104058153546008,0.10298869143780291,0.054263565891472985,-0.012749003984064089,0.00014905839601492277
run_65,adaptive_template,2476,-0.03248691110205747,0.4380683714805761,0.5996074251203996,0.6373182552504039,0.036816921102816445,0.3769329595385404,0.5512834373357599,0.6352988691437803,3.375223003659126,-0.30960142678755354,0.06364949719071256
run_65,rising_edge_huber,2476,-0.00013592131356614516,0.035402490338519596,0.17825321886720502,0.07794830371567044,-0.0002836598801717153,0.02404140323830062,0.16400754715050161,0.07794830371567044,0.06251097453906952,-0.0019773265223610448,-0.015658530756788802
run_65,ml_inpaint_et,2476,-0.0019722372634595766,0.024996706843179985,0.07688284502115104,0.0327140549273021,0.0005877917114651804,0.01747651808075445,0.060552243627170085,0.02827140549273021,0.07562649767159081,-0.01336038919178728,0.0009614084945678558
run_65,ml_residual_hgb,2476,0.0015761040143968538,0.02161926517949639,0.07635818581028493,0.023424878836833602,0.000584356285417039,0.01584494252309528,0.0756501725001865,0.025040387722132473,0.054263565891472985,-0.012749003984064089,0.00014905839601492277
stave_B2,peak_calibrated,1800,0.0014414212761048612,0.18853774311049917,0.2315400397741124,0.28944444444444445,-0.00696301634676839,0.11809441809965987,0.20918731330188806,0.17444444444444446,0.07655293571159388,-0.0011737089201870887,0.0
stave_B2,integral_calibrated,1800,0.01437894895390532,0.36670170309507744,0.4160472388445514,0.635,-0.00696301634676839,0.11809441809965987,0.20918731330188806,0.17444444444444446,0.07655293571159388,-0.0011737089201870887,0.0
stave_B2,interpolation_calibrated,1800,0.0014410124027582115,0.18853720233372367,0.23154016116366924,0.28944444444444445,-0.009444920177399799,0.10033383871257304,0.1659182271460778,0.12166666666666667,0.06470326065355353,-0.018032786885246566,0.0013340135467184433
stave_B2,adaptive_template,1800,-0.06747164011908983,0.47781388696627064,0.7439303196126845,0.7355555555555555,0.007450823792707732,0.40891845022571355,0.6013967567079254,0.7461111111111111,2.4405612573173623,-0.18793808320686978,0.04936249828633005
stave_B2,rising_edge_huber,1800,0.000243513897619749,0.03718947444269214,0.161075811598943,0.07166666666666667,0.0002295431134128386,0.027210855465757824,0.14872881597727564,0.059444444444444446,0.07655293571159388,-0.0011737089201870887,0.0
stave_B2,ml_inpaint_et,1800,-0.008081438137828885,0.03259292525697444,0.08730816590484565,0.044444444444444446,-0.003048825018890939,0.02241942085255847,0.06803496613590056,0.026111111111111113,0.08702273670982547,-0.020469158747870253,0.0005799847718341855
stave_B2,ml_residual_hgb,1800,0.001161532564206902,0.02225801349636394,0.07245664043895941,0.02,0.0002890743802364801,0.016728785508303416,0.06663232186133139,0.016666666666666666,0.06470326065355353,-0.018032786885246566,0.001334013546718471
stave_B4,peak_calibrated,1376,0.0029813362052271896,0.18861094156123392,0.22575249798398944,0.29941860465116277,0.005309169437559682,0.1411262651254855,0.24250721513698736,0.18023255813953487,0.05701149425287433,-0.002132951653944559,-0.009496351127713631
stave_B4,integral_calibrated,1376,0.06016412178805612,0.3395562171936036,0.3554081871640121,0.5523255813953488,0.005309169437559682,0.1411262651254855,0.24250721513698736,0.18023255813953487,0.05701149425287433,-0.002132951653944559,-0.009496351127713631
stave_B4,interpolation_calibrated,1376,0.0029817375999317743,0.18861103153478842,0.2257526653302674,0.29941860465116277,-0.0008281861109649788,0.11859638577031568,0.16821447624255478,0.125,0.04595185995623659,-0.009048002381923936,0.00029616849788854926
stave_B4,adaptive_template,1376,-0.01851551295134872,0.39944036166638475,0.5100137406691905,0.622093023255814,0.029745962944716778,0.37156146487099023,0.4922294180537811,0.5835755813953488,3.711064698822896,-0.15632457441238135,0.07097698483536541
stave_B4,rising_edge_huber,1376,-0.0002348072729103208,0.035977721459286155,0.1657867849525976,0.07412790697674419,-0.00022235592361615896,0.022735667146909104,0.1439833043316421,0.06686046511627906,0.05701149425287433,-0.002132951653944559,-0.009496351127713631
stave_B4,ml_inpaint_et,1376,0.0037320091735681933,0.01856035207437083,0.07122720125597543,0.0188953488372093,0.0022680974693297866,0.013879764877268172,0.06155161164891067,0.025436046511627907,0.05680091831314816,-0.0014194706233214838,0.0010852477678190142
stave_B4,ml_residual_hgb,1376,0.0018549118925007156,0.019493279363280137,0.06602366201901479,0.013808139534883721,0.0009690586705127528,0.01412513245613792,0.07956091717302616,0.020348837209302327,0.04595185995623659,-0.009048002381923936,0.000296168497888577
stave_B6,peak_calibrated,1112,0.0035795681933738243,0.15923738227217654,0.2148213991508652,0.2643884892086331,-0.002174530669706878,0.12525853575722634,0.2215545289667854,0.16906474820143885,0.04319716578053852,-0.0019103600293899348,-0.03553664706514237
stave_B6,integral_calibrated,1112,0.01487275966127477,0.3086356716455431,0.3355503821346294,0.4595323741007194,-0.002174530669706878,0.12525853575722634,0.2215545289667854,0.16906474820143885,0.04319716578053852,-0.0019103600293899348,-0.03553664706514237
stave_B6,interpolation_calibrated,1112,0.003579728594019679,0.15923764299150428,0.21482148101693302,0.2643884892086331,-0.00896845085380914,0.09930087009758103,0.16269558624334787,0.08723021582733813,0.03726029071338815,-0.010264635124298316,-8.416617965173456e-05
stave_B6,adaptive_template,1112,-0.012628763985671872,0.3740161562117344,0.4500205440647284,0.5404676258992805,0.015961645467234088,0.34605960791236723,0.5154439630843133,0.5251798561151079,3.6522827603221257,-0.0735349535956833,0.09038829365784523
