run,method,n,knee_adc,knee_adc_ci95,xk_b2_amp_adc,post_to_pre_slope_ratio,bootstrap_reps_ok,fit_status,train_positive_frac
31,ml_waveform_classifier,26427,8768.25,"[8746.9375, 9261.099999999999]",,,80,ok,0.021491666666666666
31,traditional_duplicate_piecewise,26427,7307.059240506328,"[7028.26517721519, 7372.722042721519]",7307.059240506328,1.3526173978910385,80,ok,
32,ml_waveform_classifier,26774,8948.75,"[8824.45625, 9090.525]",,,80,ok,0.020508333333333333
32,traditional_duplicate_piecewise,26774,7118.322531645569,"[6879.5269936708855, 7348.722249999999]",7118.322531645569,1.3919863342599155,80,ok,
33,ml_waveform_classifier,47555,8732.5,"[8712.9625, 8754.75]",,,80,ok,0.022183333333333333
33,traditional_duplicate_piecewise,47555,7261.567088607595,"[7178.213085443038, 7361.466471518987]",7261.567088607595,1.53241903310591,80,ok,
34,ml_waveform_classifier,33270,9124.0,"[9108.0, 9146.5375]",,,80,ok,0.021766666666666667
34,traditional_duplicate_piecewise,33270,7112.201518987342,"[7004.264952531646, 7171.562468354429]",7112.201518987342,1.4852567734950686,80,ok,
35,ml_waveform_classifier,10639,8935.0,"[8857.51875, 9044.025]",,,80,ok,0.022108333333333334
35,traditional_duplicate_piecewise,10639,2645.9,"[2589.5675, 6800.451499999999]",2645.9,1.554168984414455,79,ok,
36,ml_waveform_classifier,9501,8747.25,"[8611.375, 9180.8]",,,80,ok,0.021708333333333333
36,traditional_duplicate_piecewise,9501,2897.75,"[2856.92, 7728.515262658228]",2897.75,1.3881683973134467,80,ok,
37,ml_waveform_classifier,21884,9194.5,"[8763.475, 9230.075]",,,80,ok,0.021883333333333334
37,traditional_duplicate_piecewise,21884,2907.4500000000003,"[2862.78, 2942.36]",2907.4500000000003,1.1384745161708594,57,ok,
39,ml_waveform_classifier,12490,9071.5,"[9023.9125, 9115.51875]",,,80,ok,0.021266666666666666
39,traditional_duplicate_piecewise,12490,2822.4,"[2775.8, 5171.78]",2822.4,1.1663862573644972,61,ok,
40,ml_waveform_classifier,12889,8952.0,"[8905.425, 9005.8375]",,,80,ok,0.021016666666666666
40,traditional_duplicate_piecewise,12889,2668.8,"[2617.46, 2713.5313670886076]",2668.8,1.4308866959009872,80,ok,
41,ml_waveform_classifier,14229,9147.0,"[9094.45625, 9177.7]",,,80,ok,0.021558333333333332
41,traditional_duplicate_piecewise,14229,2793.6,"[2741.3050000000003, 2834.2425]",2793.6,1.259847346870495,75,ok,
42,ml_waveform_classifier,16308,8811.0,"[8694.6125, 9335.0]",,,80,ok,0.021225
42,traditional_duplicate_piecewise,16308,,"[nan, nan]",,,0,no stable constrained duplicate-ratio bend: no constrained piecewise duplicate-proxy knee fit,
44,ml_waveform_classifier,1774,9087.5,"[8800.84375, 9215.06875]",,,80,ok,0.021516666666666667
44,traditional_duplicate_piecewise,1774,,"[nan, nan]",,,0,no stable constrained duplicate-ratio bend: too few populated duplicate-proxy bins: 0,
45,ml_waveform_classifier,21677,8863.5,"[8693.78125, 9265.30625]",,,80,ok,0.020933333333333335
45,traditional_duplicate_piecewise,21677,3027.8,"[3001.815, 7582.332430379746]",3027.8,1.095219477209912,42,ok,
46,ml_waveform_classifier,661,,"[nan, nan]",,,0,ok,0.021483333333333333
46,traditional_duplicate_piecewise,661,,"[nan, nan]",,,0,no stable constrained duplicate-ratio bend: too few populated duplicate-proxy bins: 0,
47,ml_waveform_classifier,5033,8831.75,"[8592.55, 9267.1375]",,,80,ok,0.021591666666666665
47,traditional_duplicate_piecewise,5033,6827.131075949366,"[3332.2452753164557, 7499.4069240506315]",6827.131075949366,1.7179998858482164,80,ok,
48,ml_waveform_classifier,12374,9032.5,"[8955.33125, 9087.84375]",,,80,ok,0.021133333333333334
48,traditional_duplicate_piecewise,12374,2690.8,"[2660.9375, 2750.6572120253163]",2690.8,1.4409965561543645,80,ok,
49,ml_waveform_classifier,13081,9014.25,"[8961.4625, 9076.725]",,,80,ok,0.021966666666666666
49,traditional_duplicate_piecewise,13081,2705.5,"[2649.28125, 2765.99375]",2705.5,1.1067641349850197,54,ok,
50,ml_waveform_classifier,33796,9379.5,"[9370.275, 9386.025]",,,80,ok,0.020725
50,traditional_duplicate_piecewise,33796,7137.151518987343,"[6986.8530379746835, 7290.9796455696205]",7137.151518987343,1.7068239025691927,80,ok,
51,ml_waveform_classifier,13969,9342.5,"[9321.06875, 9363.025]",,,80,ok,0.0208
51,traditional_duplicate_piecewise,13969,7487.016202531646,"[7086.823037974683, 7679.556712025316]",7487.016202531646,1.6303488007147384,80,ok,
52,ml_waveform_classifier,6792,8803.5,"[8733.23125, 9374.5125]",,,80,ok,0.0213
52,traditional_duplicate_piecewise,6792,7374.877848101265,"[6867.267591772153, 7519.773398734176]",7374.877848101265,1.7043854359804322,80,ok,
53,ml_waveform_classifier,30941,9004.5,"[8981.0, 9030.00625]",,,80,ok,0.0221
53,traditional_duplicate_piecewise,30941,7263.48253164557,"[7154.152284810127, 7397.096498417722]",7263.48253164557,1.5579742503411376,80,ok,
54,ml_waveform_classifier,29251,9014.25,"[8992.475, 9036.0]",,,80,ok,0.022025
54,traditional_duplicate_piecewise,29251,7330.75746835443,"[7131.430335443038, 7430.827159810126]",7330.75746835443,1.63197802582959,80,ok,
55,ml_waveform_classifier,16444,9304.5,"[9151.475, 9314.5125]",,,80,ok,0.021241666666666666
55,traditional_duplicate_piecewise,16444,7217.825696202532,"[6990.204148734178, 7488.674650316456]",7217.825696202532,1.7110960626250102,80,ok,
56,ml_waveform_classifier,38356,9369.0,"[9356.425, 9383.26875]",,,80,ok,0.020133333333333333
56,traditional_duplicate_piecewise,38356,7053.397088607595,"[6777.72035443038, 7152.342838607594]",7053.397088607595,1.7124079064869016,80,ok,
57,ml_waveform_classifier,12110,8979.0,"[8908.66875, 9020.2]",,,80,ok,0.021408333333333335
57,traditional_duplicate_piecewise,12110,2676.4,"[2640.825, 2735.2775]",2676.4,1.0927658983178412,47,ok,
58,ml_waveform_classifier,15599,8459.5,"[8379.475, 8508.5375]",,,80,ok,0.022366666666666667
58,traditional_duplicate_piecewise,15599,2843.6736708860763,"[2771.7947120253166, 2910.064588607595]",2843.6736708860763,2.841217931259149,80,ok,
59,ml_waveform_classifier,13118,8300.5,"[8151.7, 8437.68125]",,,80,ok,0.0216
59,traditional_duplicate_piecewise,13118,2497.346835443038,"[2203.9825743670885, 2752.7972373417715]",2497.346835443038,2.4557023587997944,80,ok,
60,ml_waveform_classifier,9444,7488.5,"[7310.325, 7684.099999999999]",,,80,ok,0.021858333333333334
60,traditional_duplicate_piecewise,9444,2774.7111392405063,"[2625.5488401898733, 2855.5480205696203]",2774.7111392405063,2.9221885992412235,80,ok,
61,ml_waveform_classifier,10594,7548.0,"[7433.9875, 7669.5375]",,,80,ok,0.021425
61,traditional_duplicate_piecewise,10594,2576.068101265823,"[2363.395916139241, 2756.1299430379745]",2576.068101265823,2.8547000433297884,80,ok,
62,ml_waveform_classifier,11223,7763.5,"[7654.73125, 7895.775]",,,80,ok,0.022091666666666666
62,traditional_duplicate_piecewise,11223,2556.5429113924047,"[2486.8578338607595, 2733.0084145569617]",2556.5429113924047,2.9653658376611682,80,ok,
63,ml_waveform_classifier,14192,8527.75,"[8418.0, 8623.075]",,,80,ok,0.021875
63,traditional_duplicate_piecewise,14192,2729.325189873418,"[2673.1522943037976, 2832.0081756329114]",2729.325189873418,2.876018737399482,80,ok,
64,ml_waveform_classifier,11556,8176.5,"[8036.9625, 8292.23125]",,,80,ok,0.021316666666666668
64,traditional_duplicate_piecewise,11556,2924.8975949367086,"[2808.0472072784805, 3018.3259113924046]",2924.8975949367086,2.9043109664895894,80,ok,
65,ml_waveform_classifier,11436,7480.5,"[7346.6875, 7578.425]",,,80,ok,0.022241666666666667
65,traditional_duplicate_piecewise,11436,3035.6403797468347,"[2877.1699177215187, 3091.4767943037973]",3035.6403797468347,2.8721087166047976,80,ok,
