fold,train_eval_run_overlap,train_eval_key_overlap,waveform_hash_overlap_count,waveform_hash_overlap_frac_eval_unique,uses_run_or_event_features,uses_other_stave_features,target_proximal_features_ablated_in_amp_monotone,nn_train_sample,nn_eval_sample,nn_distance_min,nn_distance_p01,nn_distance_p05,nn_distance_median,nn_distance_p95,nn_exact_like_count,nn_eval_indices_with_exact_like,nn_nearest_train_indices_for_exact_like,nn_frac_dist_le_1e-06,nn_frac_dist_le_0.001,nn_frac_dist_le_0.01
holdout_sample_i,[],0,0,0.0,False,False,True,14630,16000,0.007514782491860471,0.017712960648720372,0.023167714153482257,0.04942530562023187,0.20127232444279577,0,[],[],0.0,0.0,0.0001875
holdout_sample_ii,[],0,0,0.0,False,False,True,16000,16000,0.009124191425736864,0.01807730960394245,0.025049055799473707,0.05247922367573006,0.3111692678770403,0,[],[],0.0,0.0,0.000125
