method,metric,value,ci_low,ci_high,n_bootstrap,n_finite
constrained_template_fit,resolvable_delay_ns,,15.0,60.0,400,129
compact_mlp_classifier_regressor,resolvable_delay_ns,40.0,15.0,60.0,400,192
