threshold,label,requirement,constraint_family,mu_max,tau_eff_ns,tau_eff_ci95_low_ns,tau_eff_ci95_high_ns,Rmax_MHz,Rmax_ci95_low_MHz,Rmax_ci95_high_MHz,original_90ns_Rmax_MHz,original_report_Rmax_MHz,Rmax_vs_90ns_ratio
5pct,5%,timing_lt_1ns,timing,0.425,141.0557117938371,139.2598563585671,142.98075985134827,3.0129939057070407,2.972427901781027,3.0518486167737198,4.722222222222222,4.72,0.6380457682673734
5pct,5%,peak_amp_lt_10pct,amplitude,0.385,141.0557117938371,139.2598563585671,142.98075985134827,2.72941800869932,2.6926699816134008,2.764615805783252,4.277777777777778,4.28,0.6380457682673735
5pct,5%,charge_area_lt_20pct,charge,0.445,141.0557117938371,139.2598563585671,142.98075985134827,3.154781854210902,3.1123068618648397,3.195465022268954,4.944444444444445,4.94,0.6380457682673734
5pct,5%,combined_dt1ns_area20pct,combined,0.38,141.0557117938371,139.2598563585671,142.98075985134827,2.6939710215733546,2.6577002415924476,2.7287117044094438,4.222222222222222,4.22,0.6380457682673735
10pct,10%,timing_lt_1ns,timing,0.425,124.79018394263471,123.33381704737772,126.29185469184856,3.40571659222307,3.365220987822197,3.4459324309790844,4.722222222222222,4.72,0.7212105724707678
10pct,10%,peak_amp_lt_10pct,amplitude,0.385,124.79018394263471,123.33381704737772,126.29185469184856,3.08517856001384,3.0484943066154018,3.1216093786516415,4.277777777777778,4.28,0.7212105724707678
10pct,10%,charge_area_lt_20pct,charge,0.445,124.79018394263471,123.33381704737772,126.29185469184856,3.5659856083276855,3.5235843284255948,3.608093957142806,4.944444444444445,4.94,0.7212105724707678
10pct,10%,combined_dt1ns_area20pct,combined,0.38,124.79018394263471,123.33381704737772,126.29185469184856,3.045111305987686,3.0089034714645524,3.081068997110711,4.222222222222222,4.22,0.7212105724707678
20pct,20%,timing_lt_1ns,timing,0.425,101.86521002119034,100.94179200771904,102.86034408128886,4.172180079063206,4.131815849887974,4.210347285765445,4.722222222222222,4.72,0.8835204873310318
20pct,20%,peak_amp_lt_10pct,amplitude,0.385,101.86521002119034,100.94179200771904,102.86034408128886,3.7795043069160807,3.7429390640161646,3.8140793059286975,4.277777777777778,4.28,0.8835204873310318
20pct,20%,charge_area_lt_20pct,charge,0.445,101.86521002119034,100.94179200771904,102.86034408128886,4.3685179651367685,4.326254242823879,4.408481275683818,4.944444444444445,4.94,0.8835204873310318
20pct,20%,combined_dt1ns_area20pct,combined,0.38,101.86521002119034,100.94179200771904,102.86034408128886,3.73041983539769,3.694329465782189,3.7645458084491037,4.222222222222222,4.22,0.8835204873310318
noise_floor,noise floor,timing_lt_1ns,timing,0.425,161.18335762759685,158.89151702827075,163.58475111203617,2.6367486461098144,2.59804167020999,2.6747809319762608,4.722222222222222,4.72,0.5583703015291371
noise_floor,noise floor,peak_amp_lt_10pct,amplitude,0.385,161.18335762759685,158.89151702827075,163.58475111203617,2.38858406765242,2.35352010124905,2.423036844260848,4.277777777777778,4.28,0.5583703015291371
noise_floor,noise floor,charge_area_lt_20pct,charge,0.445,161.18335762759685,158.89151702827075,163.58475111203617,2.7608309353385114,2.72030245469046,2.8006529758339673,4.944444444444445,4.94,0.5583703015291371
noise_floor,noise floor,combined_dt1ns_area20pct,combined,0.38,161.18335762759685,158.89151702827075,163.58475111203617,2.3575634953452456,2.322954905128932,2.3915688332964216,4.222222222222222,4.22,0.5583703015291371
