target,label,threshold_fraction,traditional_tau_eff_ns,traditional_tau_eff_ci95_low_ns,traditional_tau_eff_ci95_high_ns,ml_tau_eff_ns,ml_tau_eff_ci95_low_ns,ml_tau_eff_ci95_high_ns,ml_mean_mae_ns,ml_mean_r2,n_heldout_runs
5pct,5%,0.05,141.0557117938371,139.2598563585671,142.98075985134827,124.75498010671699,122.58264663452314,126.79522914272805,4.019799320644711,0.8840212513190387,14
10pct,10%,0.1,124.79018394263471,123.33381704737772,126.29185469184856,123.21520754849443,120.70371653447759,125.69832998487682,4.16185060678477,0.8839928589969487,14
20pct,20%,0.2,101.86521002119034,100.94179200771904,102.86034408128886,119.1803543650311,115.67543280633839,122.46134962688893,4.228352460388814,0.8895180479068567,14
noise_floor,noise floor,0.006727491100764061,161.18335762759685,158.89151702827075,163.58475111203617,120.29899988935708,116.96681194888943,123.29863601946481,7.151486322653677,0.8150978473339945,14
