atom,level,n,high_q,rate,enrichment_vs_heldout
amp_bin,6,2,2,1.0,0.8756438356164383
amp_bin,0,3241,1398,0.43134834927491517,0.3069921848913535
amp_bin,1,5248,1383,0.26352896341463417,0.13917279903107252
amp_bin,5,861,141,0.16376306620209058,0.03940690181852893
amp_bin,2,12382,951,0.07680503957357454,-0.047551124809987105
amp_bin,4,3654,189,0.05172413793103448,-0.07263202645252717
amp_bin,3,11112,475,0.04274658027357811,-0.08160958410998354
baseline_atom,1,6165,3916,0.635198702351987,0.5108425379684254
baseline_atom,0,30335,623,0.02053733311356519,-0.10381883126999646
delayed_peak_atom,0,19940,4149,0.20807422266800402,0.08371805828444237
delayed_peak_atom,1,16560,390,0.02355072463768116,-0.10080543974588049
dropout_atom,1,6040,3558,0.5890728476821192,0.46471668329855753
dropout_atom,0,30460,981,0.03220617202889035,-0.0921499923546713
group,sample_ii_analysis,36500,4539,0.12435616438356165,0.0
peak_phase_bin,early,4095,2915,0.7118437118437119,0.5874875474601502
peak_phase_bin,nominal,6993,880,0.12584012584012583,0.0014839614565641812
peak_phase_bin,very_late,7376,306,0.04148590021691974,-0.08287026416664191
peak_phase_bin,late,18036,438,0.02428476380572189,-0.10007140057783975
run,59,6319,901,0.1425858521918025,0.018229687808240858
run,62,6329,862,0.1361984515721283,0.011842287188566641
run,60,6327,830,0.1311838153943417,0.006827651010780061
run,63,5206,682,0.13100268920476374,0.006646524821202093
run,61,6459,810,0.12540640966093822,0.0010502452773765714
run,65,3070,297,0.09674267100977199,-0.027613493373789655
run,58,2790,157,0.056272401433691756,-0.0680837629498699
saturation_atom,1,863,143,0.1657010428736964,0.04134487849013477
saturation_atom,0,35637,4396,0.12335494009035552,-0.001001224293206121
stave,B4,10433,1367,0.13102655036902136,0.006670385985459715
stave,B8,4506,567,0.12583222370173103,0.0014760593181693815
stave,B2,12600,1523,0.12087301587301587,-0.0034831485105457777
stave,B6,8961,1082,0.12074545251646021,-0.003610711867101435
topology_atom,downstream_B468,23900,3016,0.12619246861924685,0.0018363042356852044
topology_atom,upstream_B2,12600,1523,0.12087301587301587,-0.0034831485105457777
