stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,832,2.6375135759523634,5,9.163943771346622
B4,812,2.985830148329753,6,10.797102459218154
B6,779,3.7581403117552807,6,9.778624581643673
B8,485,4.243224975808163,8,9.250838692438856
