method,feature_set,alpha,fold,sigma68_ns,n_estimators,max_depth,min_samples_leaf
traditional,amp_poly,0.01,1,2.246616393466756,,,
traditional,amp_poly,0.01,2,2.0341452915190392,,,
traditional,amp_poly,0.01,3,2.121058314678017,,,
traditional,amp_poly,0.01,4,1.9860153899930864,,,
traditional,amp_poly,0.01,5,2.1106638754228504,,,
traditional,amp_poly,0.01,-1,2.09969985301595,,,
traditional,amp_poly,0.1,1,2.2451725128616262,,,
traditional,amp_poly,0.1,2,2.03396612680713,,,
traditional,amp_poly,0.1,3,2.12001157380777,,,
traditional,amp_poly,0.1,4,1.985961873287781,,,
traditional,amp_poly,0.1,5,2.1115835397131817,,,
traditional,amp_poly,0.1,-1,2.099339125295498,,,
traditional,amp_poly,1.0,1,2.2450129162692183,,,
traditional,amp_poly,1.0,2,2.0224515190155574,,,
traditional,amp_poly,1.0,3,2.115414132060348,,,
traditional,amp_poly,1.0,4,1.9858143405819988,,,
traditional,amp_poly,1.0,5,2.112771037521825,,,
traditional,amp_poly,1.0,-1,2.0962927890897896,,,
traditional,amp_poly,10.0,1,2.2683327276534984,,,
traditional,amp_poly,10.0,2,2.0215259909709924,,,
traditional,amp_poly,10.0,3,2.1073152437040865,,,
traditional,amp_poly,10.0,4,1.964336854577087,,,
traditional,amp_poly,10.0,5,2.116562461367278,,,
traditional,amp_poly,10.0,-1,2.0956146556545887,,,
traditional,amp_poly,100.0,1,2.1787211628766134,,,
traditional,amp_poly,100.0,2,1.9902928238439028,,,
traditional,amp_poly,100.0,3,2.034937249524649,,,
traditional,amp_poly,100.0,4,1.8600367435628071,,,
traditional,amp_poly,100.0,5,2.0305560558699236,,,
traditional,amp_poly,100.0,-1,2.018908807135579,,,
traditional,amp_poly,1000.0,1,1.598434099005887,,,
traditional,amp_poly,1000.0,2,1.4332691618934692,,,
traditional,amp_poly,1000.0,3,1.5555683903758992,,,
traditional,amp_poly,1000.0,4,1.4670604779301146,,,
traditional,amp_poly,1000.0,5,1.6633507356036037,,,
traditional,amp_poly,1000.0,-1,1.543536572961795,,,
traditional,amp_poly_by_stave,0.01,1,2.1260092867415965,,,
traditional,amp_poly_by_stave,0.01,2,2.1644755961634994,,,
traditional,amp_poly_by_stave,0.01,3,2.181491360398232,,,
traditional,amp_poly_by_stave,0.01,4,2.1686515225701744,,,
traditional,amp_poly_by_stave,0.01,5,2.330459226248566,,,
traditional,amp_poly_by_stave,0.01,-1,2.1942173984244135,,,
traditional,amp_poly_by_stave,0.1,1,2.1274079138824105,,,
traditional,amp_poly_by_stave,0.1,2,2.16510296623805,,,
traditional,amp_poly_by_stave,0.1,3,2.1848165728876476,,,
traditional,amp_poly_by_stave,0.1,4,2.1679035768096804,,,
traditional,amp_poly_by_stave,0.1,5,2.3296264417545687,,,
traditional,amp_poly_by_stave,0.1,-1,2.1949714943144714,,,
traditional,amp_poly_by_stave,1.0,1,2.1264784339517653,,,
traditional,amp_poly_by_stave,1.0,2,2.175050108695316,,,
traditional,amp_poly_by_stave,1.0,3,2.189574319571492,,,
traditional,amp_poly_by_stave,1.0,4,2.159441715944803,,,
traditional,amp_poly_by_stave,1.0,5,2.3223297351802192,,,
traditional,amp_poly_by_stave,1.0,-1,2.194574862668719,,,
traditional,amp_poly_by_stave,10.0,1,2.087997981010401,,,
traditional,amp_poly_by_stave,10.0,2,2.144426670882096,,,
traditional,amp_poly_by_stave,10.0,3,2.103470218283734,,,
traditional,amp_poly_by_stave,10.0,4,2.129811946569862,,,
traditional,amp_poly_by_stave,10.0,5,2.2589683231990105,,,
traditional,amp_poly_by_stave,10.0,-1,2.1449350279890207,,,
traditional,amp_poly_by_stave,100.0,1,2.2103989362515755,,,
traditional,amp_poly_by_stave,100.0,2,2.0823757171339605,,,
traditional,amp_poly_by_stave,100.0,3,1.9991166584772488,,,
traditional,amp_poly_by_stave,100.0,4,2.061276643706737,,,
traditional,amp_poly_by_stave,100.0,5,2.1240969813636004,,,
traditional,amp_poly_by_stave,100.0,-1,2.0954529873866243,,,
traditional,amp_poly_by_stave,1000.0,1,2.05636981095103,,,
traditional,amp_poly_by_stave,1000.0,2,1.8952277686330423,,,
traditional,amp_poly_by_stave,1000.0,3,1.9021622981433506,,,
traditional,amp_poly_by_stave,1000.0,4,1.7470813486154362,,,
traditional,amp_poly_by_stave,1000.0,5,1.990092686302545,,,
traditional,amp_poly_by_stave,1000.0,-1,1.9181867825290808,,,
traditional,amp_bin_by_stave,0.01,1,2.3524783283760438,,,
traditional,amp_bin_by_stave,0.01,2,2.1571275171747573,,,
