method,metric,value,ci_low,ci_high,n_bootstrap,n_finite
amp_binned_asymmetric_template_fit,resolvable_delay_ns,,50.0,60.0,400,115
compact_mlp_classifier_regressor,resolvable_delay_ns,,22.5,60.0,400,26
