event_id,split,source_run,stave,is_overlap,true_t1_sample,true_t2_sample,true_amp1_adc,true_amp2_adc,true_sep_sample,true_ratio,generation_family,secondary_generation_family
train:58:0,train,58,B6,1,7.208157896127053,8.026702490583943,2476.8457934250255,657.1012683689653,1.0,0.25,train_family_0,train_family_0
train:58:1,train,58,B4,1,4.272974296630867,9.935091270854766,2481.8045050863398,2454.1281252465624,6.0,1.0,train_family_0,train_family_1
train:58:2,train,58,B8,1,7.4288791717211105,9.367624687095056,2909.050590431373,1356.2420341349427,2.0,0.5,train_family_0,train_family_0
train:58:3,train,58,B4,1,5.1194213549049055,6.982069750530607,3420.4126244360536,2434.6897400881157,2.0,0.75,train_family_0,train_family_0
train:58:4,train,58,B2,1,6.6255771663848,10.757091117924796,6269.686002959456,4246.878812742038,4.0,0.75,train_family_0,train_family_0
train:58:5,train,58,B6,1,7.859509242025222,10.92516625697079,3041.400800339326,2828.099579521612,3.0,1.0,train_family_0,train_family_0
train:58:6,train,58,B8,1,6.878100752260514,7.110948452579281,3465.138869802113,747.9023671968213,0.5,0.25,train_family_0,train_family_1
train:58:7,train,58,B4,1,9.107318846331403,9.757267962344551,2850.7740334196537,728.8085841741255,0.5,0.25,train_family_0,train_family_0
train:58:8,train,58,B4,1,4.801188802890611,6.751617637444546,3550.9514638816677,4010.349209106368,2.0,1.0,train_family_1,train_family_1
train:58:9,train,58,B4,1,6.508180681706487,7.838377070914275,2488.3166868432822,1107.5327864914914,1.5,0.5,train_family_0,train_family_0
train:58:10,train,58,B6,1,5.3867880957873755,6.549232873485892,3025.834867171314,3436.9430110261164,1.0,1.0,train_family_0,train_family_0
train:58:11,train,58,B2,1,7.031047344522912,7.302746239683695,5401.807129776079,1241.5945605701452,0.5,0.25,train_family_0,train_family_1
train:58:12,train,58,B6,1,5.796027209939563,6.478618195460497,3361.354921105803,2635.5925802506254,0.75,0.75,train_family_0,train_family_1
train:58:13,train,58,B8,1,9.898427335296214,10.235426871506792,3581.4712541890085,1685.1748783132691,0.5,0.5,train_family_0,train_family_0
train:58:14,train,58,B6,1,10.452127468765648,11.284033379773792,3551.195345598989,3999.6036567187825,0.5,1.0,train_family_1,train_family_0
train:58:15,train,58,B4,1,6.809739802045005,8.619886999275163,3498.5858103154414,3301.317640872762,1.5,1.0,train_family_1,train_family_0
train:58:16,train,58,B4,1,4.65185864346413,9.85231377163298,4831.495402647433,4612.475887125254,5.0,1.0,train_family_0,train_family_0
train:58:17,train,58,B4,1,4.47695106836022,8.50587849771649,4108.295510848007,3544.748913730821,4.0,1.0,train_family_1,train_family_1
