stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area,family,source_runs
B2,660,4.033673172491125,7,8.89025463494043,train_family_0,58 59 60
B4,660,4.339908282623446,8,8.896384071430544,train_family_0,58 59 60
B6,628,5.249159307407638,9,8.222325896596706,train_family_0,58 59 60
B8,511,5.251744414355051,9,9.074441174655764,train_family_0,58 59 60
B2,440,4.124399919528225,8,8.888915999240814,train_family_1,61 62
B4,440,4.7240988274975875,8,8.671685544568406,train_family_1,61 62
B6,440,5.438400730424984,9,8.214895332258196,train_family_1,61 62
B8,440,5.318231366941377,9,9.157264955735544,train_family_1,61 62
B2,220,3.8898738414369904,7,8.480804995936001,heldout_family_0,63
B4,220,4.456916131201724,8,8.663472553587605,heldout_family_0,63
B6,220,5.487864802635476,9,8.030316967058964,heldout_family_0,63
B8,220,5.483140052746545,10,8.727958151939898,heldout_family_0,63
B2,220,4.151620424966565,7,8.226870863814923,heldout_family_1,65
B4,220,4.342026890112088,8,8.596591882778858,heldout_family_1,65
B6,220,5.255719877174824,9,7.947318676870635,heldout_family_1,65
B8,68,5.863401269723942,9,8.217695745507141,heldout_family_1,65
