delay_sample,delay_ns,method,n_positive,timing_bias_ns,abs_timing_bias_ns,area_bias_fraction,abs_area_bias_fraction,time_sigma68_ns,area_res68_fraction,passes_bias_criteria,timing_bias_requirement_ns,area_bias_requirement_fraction
0.5,5.0,amp_binned_asymmetric_template_fit,53,0.6239363151946797,0.6239363151946797,0.0009125540911040256,0.0009125540911040256,16.279438908874333,0.08015993691765999,True,1.0,0.2
0.75,7.5,amp_binned_asymmetric_template_fit,73,0.9115333418535165,0.9115333418535165,0.010330570145297422,0.010330570145297422,16.43188285622094,0.08345620297668964,True,1.0,0.2
1.0,10.0,amp_binned_asymmetric_template_fit,61,1.0187785884184564,1.0187785884184564,0.005202164950218999,0.005202164950218999,16.4813639266264,0.12457343683017301,False,1.0,0.2
1.5,15.0,amp_binned_asymmetric_template_fit,63,0.9828535700605867,0.9828535700605867,-0.003908132051031104,0.003908132051031104,16.328247411492516,0.10997736312122414,True,1.0,0.2
2.0,20.0,amp_binned_asymmetric_template_fit,80,-0.16813943545407106,0.16813943545407106,0.02133610513512805,0.02133610513512805,14.823352209145776,0.13639516154235243,True,1.0,0.2
3.0,30.0,amp_binned_asymmetric_template_fit,58,-2.225558242346075,2.225558242346075,0.02301075047828089,0.02301075047828089,12.60672589942663,0.11394608885693452,False,1.0,0.2
4.0,40.0,amp_binned_asymmetric_template_fit,76,-5.179315184301436,5.179315184301436,-0.03129429645240553,0.03129429645240553,11.242250374071393,0.11087535983049837,False,1.0,0.2
5.0,50.0,amp_binned_asymmetric_template_fit,67,-2.1856457364082926,2.1856457364082926,-0.03352073015291678,0.03352073015291678,9.853280914557399,0.09220808934760813,False,1.0,0.2
6.0,60.0,amp_binned_asymmetric_template_fit,61,-1.3745176011758042,1.3745176011758042,-0.048762724111996385,0.048762724111996385,9.261358976110417,0.12052882504641357,False,1.0,0.2
0.5,5.0,compact_mlp_classifier_regressor,28,-0.825742986422191,0.825742986422191,0.0009769064986860664,0.0009769064986860664,8.816818482435107,0.055123972463797966,True,1.0,0.2
0.75,7.5,compact_mlp_classifier_regressor,44,2.742972330946536,2.742972330946536,0.01630931725362756,0.01630931725362756,8.673153432825757,0.06778952274240817,False,1.0,0.2
1.0,10.0,compact_mlp_classifier_regressor,39,-0.6267747534748302,0.6267747534748302,-0.008920025262646403,0.008920025262646403,6.985118431986837,0.06379714714653098,True,1.0,0.2
1.5,15.0,compact_mlp_classifier_regressor,44,0.07526676474735261,0.07526676474735261,0.0016888317011718684,0.0016888317011718684,5.160959067637938,0.04249044146011277,True,1.0,0.2
2.0,20.0,compact_mlp_classifier_regressor,56,1.2078740716984848,1.2078740716984848,-0.001121300915616433,0.001121300915616433,8.294056881025305,0.05776015577581427,False,1.0,0.2
3.0,30.0,compact_mlp_classifier_regressor,48,1.379706266411822,1.379706266411822,-0.02377288395384977,0.02377288395384977,7.4237357651142375,0.08963981417426847,False,1.0,0.2
4.0,40.0,compact_mlp_classifier_regressor,64,-0.6040705298786397,0.6040705298786397,-0.03677715075339846,0.03677715075339846,7.357518613523248,0.06012039465285515,True,1.0,0.2
5.0,50.0,compact_mlp_classifier_regressor,58,-0.27180613247378194,0.27180613247378194,-0.04411427985841579,0.04411427985841579,6.540069207268747,0.05876708193134182,True,1.0,0.2
6.0,60.0,compact_mlp_classifier_regressor,53,-1.9803705862025955,1.9803705862025955,-0.039315575730209766,0.039315575730209766,8.398580606996893,0.06981744923573595,False,1.0,0.2
