run,event_index,eventno,evt,stave,taxon,broad_source,amplitude_adc,q_template_rmse,width_half,area_norm,charge_score,baseline_score,pileup_score,timing_score,label_broad_veto_like,label_broad_charge_outlier,traditional_robust_broad_veto_score,ridge_scalar_score,gradient_boosted_trees_score,mlp_scalar_nn_score,cnn1d_waveform_nn_score,hybrid_gated_cnn_tabular_score
65,33486,682113,1646,B2,unassigned_common,not_broad_rule,3344.0,0.3381286,4,5.279306,3.3257838635703996,351.67948199109674,-0.26354274419998547,0.0,False,False,1.0,0.19767345,0.0011511723,0.49868038,0.2464571,0.446039
58,21877,410869,11668,B2,unassigned_common,not_broad_rule,3796.0,0.3182003,8,7.7033725,0.4045250519171438,371.644408471604,0.40872817689521723,0.0,False,False,1.0,0.27246055,0.00055580406,0.4281195,0.095434174,0.36905193
42,16371,783673,16015,B2,novel_broad_template_mismatch,q_template_only,1615.5,3.602367,3,-28.858557,44.46555060634247,250.77566437339812,1.9147967502730296,-1.6651503248526784,True,True,1.0,1.0,1.0,1.0,1.0,1.0
37,1361,621183,12469,B2,baseline_excursion,broad_width,7574.5,0.43829814,13,8.7512045,0.8582243172414661,1752.0571968164038,1.4754074906561407,-5.877135275755766,True,False,1.0,1.0,1.0,1.0,0.2820728,1.0
60,15335,480791,11237,B2,baseline_excursion,broad_width,10080.0,0.36131075,15,10.466072,2.9248227267624167,982.193443949818,1.8455903312681885,-6.590069310143394,True,False,1.0,1.0,1.0,1.0,0.1029712,1.0
60,10910,476366,7106,B2,baseline_excursion,broad_width,11663.5,0.2985493,15,9.463026,1.716045237448648,933.4952111156078,0.36802833509427846,-6.590069310143394,True,False,1.0,1.0,1.0,0.95275676,0.07913962,1.0
65,14517,663144,372,B2,baseline_excursion,broad_width,8650.0,0.40631795,15,9.022776,1.1854965385345784,1480.5072170511264,1.8713907333961213,-5.448786285490758,True,False,1.0,1.0,1.0,1.0,0.21269503,1.0
42,24541,791847,7211,B2,baseline_excursion,broad_width,10066.5,0.36178666,15,9.907713,2.2519403836661085,1115.6077161742885,1.9005261121518986,-5.465103145161836,True,False,1.0,1.0,1.0,0.9438444,0.1186515,1.0
57,15788,373441,9634,B2,baseline_excursion,broad_width,10824.0,0.33628434,15,9.936437,2.286555526901456,1159.4496155402671,1.5123427482386997,-5.596255938593215,True,False,1.0,1.0,1.0,0.94170046,0.11176336,1.0
42,28870,796176,11259,B2,unassigned_common,not_broad_rule,7767.0,0.7217697,4,3.1241145,5.923019466511517,411.97895588830437,1.112573080548013,0.0,False,False,1.0,0.481605,0.43332386,0.7072274,0.6781354,0.4351938
