method,method_label,policy,mean_consumer_utility_loss
traditional_phase_selected_template_interp,traditional,phase_recover_veto,0.5701227405608177
traditional_phase_selected_template_interp,traditional,recover_all,0.6211850864550061
hist_gradient_boosted_trees,gradient_boosted_trees,phase_recover_veto,0.6853091369080031
hist_gradient_boosted_trees,gradient_boosted_trees,recover_all,0.6853091369080031
phase_gated_cnn,phase_gated_cnn_new_architecture,phase_recover_veto,1.478550598930172
one_dimensional_cnn,1d_cnn,phase_recover_veto,1.5445522856657106
phase_gated_cnn,phase_gated_cnn_new_architecture,recover_all,1.5968241170904716
one_dimensional_cnn,1d_cnn,recover_all,1.743313459978617
mlp,mlp,phase_recover_veto,1.9291137561683915
mlp,mlp,recover_all,2.115597414256598
ridge,ridge,recover_all,4.738940565852603
ridge,ridge,phase_recover_veto,
