consumer,method,method_label,delta_utility_veto_minus_recover_all,delta_sigma68_veto_minus_recover_all_ns,delta_bad_tail_veto_minus_recover_all,delta_veto_fraction
timing,traditional_phase_selected_template_interp,traditional,0.0,0.0,0.0,0.0
timing,ridge,ridge,,,,1.0
timing,hist_gradient_boosted_trees,gradient_boosted_trees,0.0,0.0,0.0,0.0
timing,mlp,mlp,,,,1.0
timing,one_dimensional_cnn,1d_cnn,-0.1248827543980664,-0.26587307809279503,0.00012007684918348069,0.6666666666666667
timing,phase_gated_cnn,phase_gated_cnn_new_architecture,-0.11148335093160422,-0.2536197915829995,0.00012007684918347722,0.6666666666666667
charge,traditional_phase_selected_template_interp,traditional,-0.06278846794543724,-0.05223026067556541,-0.003025936599423632,0.16666666666666663
charge,ridge,ridge,,,,1.0
charge,hist_gradient_boosted_trees,gradient_boosted_trees,0.0,0.0,0.0,0.0
charge,mlp,mlp,,,,1.0
charge,one_dimensional_cnn,1d_cnn,-0.1753466178047567,-0.10244654165059563,-0.005283381364073005,0.8333333333333334
charge,phase_gated_cnn,phase_gated_cnn_new_architecture,-0.11521936837370195,-0.060984192736896925,-0.004923150816522573,0.8333333333333334
pileup,traditional_phase_selected_template_interp,traditional,-0.12368292038122086,-0.05223026067556541,-0.003025936599423632,0.16666666666666663
pileup,ridge,ridge,,,,1.0
pileup,hist_gradient_boosted_trees,gradient_boosted_trees,0.0,0.0,0.0,0.0
pileup,mlp,mlp,-0.3095241314928332,-0.3524449471884812,-0.0008405379442843405,0.8333333333333334
pileup,one_dimensional_cnn,1d_cnn,,,,1.0
pileup,phase_gated_cnn,phase_gated_cnn_new_architecture,-0.15316648242717856,-0.060984192736896925,-0.004923150816522573,0.8333333333333334
pid,traditional_phase_selected_template_interp,traditional,0.0,0.0,0.0,0.0
pid,ridge,ridge,,,,1.0
pid,hist_gradient_boosted_trees,gradient_boosted_trees,0.0,0.0,0.0,0.0
pid,mlp,mlp,-0.08764024774962542,-0.09312416855088479,-0.0006243996157540843,0.16666666666666663
pid,one_dimensional_cnn,1d_cnn,-0.1616704761124228,-0.17020317943982033,-0.0027617675312199795,0.6666666666666667
pid,phase_gated_cnn,phase_gated_cnn_new_architecture,-0.08643271906226535,-0.09975609121012297,-0.001140730067243037,0.33333333333333337
energy,traditional_phase_selected_template_interp,traditional,-0.0688403411442845,-0.05223026067556541,-0.003025936599423632,0.16666666666666663
energy,ridge,ridge,,,,1.0
energy,hist_gradient_boosted_trees,gradient_boosted_trees,0.0,0.0,0.0,0.0
energy,mlp,mlp,,,,1.0
energy,one_dimensional_cnn,1d_cnn,-0.18591338053290252,-0.10244654165059563,-0.005283381364073005,0.8333333333333334
energy,phase_gated_cnn,phase_gated_cnn_new_architecture,-0.12506567000674718,-0.060984192736896925,-0.004923150816522573,0.8333333333333334
