stratum,value,method,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
spacing_bin,"(-0.001, 10.0]",1d_cnn,,,0.3556977071330092,10.589584211093946,0.16393442622950818,0.49586776859504134,,0.0030915774107982963,0.05658731268827338,121,121
spacing_bin,"(10.0, 25.0]",1d_cnn,,,2.361007076958268,7.522367272366955,0.0641025641025641,0.44285714285714284,,-0.016739585341343958,0.05460074058158213,70,70
spacing_bin,"(25.0, 45.0]",1d_cnn,,,-3.001232774984852,9.800100887052974,0.15441176470588236,0.30612244897959184,,-0.01890637573987307,0.0952064696514203,98,98
spacing_bin,"(45.0, 70.0]",1d_cnn,,,-2.0937106078153622,13.57594996097977,0.25925925925925924,0.19801980198019803,,-0.06404780051218481,0.06740061601946173,101,101
spacing_bin,"(-0.001, 10.0]",fft_matched_filter_template_traditional,,,2.4933914924236866,12.265514951964633,0.20833333333333334,0.7024793388429752,,0.13701410812361706,0.07923346371057474,121,121
spacing_bin,"(10.0, 25.0]",fft_matched_filter_template_traditional,,,0.40294975386300447,8.99298192949274,0.16071428571428573,0.6,,0.11464952345531466,0.07849544180518496,70,70
spacing_bin,"(25.0, 45.0]",fft_matched_filter_template_traditional,,,0.8149690667234077,9.971457625195981,0.16279069767441862,0.5612244897959183,,0.11382210553375938,0.08096182503582432,98,98
spacing_bin,"(45.0, 70.0]",fft_matched_filter_template_traditional,,,-1.4622958865290947,9.881961381654643,0.19230769230769232,0.3564356435643564,,0.05159140986704497,0.08711417236040792,101,101
spacing_bin,"(-0.001, 10.0]",gradient_boosted_trees,,,0.9606826303090532,7.144645817168357,0.08783783783783784,0.3884297520661157,,0.013003250540016772,0.058715724978180395,121,121
spacing_bin,"(10.0, 25.0]",gradient_boosted_trees,,,0.7510810956958203,6.574361335200201,0.07142857142857142,0.4,,0.002119327046586932,0.0535375696482542,70,70
spacing_bin,"(25.0, 45.0]",gradient_boosted_trees,,,-1.1375742028761415,7.295885258494928,0.1,0.2857142857142857,,-0.006887967747699126,0.08257177164641658,98,98
spacing_bin,"(45.0, 70.0]",gradient_boosted_trees,,,-1.9743337237709646,8.671662524598357,0.1402439024390244,0.18811881188118812,,-0.0468211066046087,0.06298375821427224,101,101
spacing_bin,"(-0.001, 10.0]",mlp,,,-1.1395869296729488,12.649119903624456,0.3026315789473684,0.371900826446281,,0.03234595701726173,0.16483080406599052,121,121
spacing_bin,"(10.0, 25.0]",mlp,,,-4.029875285513813,13.350940840333294,0.29069767441860467,0.38571428571428573,,-0.008256749345433903,0.12976623465270284,70,70
spacing_bin,"(25.0, 45.0]",mlp,,,-6.077630817922062,14.66555504697237,0.35,0.2857142857142857,,-0.0027050680236865095,0.16960006518136939,98,98
spacing_bin,"(45.0, 70.0]",mlp,,,-6.529905739024045,17.421707644176916,0.425,0.2079207920792079,,-0.06575451856782913,0.17176186528260468,101,101
spacing_bin,"(-0.001, 10.0]",ridge,,,0.2651523977793202,8.922421419421848,0.10759493670886076,0.34710743801652894,,0.026796700417407834,0.05665151357386762,121,121
spacing_bin,"(10.0, 25.0]",ridge,,,1.413751934205294,6.562437031021302,0.09574468085106383,0.32857142857142857,,0.012481098823629235,0.062402925078424404,70,70
spacing_bin,"(25.0, 45.0]",ridge,,,-1.0061888481813508,8.31400551915086,0.09848484848484848,0.32653061224489793,,-0.006464127970696429,0.07083246242307302,98,98
spacing_bin,"(45.0, 70.0]",ridge,,,-3.4357682926963173,10.253677392217694,0.18674698795180722,0.1782178217821782,,-0.04008858484253833,0.061813318639299855,101,101
spacing_bin,"(-0.001, 10.0]",saturation_residual_fusion_new,,,0.025413336198396586,6.312624600636907,0.07894736842105263,0.371900826446281,,0.004378185511690821,0.06011302650440627,121,121
spacing_bin,"(10.0, 25.0]",saturation_residual_fusion_new,,,1.0127635407715818,5.873425660323348,0.05952380952380952,0.4,,-0.004462148834858717,0.03993322896106127,70,70
spacing_bin,"(25.0, 45.0]",saturation_residual_fusion_new,,,-2.050969850520228,7.713134699162089,0.09154929577464789,0.2755102040816326,,-0.024532051237122435,0.07560321586273647,98,98
spacing_bin,"(45.0, 70.0]",saturation_residual_fusion_new,,,-2.2404177485379417,8.090439990815593,0.1130952380952381,0.16831683168316833,,-0.04112997873429435,0.060875921109939966,101,101
spacing_bin,"(-0.001, 10.0]",tiny_sequence_transformer,,,-12.859487274383063,11.255939878477545,0.45081967213114754,0.49586776859504134,,0.04379258255635074,0.08308852226785693,121,121
spacing_bin,"(10.0, 25.0]",tiny_sequence_transformer,,,-14.489159832127179,10.468789733474907,0.4594594594594595,0.4714285714285714,,0.003842082922173446,0.0733232300682265,70,70
spacing_bin,"(25.0, 45.0]",tiny_sequence_transformer,,,-13.361466034514144,17.755590698755512,0.47183098591549294,0.2755102040816326,,0.00420803947295943,0.08129492075902874,98,98
spacing_bin,"(45.0, 70.0]",tiny_sequence_transformer,,,-13.286324912887686,21.447767372126396,0.5253164556962026,0.21782178217821782,,-0.06160374774394319,0.09308075051596658,101,101
ratio_bin,"(-0.001, 0.35]",1d_cnn,,,-2.22025769484016,13.043427985741609,0.21568627450980393,0.5233644859813084,,-0.01056162669939577,0.07530838376023442,107,107
ratio_bin,"(0.35, 0.625]",1d_cnn,,,-1.2354832352615563,11.192020207361809,0.211864406779661,0.34444444444444444,,-0.033709768488892046,0.0788834482500683,90,90
ratio_bin,"(0.625, 0.875]",1d_cnn,,,-0.8187279288243499,10.530592957887784,0.14285714285714285,0.3069306930693069,,-0.017632638686856807,0.07878629443518738,101,101
ratio_bin,"(0.875, 1.05]",1d_cnn,,,1.576248227920165,10.590434287313006,0.15217391304347827,0.25,,-0.018434103176137497,0.0841999599255441,92,92
ratio_bin,"(-0.001, 0.35]",fft_matched_filter_template_traditional,,,-1.8185836646428655,13.143145662395963,0.2976190476190476,0.6074766355140186,,0.1518047142882567,0.12056765709846033,107,107
ratio_bin,"(0.35, 0.625]",fft_matched_filter_template_traditional,,,0.9862935216138702,9.660145435437745,0.19767441860465115,0.5222222222222223,,0.0924145389404614,0.08399425446670028,90,90
ratio_bin,"(0.625, 0.875]",fft_matched_filter_template_traditional,,,0.9867974477193409,8.247380073782793,0.125,0.5247524752475248,,0.10315828998363304,0.0935895359066239,101,101
ratio_bin,"(0.875, 1.05]",fft_matched_filter_template_traditional,,,0.8149690667234077,7.7897200911745355,0.11538461538461539,0.5760869565217391,,0.08427479558175402,0.07102639197700338,92,92
ratio_bin,"(-0.001, 0.35]",gradient_boosted_trees,,,-2.165652432809333,8.679172456189574,0.1509433962264151,0.5046728971962616,,-0.003197510630316224,0.08257742039724497,107,107
ratio_bin,"(0.35, 0.625]",gradient_boosted_trees,,,-1.1048557775857937,7.839482539339435,0.125,0.28888888888888886,,-0.016391362419402207,0.07065664023897786,90,90
ratio_bin,"(0.625, 0.875]",gradient_boosted_trees,,,-0.45493433841606645,6.058487713982949,0.08333333333333333,0.22772277227722773,,-0.019731039252426995,0.06597537454629854,101,101
ratio_bin,"(0.875, 1.05]",gradient_boosted_trees,,,0.86937779122501,5.820885296297487,0.07534246575342465,0.20652173913043478,,-0.0013777477874957014,0.06387543996361458,92,92
ratio_bin,"(-0.001, 0.35]",mlp,,,-6.290271615872786,13.755298876734763,0.3,0.48598130841121495,,0.016173336039645807,0.14312053311969386,107,107
ratio_bin,"(0.35, 0.625]",mlp,,,-3.0263855516818294,11.726232287225127,0.2796610169491525,0.34444444444444444,,-0.0013093702757775594,0.13885606287556282,90,90
ratio_bin,"(0.625, 0.875]",mlp,,,-3.7481149319761142,17.94646209341079,0.44871794871794873,0.22772277227722773,,-0.03193908972301288,0.17224102017060133,101,101
ratio_bin,"(0.875, 1.05]",mlp,,,-3.657971624865066,15.633736285448737,0.33766233766233766,0.16304347826086957,,-0.03423780143612157,0.19320835978344736,92,92
ratio_bin,"(-0.001, 0.35]",ridge,,,-3.6786608582494695,8.461685616837563,0.175,0.4392523364485981,,-0.00012559096868528614,0.06721486421760274,107,107
ratio_bin,"(0.35, 0.625]",ridge,,,-1.0102547915138516,8.361274533038001,0.140625,0.28888888888888886,,0.004699705566064167,0.07254468920998915,90,90
ratio_bin,"(0.625, 0.875]",ridge,,,-0.15611379259069302,8.198373020398506,0.12837837837837837,0.26732673267326734,,-0.013053449461684234,0.05989676280512575,101,101
ratio_bin,"(0.875, 1.05]",ridge,,,1.6163235440461765,8.681909761354882,0.07792207792207792,0.16304347826086957,,0.0038590147576694172,0.06638420128369502,92,92
ratio_bin,"(-0.001, 0.35]",saturation_residual_fusion_new,,,-1.9171138173420221,7.792997787345168,0.17857142857142858,0.4766355140186916,,-0.009592755214722162,0.07436877281338931,107,107
ratio_bin,"(0.35, 0.625]",saturation_residual_fusion_new,,,-2.03959283592992,7.072032435678807,0.09230769230769231,0.2777777777777778,,-0.019865146684852036,0.05938582607799817,90,90
ratio_bin,"(0.625, 0.875]",saturation_residual_fusion_new,,,-0.590718004981059,6.419313237883549,0.05844155844155844,0.2376237623762376,,-0.01662471599228748,0.05059248128201632,101,101
ratio_bin,"(0.875, 1.05]",saturation_residual_fusion_new,,,0.0031441672311505187,6.437227735656782,0.05333333333333334,0.18478260869565216,,-0.007716903987637706,0.07288327985873788,92,92
ratio_bin,"(-0.001, 0.35]",tiny_sequence_transformer,,,-13.397698282756387,18.02826854515756,0.48,0.5327102803738317,,0.009567982435103659,0.10111882111883834,107,107
ratio_bin,"(0.35, 0.625]",tiny_sequence_transformer,,,-13.292578168994869,17.078094916366023,0.4406779661016949,0.34444444444444444,,-0.01543279134819043,0.09238820937651111,90,90
ratio_bin,"(0.625, 0.875]",tiny_sequence_transformer,,,-16.031726119937346,16.708611981133842,0.5633802816901409,0.297029702970297,,0.008027075457514373,0.08406547994633594,101,101
ratio_bin,"(0.875, 1.05]",tiny_sequence_transformer,,,-10.682472440096674,15.78476212586988,0.4338235294117647,0.2608695652173913,,-0.011581222615473185,0.07745825393851409,92,92
saturation_bin,0,1d_cnn,,,-0.8394270790827907,10.847897164863715,0.1762295081967213,0.36623376623376624,,-0.020267711333330232,0.07861956534915368,385,385
