method,pedestal_phase_bin,source_run,n,energy_bias,energy_sigma68,timing_bias_ns,timing_sigma68_ns,saturation_fraction
1d_cnn,nominal/late_tail_high,58,21,-0.014560448511764242,0.06896186990009494,-1.4785937973840912,5.5835943560694155,0.0
1d_cnn,nominal/late_tail_high,60,8,0.02006878729560084,0.04866937354123355,-5.099975595095421,3.7670756792017963,0.0
1d_cnn,nominal/late_tail_high,62,17,-7.75521714608009e-05,0.06623958187502177,-0.9245343769584036,7.847489348221625,0.0
1d_cnn,nominal/late_tail_high,64,17,-0.04641464079354515,0.064601271194346,-0.7166271411779945,4.0613561519102905,0.0
1d_cnn,nominal/late_tail_high,65,16,-0.05351882011991984,0.05148669528554949,0.10131332459804465,4.641112251911588,0.0
1d_cnn,nominal/late_tail_low,58,9,-0.046246907089576336,0.05378367532724784,1.5737088694710888,3.7843840971925893,0.0
1d_cnn,nominal/late_tail_low,60,15,-0.05309984552376625,0.09196327612901473,0.5930444297971826,6.297132217971722,0.0
1d_cnn,nominal/late_tail_low,62,11,-0.035925101384984774,0.08199220363972425,1.6750694095015284,9.266348866362549,0.0
1d_cnn,nominal/late_tail_low,64,14,-0.11241536272212803,0.05078836258906091,-2.6556188652307022,8.142418248837894,0.0
1d_cnn,nominal/late_tail_low,65,11,-0.08385987032157508,0.044769197381418935,-3.0478512325321505,8.496954583195219,0.0
1d_cnn,shifted/late_tail_high,58,11,-0.022565195678547523,0.09351145622855328,-4.1677488377964345,5.926804479205661,0.0
1d_cnn,shifted/late_tail_high,60,27,-0.030548064720812184,0.09901094482622427,-4.396695403491395,10.768975473917202,0.0
1d_cnn,shifted/late_tail_high,62,19,-0.047203446223357724,0.060288923665048316,-2.439821825135695,7.068745074924445,0.0
1d_cnn,shifted/late_tail_high,64,26,-0.07039330739551886,0.10044315684062616,-8.697617659357896,6.460576159693245,0.038461538461538464
1d_cnn,shifted/late_tail_high,65,12,-0.029619824987200734,0.06475775634961292,-10.11190971679081,8.280946927884234,0.0
1d_cnn,shifted/late_tail_low,58,37,-0.027807667303213327,0.11998708577703251,0.06255191987406317,8.185902712804943,0.02702702702702703
1d_cnn,shifted/late_tail_low,60,28,0.028080710958153114,0.08258658127524336,2.354387875720232,13.138065086871222,0.0
1d_cnn,shifted/late_tail_low,62,31,-0.03751668048854041,0.1576214499689845,-1.0358054378840897,10.302320659718372,0.03225806451612903
1d_cnn,shifted/late_tail_low,64,21,-0.05762945457535569,0.11327376906262498,-2.722384333741843,7.761559071506698,0.09523809523809523
1d_cnn,shifted/late_tail_low,65,39,-0.024562168733785566,0.0946200307248029,-6.102581407848304,7.788423881949937,0.0
fft_matched_filter_template_traditional,nominal/late_tail_high,58,21,0.11055792846718372,,0.09081838340163406,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_high,60,8,0.11650122923395133,,-1.273522422511597,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_high,62,17,0.19923340742540077,,0.46628656260487844,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_high,64,17,0.13779095427203006,,-1.646716529691794,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_high,65,16,0.09870019823645682,,-1.299526937163995,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_low,58,9,0.050111130195805986,,0.6014582647142519,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_low,60,15,0.14988555605464388,,8.239386883154749,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_low,62,11,0.10974486408761716,0.06615262593845628,1.9854133542560426,6.818058146139444,0.0
fft_matched_filter_template_traditional,nominal/late_tail_low,64,14,0.061600710932882316,,0.728777795096962,,0.0
fft_matched_filter_template_traditional,nominal/late_tail_low,65,11,0.04478360162466269,,-0.6417580527634748,,0.0
fft_matched_filter_template_traditional,shifted/late_tail_high,58,11,0.26304383827127786,,4.097000167164881,,0.0
fft_matched_filter_template_traditional,shifted/late_tail_high,60,27,0.15285080037154095,,1.2266090540368424,,0.0
fft_matched_filter_template_traditional,shifted/late_tail_high,62,19,0.12959652218378337,,1.7847508299536186,,0.0
