run,group,method,n_scored,candidate_rate,candidate_rate_ci_low,candidate_rate_ci_high,mean_recovered_delay_ns,mean_recovered_delay_ci_low_ns,mean_recovered_delay_ci_high_ns,mean_secondary_fraction,mean_secondary_fraction_ci_low,mean_secondary_fraction_ci_high,mean_total_area_proxy_adc,mean_total_area_proxy_ci_low_adc,mean_total_area_proxy_ci_high_adc,n_bootstrap
44,high_20nA,ml,160,0.35625,0.28125,0.43125,19.123949005885734,12.825927873122437,24.828532215409435,0.18918162972089977,0.1627184407651525,0.21800619337883043,18152117.592422117,12689395.71740816,25273808.617149353,300
45,high_20nA,ml,160,0.31875,0.25,0.38125,15.64877119326039,9.982303241659837,21.52121009445061,0.1814919666176578,0.15682104465596483,0.20259863678097487,14332517.619131126,9907324.383123443,18813132.1453718,300
48,high_20nA,ml,160,0.30625,0.23421875,0.3875,26.556905268612052,19.65930567043125,35.20829922287426,0.17147212125857195,0.15231856502722277,0.19493766547921912,12332426.879255496,7146060.365193647,17679936.651015323,300
49,high_20nA,ml,160,0.3375,0.26875,0.40328124999999987,21.56416575250877,14.587565627777785,28.571695867621116,0.17920020063337258,0.1594142277005379,0.20149012735102045,13352865.954621736,8162368.156424683,18274608.422948595,300
50,high_20nA,ml,160,0.33125,0.2625,0.40953124999999985,17.477583390071146,10.943474058979879,23.608080038162864,0.16702384957163355,0.14522512896333875,0.19179223488803204,16262597.365425458,10318432.46955091,22694057.952623256,300
51,high_20nA,ml,160,0.30625,0.22796875,0.36875,19.79941577930262,12.950747115837554,28.358636469174165,0.15942661336390698,0.13896245643974295,0.18154218745288989,13039080.826972246,8554151.431053223,18587349.56164106,300
52,high_20nA,ml,160,0.325,0.25625,0.3970312499999999,22.839916641796773,14.736456952848759,30.857419153410273,0.17203446004313735,0.15142422265866956,0.1928881137987579,14285848.587861696,8545257.460395318,20196831.02970265,300
53,high_20nA,ml,160,0.31875,0.25,0.39078124999999986,16.67231141810893,8.790548299567208,23.97922984000109,0.18673396229220132,0.1616391590442092,0.2117534879375739,22289462.810695935,16263638.071711121,29390407.012088336,300
54,high_20nA,ml,160,0.3,0.23125,0.36875,21.925276912947165,14.117887973742915,29.364128845798948,0.1618712548386035,0.13919008791238252,0.18471032560243494,15396980.198415728,10045338.464839559,22465111.294895004,300
55,high_20nA,ml,160,0.3375,0.25625,0.4125,21.208712729089772,14.195494281071229,29.561000514136964,0.1781245819758171,0.15427461361768335,0.2056204168187633,16584845.133312397,11723031.398734689,22287478.23458589,300
