method,metric,n_high_candidates,n_low_controls,high_value,low_control_value,high_minus_low_control,ci_low,ci_high,high_runs,low_control_runs
traditional,two_pulse_like,70,919,0.04285714285714286,0.088139281828074,-0.04528213897093114,-0.09556935232286895,0.02230725027753038,44 45 48 49 50 51 52 53 54 55 56 57,46 47
traditional,artifact_like,70,919,0.9571428571428572,0.911860718171926,0.04528213897093114,-0.026136363636363624,0.09631180733162827,44 45 48 49 50 51 52 53 54 55 56 57,46 47
traditional,shape_artifact_strong,70,919,0.9571428571428572,0.911860718171926,0.04528213897093114,-0.01714803883061804,0.10741687979539638,44 45 48 49 50 51 52 53 54 55 56 57,46 47
ml,two_pulse_like,261,1092,0.09195402298850575,0.07417582417582418,0.01777819881268157,-0.03245103174061622,0.060338545703472794,44 45 48 49 50 51 52 53 54 55 56 57,46 47
ml,artifact_like,261,1092,0.9080459770114943,0.9258241758241759,-0.01777819881268161,-0.05748354979329379,0.032017953438579314,44 45 48 49 50 51 52 53 54 55 56 57,46 47
ml,shape_artifact_strong,261,1092,0.9080459770114943,0.9258241758241759,-0.01777819881268161,-0.0562411694336005,0.03218831846964814,44 45 48 49 50 51 52 53 54 55 56 57,46 47
