group,morphology,n
high_20nA,broad_late_shape,226
high_20nA,pathology_or_noisy,75
high_20nA,two_pulse_like,27
low_2nA,broad_late_shape,829
low_2nA,pathology_or_noisy,182
low_2nA,two_pulse_like,81
