method,n_detected_overlap,median_predicted_timing_uncertainty_ns,empirical_coverage_1sigma,empirical_coverage_2sigma,mean_abs_timing_error_ns
pileup_mask_transformer_new,211,12.546776905193235,0.5023696682464455,0.8530805687203792,14.21130970448777
tiny_sequence_transformer,237,11.525651466670134,0.5021097046413502,0.8438818565400844,13.262964714302546
mlp,243,6.624971524498218,0.5020576131687243,0.7777777777777778,8.504021846111002
gradient_boosted_trees,251,4.752768988905691,0.50199203187251,0.7669322709163346,6.4362808558538
template_residual_boosted_stack_new,236,4.750537654993168,0.5,0.7796610169491526,6.349389784017828
ridge,252,5.696609140321909,0.5,0.7797619047619048,7.335380945851833
two_pulse_template_cfd_baseline,132,5.782109844810388,0.5,0.7310606060606061,8.36480354533642
1d_cnn,210,7.209566617673695,0.5,0.8285714285714286,8.588567641793647
temporal_convolution_tcn,225,1.8943443894386292,0.11555555555555555,0.2111111111111111,10.436339874646896
