stave,stave_idx,center_cm,residual_energy_mev,dedx_mev_cm,expected_edep_mev
B2,0,2.0,182.28086158969904,3.9064620172661497,3.9031535150270713
B4,1,6.0,166.19521171808006,4.147678406257677,4.143692038111396
B6,2,10.0,148.96545329097924,4.519869678422244,4.515159515345005
B8,3,14.0,130.02663350842064,4.981657500382731,4.983123680165107
