run,eventno,stave,target_sample,target_adc,pre_mean,pre_median,pre_std,pre_slope,pre0,pre1,pre2,pre3,stave_code
46,52645,B2,8,-31.0,1.75,0.0,4.322904109954834,-2.0,1.0,9.0,-2.0,-1.0,0
56,310109,B4,6,35.5,1.0,0.0,7.2284159660339355,-19.0,11.5,3.5,-3.5,-7.5,1
47,54975,B4,7,14.5,-0.5,0.0,3.391165018081665,-9.0,3.5,-1.5,1.5,-5.5,1
58,389796,B2,4,-1.5,-2.0,0.0,5.024937629699707,13.0,-10.5,-0.5,0.5,2.5,0
55,282079,B6,9,-3.0,0.25,0.0,3.269174098968506,4.0,1.0,-4.0,-1.0,5.0,2
45,6449,B6,6,-20.5,2.5,0.0,5.8736701011657715,-12.0,12.5,-0.5,-2.5,0.5,2
55,284827,B4,4,-6.0,-0.25,0.0,1.299038052558899,-3.0,1.0,-1.0,1.0,-2.0,1
48,65080,B2,4,-5.0,-0.5,0.0,4.153311729431152,-10.0,4.0,3.0,-3.0,-6.0,0
48,66268,B8,7,0.5,1.75,0.0,4.918078899383545,-12.0,9.5,-2.5,2.5,-2.5,3
45,6668,B4,4,-0.5,1.75,0.0,5.356071472167969,-14.0,10.5,1.5,-1.5,-3.5,1
48,66608,B6,4,-0.5,0.0,0.0,2.0615527629852295,-1.0,2.5,-1.5,-2.5,1.5,2
61,502826,B4,7,16.5,1.0,0.0,2.872281312942505,7.0,-1.5,1.5,-1.5,5.5,1
61,502549,B2,7,0.0,0.75,0.0,4.4930500984191895,-11.0,7.0,3.0,-3.0,-4.0,0
54,247144,B6,5,-14.5,-1.5,0.0,9.823441505432129,-23.0,8.5,7.5,-7.5,-14.5,2
52,194579,B6,5,-4.0,-0.5,0.0,5.722761631011963,-12.0,4.0,-4.0,6.0,-8.0,2
51,174916,B6,7,-9.5,0.0,0.0,2.0615527629852295,-4.0,1.5,2.5,-1.5,-2.5,2
54,248916,B6,5,4.0,-1.5,0.0,5.894913196563721,12.0,-11.0,-1.0,5.0,1.0,2
51,177396,B2,5,-9.0,-2.0,0.0,4.7434163093566895,12.0,-10.0,-1.0,1.0,2.0,0
56,308802,B8,9,58.0,0.25,0.0,4.602988243103027,-6.0,0.0,7.0,0.0,-6.0,3
54,244912,B6,6,-11.0,0.25,0.0,3.8971142768859863,11.0,-5.0,0.0,0.0,6.0,2
49,96656,B8,9,-12.5,-0.75,0.0,5.309190273284912,11.0,-8.5,-2.5,5.5,2.5,3
54,244390,B2,5,0.5,-0.75,0.0,1.6393595933914185,-1.0,0.5,-3.5,0.5,-0.5,0
65,650164,B6,4,-1.5,-1.25,0.0,6.722164630889893,9.0,-11.5,2.5,6.5,-2.5,2
48,65539,B8,7,-12.5,-0.25,0.0,2.8613808155059814,-3.0,3.5,-4.5,-0.5,0.5,3
49,97233,B4,9,-17.0,0.25,0.0,7.725768566131592,-21.0,11.0,3.0,-3.0,-10.0,1
61,502577,B2,6,-1.0,-1.25,0.0,3.699662208557129,-4.0,2.0,-7.0,2.0,-2.0,0
54,249373,B8,4,7.0,-0.5,0.0,2.291287899017334,-6.0,2.0,-1.0,1.0,-4.0,3
63,577462,B4,7,-15.5,2.5,0.0,7.842193603515625,-21.0,15.5,0.5,-0.5,-5.5,1
61,501926,B4,6,44.0,-1.75,0.0,6.417748928070068,-17.0,5.0,2.0,-2.0,-12.0,1
44,2065,B2,8,-29.0,-2.25,0.0,11.321991920471191,-26.0,8.0,9.0,-8.0,-18.0,0
50,133092,B4,7,-23.5,0.0,0.0,6.020797252655029,-9.0,0.5,8.5,-0.5,-8.5,1
60,466890,B2,8,2.0,3.0,0.0,9.246621131896973,-21.0,18.0,3.0,-6.0,-3.0,0
62,538139,B6,7,24.0,-1.25,0.0,6.759253025054932,10.0,-4.0,4.0,-11.0,6.0,2
49,98562,B8,5,-8.5,0.25,0.0,5.2618913650512695,9.0,-6.5,-2.5,7.5,2.5,3
55,283187,B6,9,-24.5,1.75,0.0,9.496709823608398,21.0,-5.5,-8.5,5.5,15.5,2
51,175193,B4,6,4.5,0.75,0.0,4.656983852386475,12.0,-4.5,-2.5,2.5,7.5,1
47,56049,B6,4,14.0,-2.25,0.0,12.397076606750488,33.0,-21.0,-5.0,5.0,12.0,2
54,247262,B6,6,16.0,-1.25,0.0,5.214163303375244,-12.0,3.0,4.0,-3.0,-9.0,2
45,5197,B6,8,33.0,1.0,0.0,3.674234628677368,-7.0,7.0,-3.0,0.0,0.0,2
65,649360,B8,6,-14.5,4.25,0.0,12.090802192687988,-25.0,24.5,0.5,-7.5,-0.5,3
63,576203,B2,5,2.0,0.0,0.0,4.3011627197265625,5.0,1.0,-6.0,-1.0,6.0,0
45,4719,B4,9,-37.0,-5.25,0.0,11.605494499206543,27.0,-25.0,-2.0,4.0,2.0,1
51,175123,B4,7,-4.5,0.75,0.0,1.6393595933914185,1.0,-0.5,-0.5,3.5,0.5,1
54,247818,B8,4,-7.0,0.75,0.0,6.098155498504639,-17.0,10.0,1.0,-1.0,-7.0,3
62,539223,B2,8,-1.5,0.25,0.0,1.4790199995040894,-3.0,2.5,0.5,-1.5,-0.5,0
58,389481,B2,8,-227.5,3.0,0.0,17.18284034729004,22.0,-17.5,-4.5,29.5,4.5,0
47,53992,B6,9,6.0,0.75,0.0,7.084313869476318,-19.0,11.0,3.0,-3.0,-8.0,2
47,54878,B4,7,10.0,1.0,0.0,3.082206964492798,3.0,-2.0,6.0,-1.0,1.0,1
59,423845,B2,8,-18.0,-3.5,0.0,12.539936065673828,-34.0,10.0,1.0,-1.0,-24.0,0
58,389615,B2,7,3.5,2.25,0.0,5.539629936218262,13.0,-1.5,1.5,-2.5,11.5,0
61,502573,B2,9,-19.5,3.5,0.0,10.977249145507812,-29.0,21.5,2.5,-2.5,-7.5,0
47,55409,B4,4,-5.0,-0.25,0.0,1.785357117652893,3.0,-3.0,0.0,2.0,0.0,1
49,97489,B2,6,-17.5,0.25,0.0,3.5619516372680664,-10.0,5.5,0.5,-0.5,-4.5,0
59,423900,B2,4,-6.5,-2.0,0.0,7.2284159660339355,-19.0,5.5,2.5,-2.5,-13.5,0
63,576822,B2,9,-17.0,-2.0,0.0,8.774964332580566,-22.0,7.0,5.0,-5.0,-15.0,0
59,424189,B4,6,-15.0,1.5,0.0,3.2015621662139893,-7.0,7.0,-1.0,0.0,0.0,1
55,282679,B4,5,-25.0,-2.25,0.0,7.395099639892578,-17.0,3.0,5.0,-3.0,-14.0,1
47,54140,B2,5,9.5,1.75,0.0,7.693341255187988,-20.0,13.5,3.5,-3.5,-6.5,0
63,575905,B2,9,39.5,0.75,0.0,5.5845770835876465,-5.0,8.5,-3.5,-5.5,3.5,0
57,359539,B2,4,-10.5,-0.25,0.0,2.1650636196136475,3.0,-3.5,0.5,2.5,-0.5,0
55,282335,B2,8,-23.0,-2.0,0.0,9.082950592041016,9.0,-15.0,7.0,6.0,-6.0,0
61,502434,B4,8,0.0,1.25,0.0,7.154543876647949,-15.0,12.0,3.0,-7.0,-3.0,1
65,648792,B6,7,2.5,-1.0,0.0,4.031128883361816,-4.0,3.5,0.5,-7.5,-0.5,2
49,97735,B6,9,-14.0,1.5,0.0,3.278719186782837,-8.0,7.0,-1.0,1.0,-1.0,2
48,65797,B8,7,-6.5,2.5,0.0,7.245688438415527,-6.0,1.5,14.5,-1.5,-4.5,3
62,538348,B6,9,-8.0,-0.5,0.0,6.538348197937012,2.0,-8.0,6.0,6.0,-6.0,2
44,1671,B4,8,-0.5,-0.25,0.0,5.309190273284912,-12.0,5.5,4.5,-4.5,-6.5,1
44,275,B6,5,-4.0,2.25,0.0,5.804093360900879,-11.0,12.0,-1.0,-3.0,1.0,2
60,465903,B6,6,-10.0,-0.5,0.0,12.539936065673828,-34.0,16.0,5.0,-5.0,-18.0,2
65,650213,B2,5,1.5,2.5,0.0,5.958187580108643,-1.0,-1.5,12.5,1.5,-2.5,0
63,575965,B2,9,43.5,0.0,0.0,3.3541018962860107,3.0,1.5,-4.5,-1.5,4.5,0
65,649025,B6,6,6.5,0.5,0.0,3.9370038509368896,5.0,-4.5,6.5,-0.5,0.5,2
56,308549,B4,6,-4.5,0.0,0.0,9.124143600463867,-21.0,10.5,7.5,-7.5,-10.5,1
59,424605,B8,9,3.0,1.25,0.0,9.883698463439941,21.0,-6.0,-10.0,6.0,15.0,3
47,55338,B6,7,54.5,0.75,0.0,5.117372512817383,10.0,-1.5,-5.5,1.5,8.5,2
55,283240,B6,4,-3.0,-5.5,0.0,13.937359809875488,31.0,-29.0,7.0,-2.0,2.0,2
50,131138,B4,8,-16.5,0.75,0.0,3.766629695892334,-2.0,-1.5,6.5,1.5,-3.5,1
54,246216,B6,9,13.0,3.0,0.0,7.713624477386475,15.0,1.0,-4.0,-1.0,16.0,2
57,358261,B8,8,40.5,-0.75,0.0,2.2776083946228027,-5.0,0.5,1.5,-0.5,-4.5,3
63,575815,B6,6,7.0,1.75,0.0,5.117372512817383,-1.0,-2.0,10.0,2.0,-3.0,2
63,576095,B4,5,-2.0,-1.0,0.0,4.582575798034668,2.0,2.0,-2.0,-8.0,4.0,1
58,390134,B6,4,-13.5,-2.0,0.0,7.762087345123291,-21.0,6.5,1.5,-1.5,-14.5,2
52,197497,B8,6,-6.5,0.0,0.0,3.2015621662139893,4.0,-4.5,4.5,0.5,-0.5,3
50,130069,B4,9,13.5,4.25,0.0,12.794041633605957,34.0,-8.5,-1.5,1.5,25.5,1
56,309784,B8,4,6.0,-0.25,0.0,5.309190273284912,0.0,0.0,7.0,-8.0,0.0,3
49,96939,B2,4,1.5,3.25,0.0,9.256753921508789,-24.0,18.5,2.5,-2.5,-5.5,0
55,283570,B2,9,15.0,-2.0,0.0,4.123105525970459,-10.0,1.0,-1.0,1.0,-9.0,0
47,53980,B8,8,38.5,-4.0,0.0,11.280513763427734,26.0,-22.5,-3.5,6.5,3.5,3
50,130872,B2,4,6.5,-0.25,0.0,2.384848117828369,5.0,-3.5,-1.5,2.5,1.5,0
55,282298,B2,6,-36.5,4.5,0.0,17.846569061279297,-45.0,31.5,9.5,-9.5,-13.5,0
55,284934,B6,6,8.0,2.0,0.0,4.062019348144531,9.0,0.0,-1.0,0.0,9.0,2
56,309982,B2,5,6.5,0.25,0.0,6.299801349639893,-2.0,7.5,-5.5,-6.5,5.5,0
60,466438,B2,8,-27.0,-1.0,0.0,11.379806518554688,19.0,-18.0,-1.0,14.0,1.0,0
47,55350,B8,6,-13.0,0.0,0.0,2.5495097637176514,4.0,-2.0,-3.0,3.0,2.0,3
61,502972,B6,8,-21.0,-0.25,0.0,9.283721923828125,-25.0,12.0,4.0,-4.0,-13.0,2
54,246261,B8,4,3.0,-0.5,0.0,2.291287899017334,-3.0,2.0,1.0,-4.0,-1.0,3
47,54077,B6,9,17.5,3.25,0.0,14.566657066345215,32.0,-6.5,-12.5,6.5,25.5,2
54,246329,B2,4,1.0,-1.5,0.0,3.2015621662139893,7.0,-7.0,1.0,0.0,0.0,0
55,283058,B6,9,-14.0,0.0,0.0,2.1213202476501465,3.0,-3.0,3.0,0.0,0.0,2
65,648767,B4,7,-2.5,-1.0,0.0,2.0615527629852295,4.0,-4.5,0.5,0.5,-0.5,1
48,66531,B8,4,6.0,0.75,0.0,4.205650806427002,-11.0,7.0,2.0,-2.0,-4.0,3
61,503042,B4,4,15.0,-1.25,0.0,3.41869854927063,-2.0,2.0,0.0,-7.0,0.0,1
