method,heldout_runs,mae_adc,mae_ci_low,mae_ci_high,rmse_adc,rmse_ci_low,rmse_ci_high,bias_adc,n_rows
gradient_boosted_trees,"58,59,60,61,62,63,65",14.899147318698656,14.459564510322654,15.368619986763408,32.30437933377336,26.986396438171568,37.60380494637767,-0.5728012032045717,45906
mlp,"58,59,60,61,62,63,65",15.485955488200332,15.096478368909924,15.846995232471741,31.19175833330352,27.089237814720903,35.77839009980916,1.9804091329576359,45906
one_dimensional_cnn,"58,59,60,61,62,63,65",17.228169862553752,16.590405430928687,17.72158543251499,46.47886211450305,34.96349083065873,56.47747901716653,1.4756898083841785,45906
pretrigger_gated_cnn,"58,59,60,61,62,63,65",17.260093379792742,16.739523417773615,17.794473666924837,46.52171725241061,36.546207079524386,55.946560493448956,2.069044533016302,45906
traditional_pretrigger_median,"58,59,60,61,62,63,65",17.39109246569497,16.707184122836313,17.93561700069276,46.697842429095644,35.36394803163174,58.03880843522036,2.6416443188791012,45906
ridge,"58,59,60,61,62,63,65",21.7100682635255,21.162676210267307,22.151176212473043,40.830324222428466,34.51683356263892,46.92183527062608,-2.6042587593785487,45906
