run,path,missing,entries,selected_pulses,bad_hrdv
31,/home/billy/ccb-data/extracted/root/root/hrdb_run_0031.root,False,39990,27871,0
32,/home/billy/ccb-data/extracted/root/root/hrdb_run_0032.root,False,41921,28240,0
33,/home/billy/ccb-data/extracted/root/root/hrdb_run_0033.root,False,57173,48737,0
34,/home/billy/ccb-data/extracted/root/root/hrdb_run_0034.root,False,39765,34118,0
35,/home/billy/ccb-data/extracted/root/root/hrdb_run_0035.root,False,27786,11667,0
36,/home/billy/ccb-data/extracted/root/root/hrdb_run_0036.root,False,21764,10391,0
37,/home/billy/ccb-data/extracted/root/root/hrdb_run_0037.root,False,50513,24537,0
39,/home/billy/ccb-data/extracted/root/root/hrdb_run_0039.root,False,30321,14218,0
40,/home/billy/ccb-data/extracted/root/root/hrdb_run_0040.root,False,32613,14708,0
41,/home/billy/ccb-data/extracted/root/root/hrdb_run_0041.root,False,33997,16146,0
42,/home/billy/ccb-data/extracted/root/root/hrdb_run_0042.root,False,33972,18112,0
44,/home/billy/ccb-data/extracted/root/root/hrdb_run_0044.root,False,4294,2038,0
45,/home/billy/ccb-data/extracted/root/root/hrdb_run_0045.root,False,48181,24333,0
46,/home/billy/ccb-data/extracted/root/root/hrdb_run_0046.root,False,1441,687,0
47,/home/billy/ccb-data/extracted/root/root/hrdb_run_0047.root,False,10970,5276,0
48,/home/billy/ccb-data/extracted/root/root/hrdb_run_0048.root,False,31713,14000,0
49,/home/billy/ccb-data/extracted/root/root/hrdb_run_0049.root,False,32354,14815,0
50,/home/billy/ccb-data/extracted/root/root/hrdb_run_0050.root,False,44804,35217,0
51,/home/billy/ccb-data/extracted/root/root/hrdb_run_0051.root,False,20569,14740,0
52,/home/billy/ccb-data/extracted/root/root/hrdb_run_0052.root,False,10005,7152,0
53,/home/billy/ccb-data/extracted/root/root/hrdb_run_0053.root,False,39612,32200,0
54,/home/billy/ccb-data/extracted/root/root/hrdb_run_0054.root,False,37413,30440,0
55,/home/billy/ccb-data/extracted/root/root/hrdb_run_0055.root,False,24416,17387,0
56,/home/billy/ccb-data/extracted/root/root/hrdb_run_0056.root,False,51823,40148,0
57,/home/billy/ccb-data/extracted/root/root/hrdb_run_0057.root,False,31284,13833,0
58,/home/billy/ccb-data/extracted/root/root/hrdb_run_0058.root,False,34141,16781,0
59,/home/billy/ccb-data/extracted/root/root/hrdb_run_0059.root,False,42303,21377,0
60,/home/billy/ccb-data/extracted/root/root/hrdb_run_0060.root,False,36074,17029,0
61,/home/billy/ccb-data/extracted/root/root/hrdb_run_0061.root,False,36535,18965,0
62,/home/billy/ccb-data/extracted/root/root/hrdb_run_0062.root,False,37584,19089,0
63,/home/billy/ccb-data/extracted/root/root/hrdb_run_0063.root,False,37030,18817,0
64,/home/billy/ccb-data/extracted/root/root/hrdb_run_0064.root,False,35943,14630,0
65,/home/billy/ccb-data/extracted/root/root/hrdb_run_0065.root,False,38424,13038,0
