path,run,entries,trigger_values,trigger_counts,nonbeam_entries
/home/billy/ccb-data/extracted/root/root/hrdb_run_0012.root,12,14791,1,14791,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0013.root,13,50629,1,50629,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0014.root,14,3479,1,3479,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0015.root,15,103871,1,103871,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0016.root,16,11533,1,11533,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0017.root,17,5648,1,5648,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0018.root,18,75023,1,75023,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0019.root,19,73470,1,73470,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0020.root,20,57388,1,57388,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0021.root,21,0,,,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0022.root,22,0,,,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0023.root,23,3806,1,3806,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0024.root,24,24908,1,24908,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0025.root,25,3315,1,3315,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0026.root,26,53953,1,53953,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0027.root,27,34979,1,34979,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0028.root,28,5203,1,5203,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0029.root,29,25800,1,25800,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0030.root,30,5265,1,5265,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0031.root,31,39990,1,39990,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0032.root,32,41921,1,41921,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0033.root,33,57173,1,57173,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0034.root,34,39765,1,39765,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0035.root,35,27786,1,27786,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0036.root,36,21764,1,21764,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0037.root,37,50513,1,50513,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0039.root,39,30321,1,30321,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0040.root,40,32613,1,32613,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0041.root,41,33997,1,33997,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0042.root,42,33972,1,33972,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0043.root,43,13,1,13,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0044.root,44,4294,1,4294,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0045.root,45,48181,1,48181,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0046.root,46,1441,1,1441,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0047.root,47,10970,1,10970,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0048.root,48,31713,1,31713,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0049.root,49,32354,1,32354,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0050.root,50,44804,1,44804,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0051.root,51,20569,1,20569,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0052.root,52,10005,1,10005,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0053.root,53,39612,1,39612,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0054.root,54,37413,1,37413,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0055.root,55,24416,1,24416,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0056.root,56,51823,1,51823,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0057.root,57,31284,1,31284,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0058.root,58,34141,1,34141,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0059.root,59,42303,1,42303,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0060.root,60,36074,1,36074,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0061.root,61,36535,1,36535,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0062.root,62,37584,1,37584,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0063.root,63,37030,1,37030,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0064.root,64,35943,1,35943,0
/home/billy/ccb-data/extracted/root/root/hrdb_run_0065.root,65,38424,1,38424,0
