method,run,mae_adc,rmse_adc,bias_adc,n
gradient_boosted_trees,58,14.995595388271724,35.837070298715986,-0.7350630289898916,6639
gradient_boosted_trees,59,15.854537862724028,43.56845589322189,-0.8989649067069172,6672
gradient_boosted_trees,60,14.913074638540932,35.62685519964884,0.21801817647290694,6471
gradient_boosted_trees,61,15.11167650624478,27.356729374766466,-1.0954812177657116,6625
gradient_boosted_trees,62,15.225573169679627,35.405030263541164,-0.4371121481616743,6527
gradient_boosted_trees,63,14.131175269498868,22.2682194666284,-0.4089293921636626,6480
gradient_boosted_trees,65,14.062398395930646,26.068294839890807,-0.6520759051170515,6492
mlp,58,15.498187416413945,32.53148030141931,1.558222527855185,6639
mlp,59,16.131557386556118,33.83348578760611,1.8495394461732402,6672
mlp,60,15.832291913168856,42.52681225376286,2.6120268108855442,6471
mlp,61,15.855847239368368,31.169379664036228,1.3960897353550172,6625
mlp,62,15.623678045870426,31.550446848007958,2.397737344593079,6527
mlp,63,14.794926295824993,23.646073505921823,1.9555850864192585,6480
mlp,65,14.66520012019963,23.084629972370365,2.0936629794221266,6492
one_dimensional_cnn,58,16.946492499517987,40.16041819903124,1.310504767168967,6639
one_dimensional_cnn,59,17.3506226327708,36.201044166285335,1.7948369708278482,6672
one_dimensional_cnn,60,18.117578811097268,68.84910053494534,3.023713641401753,6471
one_dimensional_cnn,61,18.21693860655011,59.80186551105375,1.6197584967343313,6625
one_dimensional_cnn,62,17.420921661449423,53.54107509509082,1.479053329796818,6527
one_dimensional_cnn,63,16.804696383649183,45.36840982251815,1.279534973204136,6480
one_dimensional_cnn,65,15.739938442841476,21.4301214725967,-0.1775735204446044,6492
pretrigger_gated_cnn,58,16.97831002947031,40.16906108838393,1.9048179931967266,6639
pretrigger_gated_cnn,59,17.392797943564634,36.22895624973801,2.388153392388692,6672
pretrigger_gated_cnn,60,18.165203846384284,68.93919512331517,3.6166406288867368,6471
pretrigger_gated_cnn,61,18.23348205239171,59.868848460204845,2.215340103666456,6625
pretrigger_gated_cnn,62,17.462594322464426,53.617849299750574,2.0726835733259326,6527
pretrigger_gated_cnn,63,16.833322294487296,45.405630493521585,1.873285048694442,6480
pretrigger_gated_cnn,65,15.754943169786543,21.422480051960203,0.41239099095512965,6492
ridge,58,21.150677202049195,41.401537098161214,-2.578883222219976,6639
ridge,59,21.68555073415061,33.50903878127984,-2.4703987026386125,6672
ridge,60,22.548353362610307,55.5689272239144,-2.308466261237505,6471
ridge,61,22.159474890582967,42.74082379679128,-3.073939169757771,6625
ridge,62,22.04810401530183,47.58830399748736,-2.6626859188299004,6527
ridge,63,21.83244738427945,37.94078376810233,-2.9216638964267423,6480
ridge,65,20.54587025570414,27.062854891262845,-2.2137741445393306,6492
traditional_pretrigger_median,58,17.109504443440276,40.40378830448722,2.4743184214490133,6639
traditional_pretrigger_median,59,17.53394784172662,36.470807389838065,2.963504196642686,6672
traditional_pretrigger_median,60,18.306675938803895,69.11602784599134,4.196955648276928,6471
traditional_pretrigger_median,61,18.354867924528303,60.07191476385805,2.7907924528301886,6625
traditional_pretrigger_median,62,17.607706450130227,53.71492606113053,2.649532710280374,6527
traditional_pretrigger_median,63,16.96172839506173,45.576248687715015,2.442746913580247,6480
traditional_pretrigger_median,65,15.863216266173753,21.53118395064929,0.9736598890942699,6492
