run,run_family,candidate_rows,oracle_accepts,oracle_accept_fraction
31,high-knee,12229,248,0.020279663095919536
32,high-knee,11986,233,0.019439345903554145
33,high-knee,16060,190,0.011830635118306352
34,high-knee,15534,166,0.010686236642204198
35,low-knee,1408,0,0.0
36,low-knee,2141,0,0.0
37,low-knee,4938,0,0.0
39,low-knee,2295,0,0.0
40,low-knee,1972,0,0.0
41,low-knee,2720,0,0.0
45,low-knee,5448,0,0.0
47,high-knee,1267,47,0.037095501183898975
48,low-knee,1975,0,0.0
49,low-knee,2146,0,0.0
50,high-knee,19476,347,0.017816800164304786
51,high-knee,7240,218,0.03011049723756906
52,high-knee,3622,96,0.02650469353948095
53,high-knee,13948,250,0.01792371666188701
54,high-knee,13272,235,0.017706449668474986
55,high-knee,8323,231,0.027754415475189236
56,high-knee,21626,455,0.021039489503375565
57,low-knee,1828,0,0.0
58,low-knee,1610,0,0.0
59,low-knee,794,0,0.0
60,low-knee,333,0,0.0
61,low-knee,405,0,0.0
62,low-knee,495,0,0.0
63,low-knee,1212,0,0.0
64,low-knee,763,0,0.0
65,low-knee,442,0,0.0
