heldout_run,method,alpha,cv_mae_adc,learning_rate,max_leaf_nodes
58,ridge,0.1,160.75912949716317,,
58,ridge,1.0,160.76533304777382,,
58,ridge,10.0,160.82946989186593,,
58,ridge,100.0,161.4422594182094,,
58,ridge,1000.0,163.79018481020697,,
58,gradient_boosted_trees,,71.24137486357098,0.04,15.0
58,gradient_boosted_trees,,56.395144685341734,0.04,31.0
58,gradient_boosted_trees,,60.60280349093185,0.08,15.0
58,gradient_boosted_trees,,51.94072777605549,0.08,31.0
59,ridge,0.1,151.41049380845874,,
59,ridge,1.0,151.40985048919595,,
59,ridge,10.0,151.4130884044636,,
59,ridge,100.0,151.72916426027646,,
59,ridge,1000.0,153.30659909133635,,
59,gradient_boosted_trees,,67.24516147004225,0.04,15.0
59,gradient_boosted_trees,,53.7851121155015,0.04,31.0
59,gradient_boosted_trees,,55.92234804354098,0.08,15.0
59,gradient_boosted_trees,,48.7831523516426,0.08,31.0
60,ridge,0.1,155.28825404576975,,
60,ridge,1.0,155.29121371066327,,
60,ridge,10.0,155.3275707303266,,
60,ridge,100.0,155.8407298237978,,
60,ridge,1000.0,158.39075619233495,,
60,gradient_boosted_trees,,74.82482782325171,0.04,15.0
60,gradient_boosted_trees,,57.19637649622111,0.04,31.0
60,gradient_boosted_trees,,63.38581581153091,0.08,15.0
60,gradient_boosted_trees,,54.522625009866964,0.08,31.0
61,ridge,0.1,154.75767858951704,,
61,ridge,1.0,154.76363094347153,,
61,ridge,10.0,154.8252725405874,,
61,ridge,100.0,155.364876894026,,
61,ridge,1000.0,156.87630551979987,,
61,gradient_boosted_trees,,70.47873536929795,0.04,15.0
61,gradient_boosted_trees,,55.949142685944445,0.04,31.0
61,gradient_boosted_trees,,59.560477058602,0.08,15.0
61,gradient_boosted_trees,,50.12117450244235,0.08,31.0
62,ridge,0.1,155.317081857107,,
62,ridge,1.0,155.3225440096635,,
62,ridge,10.0,155.38514039346876,,
62,ridge,100.0,156.0990906554967,,
62,ridge,1000.0,158.68555016831846,,
62,gradient_boosted_trees,,70.65377479604041,0.04,15.0
62,gradient_boosted_trees,,56.028972542432825,0.04,31.0
62,gradient_boosted_trees,,59.93539959578646,0.08,15.0
62,gradient_boosted_trees,,51.283184847870054,0.08,31.0
63,ridge,0.1,150.36354694787417,,
63,ridge,1.0,150.36763109896637,,
63,ridge,10.0,150.41928821625868,,
63,ridge,100.0,151.09906644024312,,
63,ridge,1000.0,154.14693835910586,,
63,gradient_boosted_trees,,68.92090066425096,0.04,15.0
63,gradient_boosted_trees,,55.28876671660123,0.04,31.0
63,gradient_boosted_trees,,59.701116880022134,0.08,15.0
63,gradient_boosted_trees,,51.03633854880399,0.08,31.0
65,ridge,0.1,152.64016501065652,,
65,ridge,1.0,152.64013545526194,,
65,ridge,10.0,152.64813913790033,,
65,ridge,100.0,153.0510259165294,,
65,ridge,1000.0,155.2885118919599,,
65,gradient_boosted_trees,,70.7753146118887,0.04,15.0
65,gradient_boosted_trees,,57.09714754770629,0.04,31.0
65,gradient_boosted_trees,,61.33305643700479,0.08,15.0
65,gradient_boosted_trees,,52.59840473074885,0.08,31.0
