run,method,family,n_target_rows,pedestal_mae_adc,pedestal_rmse_adc,pedestal_bias_adc,pedestal_q05_adc,pedestal_q95_adc,n_pair_rows,timing_sigma68_shift_ns,timing_full_rms_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction,timing_shift_bias_ns,n_charge_rows,charge_bias_delta_adc,charge_abs_delta_adc
58,traditional_median3,traditional,67124,50.45439783088016,309.4454146012224,-5.084276860735356,-26.0,25.0,1412,0.06994379455273304,10.332529148199892,0.13031161473087818,0.00424929178470255,-0.21084947758662903,67124,0.0,17.25522912818068
58,traditional_mean3,traditional,67124,46.51510637029974,275.39462110390343,1.5581891827645365e-15,-23.0,25.33333333333303,1412,0.07066244735253392,4.370367668264478,0.12110481586402266,0.004957507082152974,0.10320028878731491,67124,-5.084276860735358,15.829658542399144
58,one_dimensional_cnn,ml,67124,27.4728742495903,124.50911388771966,-2.053621380963948,-38.39861037857149,40.953243221807405,1407,0.41045865830591477,7.448904418392211,0.25870646766169153,0.016346837242359632,-0.21298959098558792,67124,-3.030655479771406,39.62324677163987
58,target_masked_residual_cnn,new_architecture,67124,27.71686391280494,89.01031430334578,-3.615887677182812,-48.95145056060805,45.090245938042315,1405,0.47547400593893707,7.659982925119983,0.30676156583629893,0.016370106761565837,-0.06407286459750472,67124,-1.4683891835525447,45.771358937307994
58,gradient_boosted_trees,ml,67124,19.53329741137041,82.01599945814695,4.669735597576696,-16.503392427823748,39.582103341730544,1404,0.21074015326279263,7.44407900475427,0.1908831908831909,0.017094017094017096,-0.12937638677842428,67124,-9.754012458312054,37.183081798977966
58,ridge,ml,67124,75.5497572445089,197.74035927530454,17.583114465422113,-80.31381393439491,113.77694135347947,1411,0.7410860225680672,12.77734067449871,0.6810772501771793,0.020552799433026223,-1.7261928336063213,67124,-22.667391326157468,75.23459049928739
58,traditional_line3,traditional,67124,32.97952474595702,207.44843567843847,-3.984225356908748,-20.33333333333303,20.142857142857792,1403,0.173950312318209,8.690198177877287,0.15751960085531005,0.020669992872416252,0.04035571732638612,67124,-1.100051503826609,35.44788252587252
58,mlp,ml,67124,33.831129983392444,135.60988856069534,3.748765709181404,-50.39291348143543,62.27947979874116,1400,0.49702520491460433,6.335885211791826,0.3142857142857143,0.02642857142857143,-0.3861620598660762,67124,-8.833042569916758,44.525440188292364
58,traditional_run_stratified,traditional,67124,33.67646019733202,202.5253424889038,4.1505827168481275,-19.0,35.33333333333303,1395,0.1908265709687803,8.640325857474393,0.18853046594982079,0.03512544802867384,-0.30417269112797646,67124,-9.234859577583483,39.303252544686316
59,traditional_mean3,traditional,85508,314.3756373672639,818.4727975077075,1.265727996339272e-15,-1290.6499999999996,1083.766666666663,15012,0.09566927055500085,1.4411422534227658,0.14148681055155876,0.0006661337596589396,0.011279474272010703,85508,-47.1848482013379,109.861022750308
59,traditional_median3,traditional,85508,340.6083407400477,930.957096775102,-47.184848201337886,-1536.0,1033.0,15012,0.0777536089242335,2.008318817931093,0.13309352517985612,0.0015987210231814548,0.02005582413800108,85508,0.0,118.94339710904242
59,ridge,ml,85508,208.05973847002332,536.5921643452419,-23.774044677162827,-691.7348294184419,472.3000404327626,14974,0.5953897630684628,2.3047831622317734,0.6387070922933084,0.004340857486309603,-0.6592351556959094,85508,-23.41080352417506,207.6872785093441
59,target_masked_residual_cnn,new_architecture,85508,66.21931813802969,312.3468098975581,20.7532863348976,-80.85881828372953,166.16160792122125,14893,0.5060907491886781,2.512997177333213,0.3225676492311824,0.00946753508359632,0.11118199781700298,85508,-67.9381345362355,223.54614079649937
59,gradient_boosted_trees,ml,85508,60.835330799194466,274.3470041243327,-3.3304530955089353,-174.5634262086388,130.90470189678973,14909,0.2504381095573497,2.597081410880836,0.21590985310886043,0.020859883291971294,-0.0023641773355351464,85508,-43.85439510582895,213.8221087034286
59,one_dimensional_cnn,ml,85508,88.6843058619234,363.6242127066891,-14.735245620573874,-251.23764759850792,127.33208972654828,14858,0.3981026229941516,2.4429761324678694,0.27883968232601963,0.024094763763629023,0.043857002203724356,85508,-32.44960258076401,214.58362882671136
59,traditional_line3,traditional,85508,214.08875916928966,637.8713217655649,-42.52899756525148,-912.0,502.0,14891,0.20984338415020004,3.2698338157106877,0.1899805251494191,0.026056006984084345,-0.017164793998397643,85508,-4.655850636086402,235.97427085630528
