population,current_group,dynamic_topology,calibrated_pid_support,calibrated_energy_support,n,secondary_fraction,timing_tail_fraction,median_dynamic_amp_adc
matched_s00_core,high_20nA,B2_only,proton_like_low_residual,energy_q4,18947,0.017205890114530005,0.0,8017.0
matched_s00_core,high_20nA,B2_only,ambiguous_mid_residual,energy_q1,15750,0.0005714285714285715,0.0,1881.5
matched_s00_core,high_20nA,B2_only,ambiguous_mid_residual,energy_q4,14878,0.05571985481919613,0.0,8137.0
matched_s00_core,high_20nA,B2_only,ambiguous_mid_residual,energy_q2,10060,0.20924453280318092,0.0,4019.5
matched_s00_core,high_20nA,B2_only,ambiguous_mid_residual,energy_q3,9889,0.06876327232278288,0.0,5986.0
matched_s00_core,high_20nA,B2_only,proton_like_low_residual,energy_q3,6061,0.04042237254578453,0.0,6255.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,5612,0.0067712045616536,0.9821810406272273,2403.0
matched_s00_core,high_20nA,all_four,deuteron_like_high_residual,energy_q1,5588,0.0025053686471009306,0.5706871868289191,2264.0
matched_s00_core,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,5408,0.011279585798816568,0.0,2384.0
matched_s00_core,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q2,5146,0.16129032258064516,0.0,3652.0
matched_s00_core,high_20nA,B2_only,deuteron_like_high_residual,energy_q1,3864,0.0007763975155279503,0.0,1467.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q2,3435,0.13333333333333333,0.980494905385735,3277.0
matched_s00_core,high_20nA,B2_only,proton_like_low_residual,energy_q1,3339,0.0002994908655286014,0.0,1860.0
matched_s00_core,high_20nA,B2_only,deuteron_like_high_residual,energy_q2,2659,0.1805189921022941,0.0,4086.0
matched_s00_core,high_20nA,B2_only,proton_like_low_residual,energy_q2,2372,0.20952782462057334,0.0,4442.0
matched_s00_core,high_20nA,all_four,deuteron_like_high_residual,energy_q2,1791,0.10329424902289223,0.6186487995533222,3149.0
matched_s00_core,high_20nA,B2_only,deuteron_like_high_residual,energy_q3,1621,0.048735348550277606,0.0,5819.0
matched_s00_core,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q3,1144,0.07517482517482517,0.0,5544.0
matched_s00_core,high_20nA,B2_only,deuteron_like_high_residual,energy_q4,685,0.07883211678832117,0.0,8297.0
matched_s00_core,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,673,0.007429420505200594,0.0,2829.0
matched_s00_core,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q4,631,0.28526148969889065,0.0,8348.0
matched_s00_core,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q2,529,0.17580340264650285,0.0,3858.0
matched_s00_core,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q4,451,0.17073170731707318,0.0,8387.0
matched_s00_core,low_2nA,B2_only,ambiguous_mid_residual,energy_q4,417,0.047961630695443645,0.0,8096.0
matched_s00_core,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q3,370,0.1891891891891892,0.0,6068.0
matched_s00_core,low_2nA,B2_only,ambiguous_mid_residual,energy_q3,330,0.06363636363636363,0.0,5677.5
matched_s00_core,high_20nA,B4_only,ambiguous_mid_residual,energy_q1,299,0.0,0.0,1596.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q3,293,0.14675767918088736,0.9761092150170648,5455.0
matched_s00_core,low_2nA,B2_only,ambiguous_mid_residual,energy_q1,289,0.0,0.0,1557.0
matched_s00_core,high_20nA,B6_only,deuteron_like_high_residual,energy_q1,250,0.0,0.0,1627.5
matched_s00_core,high_20nA,all_four,deuteron_like_high_residual,energy_q3,215,0.08372093023255814,0.5906976744186047,5402.0
matched_s00_core,low_2nA,B2_only,ambiguous_mid_residual,energy_q2,213,0.215962441314554,0.0,3835.0
matched_s00_core,high_20nA,B8_only,deuteron_like_high_residual,energy_q1,205,0.0,0.0,1556.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q4,184,0.15760869565217392,0.9728260869565217,8354.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q4,157,0.2802547770700637,0.9872611464968153,8190.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q1,114,0.008771929824561403,0.9824561403508771,2872.0
matched_s00_core,high_20nA,all_four,deuteron_like_high_residual,energy_q4,92,0.11956521739130435,0.4782608695652174,8522.0
matched_s00_core,high_20nA,B4_only,deuteron_like_high_residual,energy_q1,77,0.0,0.0,1535.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q2,72,0.06944444444444445,1.0,3395.5
matched_s00_core,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q1,64,0.015625,0.953125,2061.0
matched_s00_core,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q3,49,0.2653061224489796,0.9183673469387755,5849.0
matched_s00_core,high_20nA,all_four,ambiguous_mid_residual,energy_q4,49,0.1836734693877551,0.6938775510204082,8378.0
matched_s00_core,high_20nA,B6_only,deuteron_like_high_residual,energy_q2,45,0.15555555555555556,0.0,3452.0
matched_s00_core,high_20nA,B4_only,ambiguous_mid_residual,energy_q2,44,0.1590909090909091,0.0,3533.5
matched_s00_core,high_20nA,all_four,ambiguous_mid_residual,energy_q1,43,0.0,0.4883720930232558,2415.0
matched_s00_core,high_20nA,B8_only,deuteron_like_high_residual,energy_q2,21,0.23809523809523808,0.0,3092.0
matched_s00_core,high_20nA,all_four,ambiguous_mid_residual,energy_q2,21,0.047619047619047616,0.5714285714285714,3552.0
matched_s00_core,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q2,18,0.16666666666666666,0.8888888888888888,3105.5
matched_s00_core,high_20nA,B4_only,deuteron_like_high_residual,energy_q2,16,0.0625,0.0,3963.5
matched_s00_core,high_20nA,all_four,ambiguous_mid_residual,energy_q3,11,0.2727272727272727,0.45454545454545453,5669.0
matched_s00_core,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,11,0.0,0.0,2273.0
matched_s00_core,high_20nA,all_downstream,deuteron_like_high_residual,energy_q1,10,0.0,0.8,1766.0
matched_s00_core,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,9,0.0,1.0,2869.0
matched_s00_core,high_20nA,B4_only,ambiguous_mid_residual,energy_q3,8,0.0,0.0,5099.5
matched_s00_core,low_2nA,all_four,deuteron_like_high_residual,energy_q1,8,0.0,0.5,2181.5
matched_s00_core,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q2,7,0.14285714285714285,0.0,3957.0
matched_s00_core,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q2,6,0.16666666666666666,0.0,3496.0
matched_s00_core,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,4,0.25,0.0,2830.5
matched_s00_core,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q3,4,0.25,0.0,5035.5
matched_s00_core,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q4,4,0.25,0.0,8856.5
matched_s00_core,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q2,3,0.3333333333333333,1.0,3274.0
matched_s00_core,low_2nA,B4_only,ambiguous_mid_residual,energy_q1,3,0.0,0.0,1259.0
matched_s00_core,low_2nA,B6_only,deuteron_like_high_residual,energy_q1,3,0.0,0.0,1338.0
matched_s00_core,high_20nA,B4_only,deuteron_like_high_residual,energy_q3,2,0.0,0.0,5765.5
matched_s00_core,high_20nA,B6_only,deuteron_like_high_residual,energy_q3,2,0.0,0.0,5316.5
matched_s00_core,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q3,2,0.0,0.0,5777.5
matched_s00_core,high_20nA,B8_only,deuteron_like_high_residual,energy_q3,1,0.0,0.0,5782.0
matched_s00_core,high_20nA,all_downstream,deuteron_like_high_residual,energy_q2,1,0.0,1.0,3044.0
matched_s00_core,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q3,1,0.0,1.0,6065.0
matched_s00_core,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q4,1,0.0,1.0,8963.0
selector_edge_atom,high_20nA,B2_only,proton_like_low_residual,energy_q4,18947,0.008233493429038898,0.0,8129.0
selector_edge_atom,high_20nA,B2_only,ambiguous_mid_residual,energy_q1,15750,0.00019047619047619048,0.0,1886.0
selector_edge_atom,high_20nA,B2_only,ambiguous_mid_residual,energy_q4,14878,0.02466729399112784,0.0,8270.0
selector_edge_atom,high_20nA,B2_only,ambiguous_mid_residual,energy_q2,10060,0.1658051689860835,0.0,4116.0
selector_edge_atom,high_20nA,B2_only,ambiguous_mid_residual,energy_q3,9889,0.04772980078875518,0.0,5987.0
selector_edge_atom,high_20nA,B2_only,proton_like_low_residual,energy_q3,6061,0.02128361656492328,0.0,6274.0
