primary_atom,current_group,dynamic_topology,calibrated_pid_support,calibrated_energy_support,n,secondary_fraction,timing_tail_fraction,charge_area_median,baseline_excursion_median,saturation_fraction,dropout_proxy_fraction
baseline_excursion,high_20nA,B2_only,proton_like_low_residual,energy_q4,18947,0.008233493429038898,0.0,64266.0,370.0,1.0,0.0006861244524199082
baseline_excursion,high_20nA,B2_only,ambiguous_mid_residual,energy_q4,14878,0.02466729399112784,0.0,63858.0,468.0,1.0,0.0008065600215082673
baseline_excursion,high_20nA,B2_only,ambiguous_mid_residual,energy_q2,10060,0.1658051689860835,0.0,30497.0,1172.0,1.0,0.12216699801192843
baseline_excursion,high_20nA,B2_only,ambiguous_mid_residual,energy_q3,9889,0.04772980078875518,0.0,50516.0,583.0,1.0,0.0009101021336838912
dynamic_only,high_20nA,B2_only,ambiguous_mid_residual,energy_q1,9589,0.0,0.0,-18299.0,741.0,1.0,0.9800813432057566
baseline_excursion,high_20nA,B2_only,proton_like_low_residual,energy_q3,6061,0.02128361656492328,0.0,53228.0,360.0,1.0,0.0006599571027883187
baseline_excursion,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q2,5146,0.1700349786241741,0.0,28516.5,1363.0,1.0,0.09075009716284493
dynamic_only,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,3579,0.0,0.0,-19600.0,906.0,1.0,0.991617770326907
baseline_excursion,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q2,3435,0.13799126637554585,0.9176128093158661,25017.0,1179.0,1.0,0.06812227074235808
dynamic_only,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,3324,0.0,0.7557160048134778,-21037.0,992.0,1.0,0.9960890493381468
median_threshold_edge,high_20nA,B2_only,ambiguous_mid_residual,energy_q1,3119,0.0003206155819172812,0.0,7407.0,20.0,1.0,0.11862776530939403
baseline_excursion,high_20nA,B2_only,ambiguous_mid_residual,energy_q1,3042,0.0006574621959237344,0.0,9759.0,1231.5,1.0,0.46811308349769887
dynamic_only,high_20nA,all_four,deuteron_like_high_residual,energy_q1,2872,0.0,0.20090529247910863,-18241.0,1015.0,1.0,0.9979108635097493
baseline_excursion,high_20nA,B2_only,deuteron_like_high_residual,energy_q2,2659,0.14779992478375328,0.0,29037.0,2334.0,1.0,0.1560737119217751
baseline_excursion,high_20nA,all_four,deuteron_like_high_residual,energy_q1,2414,0.0008285004142502071,0.1391880695940348,10277.5,1657.5,1.0,0.5472245236122618
baseline_excursion,high_20nA,B2_only,proton_like_low_residual,energy_q2,2372,0.11340640809443507,0.0,30100.5,1044.5,1.0,0.10623946037099494
dynamic_only,high_20nA,B2_only,proton_like_low_residual,energy_q1,2037,0.0004909180166912126,0.0,-17922.0,725.0,1.0,0.9798723613156602
baseline_excursion,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,1910,0.002617801047120419,0.8575916230366493,9003.5,1982.0,1.0,0.6366492146596858
baseline_excursion,high_20nA,all_four,deuteron_like_high_residual,energy_q2,1791,0.0893355667225014,0.31211613623673923,23710.0,1117.0,1.0,0.05471803461753211
median_threshold_edge,high_20nA,B2_only,deuteron_like_high_residual,energy_q1,1686,0.0005931198102016608,0.0,7438.0,16.0,1.0,0.060498220640569395
baseline_excursion,high_20nA,B2_only,deuteron_like_high_residual,energy_q3,1621,0.04565083281924738,0.0,48986.0,1710.0,1.0,0.0030845157310302285
baseline_excursion,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,1389,0.0014398848092152627,0.0,7389.0,1946.0,1.0,0.6839452843772498
dynamic_only,high_20nA,B2_only,deuteron_like_high_residual,energy_q1,1220,0.0,0.0,-12302.0,937.5,1.0,0.9155737704918033
baseline_excursion,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q3,1144,0.04283216783216783,0.0,47417.0,1277.5,1.0,0.0
baseline_excursion,high_20nA,B2_only,deuteron_like_high_residual,energy_q1,958,0.0020876826722338203,0.0,8580.5,1409.5,1.0,0.5511482254697286
baseline_excursion,high_20nA,B2_only,deuteron_like_high_residual,energy_q4,685,0.04671532846715328,0.0,62586.0,1881.0,1.0,0.004379562043795621
median_threshold_edge,high_20nA,B2_only,proton_like_low_residual,energy_q1,654,0.0015290519877675841,0.0,7449.0,19.0,1.0,0.11314984709480122
baseline_excursion,high_20nA,B2_only,proton_like_low_residual,energy_q1,648,0.0,0.0,9104.5,1229.0,1.0,0.5
baseline_excursion,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q4,631,0.16323296354992076,0.0,63803.0,629.0,1.0,0.001584786053882726
baseline_excursion,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q2,529,0.17391304347826086,0.0,27469.0,955.0,1.0,0.11531190926275993
dynamic_only,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,475,0.0,0.0,-22070.0,879.0,1.0,0.9936842105263158
baseline_excursion,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q4,451,0.1286031042128603,0.0,62938.0,975.0,1.0,0.004434589800443459
median_threshold_edge,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,440,0.0,0.0,1158.0,789.0,1.0,0.5181818181818182
baseline_excursion,low_2nA,B2_only,ambiguous_mid_residual,energy_q4,417,0.009592326139088728,0.0,63220.0,492.0,1.0,0.0
median_threshold_edge,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,378,0.0,0.8597883597883598,-4597.0,1601.0,1.0,0.6402116402116402
baseline_excursion,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q3,370,0.08108108108108109,0.0,47654.0,675.0,1.0,0.002702702702702703
baseline_excursion,low_2nA,B2_only,ambiguous_mid_residual,energy_q3,330,0.03636363636363636,0.0,51002.5,473.0,1.0,0.0
median_threshold_edge,high_20nA,all_four,deuteron_like_high_residual,energy_q1,302,0.0,0.19205298013245034,-4468.5,1937.0,1.0,0.7516556291390728
baseline_excursion,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q3,293,0.06143344709897611,0.9385665529010239,47717.0,1353.0,1.0,0.0
dynamic_only,high_20nA,B4_only,ambiguous_mid_residual,energy_q1,232,0.0,0.0,-14075.5,807.0,1.0,0.9956896551724138
baseline_excursion,high_20nA,all_four,deuteron_like_high_residual,energy_q3,215,0.018604651162790697,0.35348837209302325,47443.0,1211.0,1.0,0.004651162790697674
baseline_excursion,low_2nA,B2_only,ambiguous_mid_residual,energy_q2,213,0.215962441314554,0.0,32659.0,524.0,1.0,0.056338028169014086
baseline_excursion,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q4,184,0.08152173913043478,0.9293478260869565,63381.0,1004.5,1.0,0.0
dynamic_only,high_20nA,B6_only,deuteron_like_high_residual,energy_q1,173,0.0,0.0,-14023.0,750.0,1.0,0.9826589595375722
baseline_excursion,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q4,157,0.12101910828025478,0.9235668789808917,65253.0,647.0,1.0,0.0
baseline_excursion,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,154,0.006493506493506494,0.0,6203.5,1189.5,1.0,0.8311688311688312
dynamic_only,low_2nA,B2_only,ambiguous_mid_residual,energy_q1,152,0.0,0.0,-17197.0,720.5,1.0,0.9605263157894737
dynamic_only,high_20nA,B8_only,deuteron_like_high_residual,energy_q1,136,0.0,0.0,-13480.5,780.5,1.0,0.9705882352941176
baseline_excursion,high_20nA,all_four,deuteron_like_high_residual,energy_q4,92,0.11956521739130435,0.5108695652173914,64545.5,800.0,1.0,0.0
median_threshold_edge,low_2nA,B2_only,ambiguous_mid_residual,energy_q1,91,0.0,0.0,7570.0,24.0,1.0,0.054945054945054944
dynamic_only,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q1,77,0.0,0.7532467532467533,-21332.0,922.0,1.0,1.0
baseline_excursion,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q2,72,0.09722222222222222,0.8194444444444444,24933.5,936.5,1.0,0.08333333333333333
dynamic_only,high_20nA,B4_only,deuteron_like_high_residual,energy_q1,55,0.0,0.0,-12224.0,852.0,1.0,0.9818181818181818
median_threshold_edge,high_20nA,B4_only,ambiguous_mid_residual,energy_q1,52,0.0,0.0,6658.0,19.0,1.0,0.19230769230769232
baseline_excursion,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q3,49,0.061224489795918366,0.7142857142857143,48237.0,726.0,1.0,0.0
baseline_excursion,high_20nA,all_four,ambiguous_mid_residual,energy_q4,49,0.02040816326530612,0.42857142857142855,65173.0,686.0,1.0,0.0
baseline_excursion,low_2nA,B2_only,ambiguous_mid_residual,energy_q1,46,0.0,0.0,13135.5,624.0,1.0,0.32608695652173914
baseline_excursion,high_20nA,B6_only,deuteron_like_high_residual,energy_q2,45,0.17777777777777778,0.0,27807.0,1382.0,1.0,0.1111111111111111
baseline_excursion,high_20nA,B4_only,ambiguous_mid_residual,energy_q2,44,0.11363636363636363,0.0,29411.0,573.0,1.0,0.022727272727272728
median_threshold_edge,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,44,0.0,0.0,1069.5,450.0,1.0,0.5454545454545454
median_threshold_edge,high_20nA,B6_only,deuteron_like_high_residual,energy_q1,44,0.0,0.0,7063.5,19.5,1.0,0.18181818181818182
median_threshold_edge,high_20nA,B8_only,deuteron_like_high_residual,energy_q1,42,0.0,0.0,7345.0,15.5,1.0,0.21428571428571427
dynamic_only,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q1,39,0.0,0.7692307692307693,-15173.0,825.0,1.0,0.9743589743589743
baseline_excursion,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q1,34,0.0,0.8235294117647058,5004.5,1622.0,1.0,0.8529411764705882
baseline_excursion,high_20nA,B6_only,deuteron_like_high_residual,energy_q1,33,0.0,0.0,9325.0,1795.0,1.0,0.5454545454545454
baseline_excursion,high_20nA,B8_only,deuteron_like_high_residual,energy_q1,27,0.0,0.0,10029.0,1325.0,1.0,0.4074074074074074
baseline_excursion,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q1,22,0.0,0.8636363636363636,11199.0,1384.5,1.0,0.45454545454545453
baseline_excursion,high_20nA,B8_only,deuteron_like_high_residual,energy_q2,21,0.14285714285714285,0.0,22150.0,1068.0,1.0,0.0
baseline_excursion,high_20nA,all_four,ambiguous_mid_residual,energy_q2,21,0.09523809523809523,0.23809523809523808,25321.0,853.0,1.0,0.14285714285714285
dynamic_only,high_20nA,all_four,ambiguous_mid_residual,energy_q1,21,0.0,0.2857142857142857,-22775.0,875.0,1.0,1.0
baseline_excursion,high_20nA,all_four,ambiguous_mid_residual,energy_q1,20,0.05,0.3,6000.5,1520.5,1.0,0.9
baseline_excursion,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q2,18,0.2222222222222222,0.8333333333333334,23254.5,1337.0,1.0,0.05555555555555555
baseline_excursion,high_20nA,B4_only,deuteron_like_high_residual,energy_q2,16,0.0625,0.0,26397.5,1929.0,1.0,0.1875
baseline_excursion,high_20nA,B4_only,ambiguous_mid_residual,energy_q1,15,0.0,0.0,10150.0,1789.0,1.0,0.5333333333333333
median_threshold_edge,high_20nA,B4_only,deuteron_like_high_residual,energy_q1,12,0.0,0.0,4069.0,13.0,1.0,0.16666666666666666
baseline_excursion,high_20nA,all_four,ambiguous_mid_residual,energy_q3,11,0.18181818181818182,0.0,50560.0,1158.0,1.0,0.0
baseline_excursion,high_20nA,B4_only,deuteron_like_high_residual,energy_q1,10,0.0,0.0,5642.5,1601.0,1.0,0.6
baseline_excursion,high_20nA,B4_only,ambiguous_mid_residual,energy_q3,8,0.0,0.0,46489.5,356.5,1.0,0.0
baseline_excursion,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q2,7,0.2857142857142857,0.0,28103.0,1198.0,1.0,0.14285714285714285
baseline_excursion,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q2,6,0.0,0.0,33439.5,1260.5,1.0,0.0
dynamic_only,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,6,0.0,1.0,-30973.0,842.0,1.0,1.0
dynamic_only,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,6,0.0,0.0,-25924.0,768.0,1.0,1.0
