match_key,edge_n,control_n,matched_n
"56|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",4898,14557,4898
"50|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",3621,13822,3621
"31|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",2788,7724,2788
"32|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",2671,7548,2671
"55|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",1625,5870,1625
"53|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",1561,10970,1561
"51|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",1498,4988,1498
"54|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",1468,10418,1468
"56|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",1405,8236,1405
"45|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",1177,2988,1177
"34|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",1102,12858,1102
"37|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",1069,2655,1069
"42|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",1060,2706,1060
"32|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",1047,5606,1047
"31|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",999,5674,999
"50|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",968,7596,968
"45|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",955,4113,955
"37|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",917,4070,917
"33|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",789,13252,789
"37|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",772,973,772
"45|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",716,898,716
"52|high_20nA|B2|(7000.0, 12000.0]|B2_only|proton_like_low_residual|energy_q4",710,2482,710
"37|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",707,4254,707
"45|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",636,4125,636
"41|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",602,2680,602
"42|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",589,3020,589
"41|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",584,1428,584
"37|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",619,577,577
"39|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",571,2315,571
"65|high_20nA|B2|(999.999, 1500.0]|B2_only|deuteron_like_high_residual|energy_q1",565,983,565
"45|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",562,551,551
"40|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",544,2412,544
"55|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",539,3978,539
"40|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",536,701,536
"41|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",536,714,536
"53|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",528,11355,528
"49|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",511,2495,511
"36|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",508,1157,508
"48|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",500,646,500
"48|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",499,2209,499
"39|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",495,1213,495
"42|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",495,611,495
"35|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",487,1896,487
"49|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",480,693,480
"54|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",476,10764,476
"57|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",476,644,476
"39|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",465,588,465
"57|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",460,2313,460
"59|high_20nA|B2|(999.999, 1500.0]|B2_only|deuteron_like_high_residual|energy_q1",459,592,459
"41|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",458,3036,458
"49|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",447,1077,447
"42|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",436,2865,436
"33|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",434,23429,434
"48|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",431,1007,431
"51|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",430,3293,430
"63|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",429,607,429
"40|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",428,2887,428
"48|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",428,2929,428
"49|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",428,2893,428
"57|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",423,2811,423
"62|high_20nA|B2|(999.999, 1500.0]|B2_only|deuteron_like_high_residual|energy_q1",413,537,413
"40|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",411,970,411
"32|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",409,3074,409
"39|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",407,2677,407
"40|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",426,398,398
"35|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",396,640,396
"41|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",408,395,395
"57|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",395,924,395
"48|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",422,394,394
"36|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",390,1707,390
"59|high_20nA|B2|(3000.0, 4500.0]|B2_only|deuteron_like_high_residual|energy_q2",390,2144,390
"49|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",422,384,384
"35|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",381,2760,381
"57|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",407,371,371
"31|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",362,2813,362
"35|high_20nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",359,688,359
"37|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",357,816,357
"64|high_20nA|B2|(999.999, 1500.0]|B2_only|deuteron_like_high_residual|energy_q1",349,583,349
"42|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",373,348,348
"34|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",344,12999,344
"36|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",341,1998,341
"32|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",337,594,337
"37|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",335,808,335
"35|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",329,351,329
"45|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",327,680,327
"45|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",324,791,324
"39|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",443,319,319
"62|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",314,952,314
"60|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",312,1059,312
"47|low_2nA|B2|(7000.0, 12000.0]|B2_only|ambiguous_mid_residual|energy_q4",310,716,310
"64|high_20nA|B2|(3000.0, 4500.0]|B2_only|deuteron_like_high_residual|energy_q2",310,2654,310
"32|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",309,328,309
"58|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",306,591,306
"59|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",299,846,299
"63|high_20nA|B2|(3000.0, 4500.0]|B2_only|ambiguous_mid_residual|energy_q2",297,3155,297
"61|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",292,1075,292
"56|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q4",285,586,285
"65|high_20nA|B2|(3000.0, 4500.0]|B2_only|deuteron_like_high_residual|energy_q2",283,2462,283
"31|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",278,531,278
"59|high_20nA|B2|(2000.0, 3000.0]|B2_only|deuteron_like_high_residual|energy_q1",273,691,273
"60|high_20nA|B2|(999.999, 1500.0]|B2_only|deuteron_like_high_residual|energy_q1",270,456,270
"36|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",269,453,269
"47|low_2nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q3",268,932,268
"49|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",260,563,260
"59|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",255,1032,255
"56|high_20nA|B2|(3000.0, 4500.0]|B2_only|proton_like_low_residual|energy_q2",252,2442,252
"40|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",251,541,251
"59|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",249,829,249
"32|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",248,579,248
"63|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",246,1479,246
"48|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",242,517,242
"42|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",240,531,240
"41|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",236,590,236
"56|high_20nA|B2|(2000.0, 3000.0]|B2_only|proton_like_low_residual|energy_q1",233,438,233
"59|high_20nA|B4|(2000.0, 3000.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q1",238,228,228
"50|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q4",227,499,227
"62|high_20nA|B2|(3000.0, 4500.0]|B2_only|deuteron_like_high_residual|energy_q2",227,1727,227
"56|high_20nA|B2|(999.999, 1500.0]|B2_only|proton_like_low_residual|energy_q1",226,258,226
"31|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",224,534,224
"32|high_20nA|B2|(12000.0, 20000.0]|B2_only|ambiguous_mid_residual|energy_q4",224,649,224
"36|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",224,277,224
"61|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",217,799,217
"62|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",216,740,216
"41|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",215,518,215
"57|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",215,511,215
"65|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",215,1409,215
"62|high_20nA|B4|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",214,233,214
"42|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",213,511,213
"52|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q3",212,1543,212
"59|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q2",209,414,209
"31|high_20nA|B2|(12000.0, 20000.0]|B2_only|ambiguous_mid_residual|energy_q4",207,573,207
"62|high_20nA|B2|(2000.0, 3000.0]|B2_only|deuteron_like_high_residual|energy_q1",207,685,207
"39|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",206,473,206
"61|high_20nA|B4|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",206,206,206
"50|high_20nA|B2|(999.999, 1500.0]|B2_only|proton_like_low_residual|energy_q1",205,210,205
"63|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",205,436,205
"48|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",204,542,204
"63|high_20nA|B2|(2000.0, 3000.0]|B2_only|ambiguous_mid_residual|energy_q1",202,1099,202
"32|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q4",199,360,199
"40|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",199,520,199
"64|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",197,1386,197
"31|high_20nA|B2|(999.999, 1500.0]|B2_only|ambiguous_mid_residual|energy_q1",194,310,194
"49|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",194,559,194
"59|high_20nA|B4|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",194,212,194
"39|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",190,499,190
"50|high_20nA|B2|(2000.0, 3000.0]|B2_only|proton_like_low_residual|energy_q1",190,390,190
"60|high_20nA|B4|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",190,652,190
"31|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q4",189,372,189
"61|high_20nA|B2|(3000.0, 4500.0]|B2_only|deuteron_like_high_residual|energy_q2",188,1554,188
"59|high_20nA|B2|(2000.0, 3000.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q1",180,182,180
"61|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",179,952,179
"65|high_20nA|B2|(2000.0, 3000.0]|B2_only|deuteron_like_high_residual|energy_q1",174,1257,174
"53|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q2",173,434,173
"56|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q2",173,452,173
"35|high_20nA|B2|(1500.0, 2000.0]|B2_only|ambiguous_mid_residual|energy_q1",172,517,172
"55|high_20nA|B2|(2000.0, 3000.0]|B2_only|proton_like_low_residual|energy_q1",172,224,172
"63|high_20nA|B2|(3000.0, 4500.0]|B2_plus_one_downstream|deuteron_like_high_residual|energy_q2",172,516,172
"64|high_20nA|B2|(2000.0, 3000.0]|B2_only|deuteron_like_high_residual|energy_q1",172,1043,172
"59|high_20nA|B6|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",171,234,171
"57|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",169,465,169
"61|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q2",168,635,168
"45|high_20nA|B2|(12000.0, 20000.0]|B2_only|ambiguous_mid_residual|energy_q4",166,340,166
"54|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q2",164,394,164
"61|high_20nA|B6|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",164,260,164
"60|high_20nA|B4|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",221,162,162
"60|high_20nA|B6|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",162,193,162
"62|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q2",162,385,162
"62|high_20nA|B6|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",161,277,161
"37|high_20nA|B2|(12000.0, 20000.0]|B2_only|ambiguous_mid_residual|energy_q4",160,297,160
"53|high_20nA|B2|(2000.0, 3000.0]|B2_only|proton_like_low_residual|energy_q1",158,303,158
"62|high_20nA|B2|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",158,170,158
"62|high_20nA|B4|(2000.0, 3000.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q1",223,157,157
"60|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",157,824,157
"64|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q2",157,440,157
"60|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q2",156,565,156
"62|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q3",155,982,155
"50|high_20nA|B2|(4500.0, 7000.0]|B2_only|proton_like_low_residual|energy_q2",154,397,154
"61|high_20nA|B2|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",154,177,154
"50|high_20nA|B2|(3000.0, 4500.0]|B2_only|proton_like_low_residual|energy_q2",153,1967,153
"65|high_20nA|B2|(4500.0, 7000.0]|B2_only|deuteron_like_high_residual|energy_q2",152,495,152
"55|high_20nA|B2|(999.999, 1500.0]|B2_only|proton_like_low_residual|energy_q1",174,151,151
"61|high_20nA|B6|(3000.0, 4500.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q2",151,587,151
"59|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q2",149,337,149
"56|high_20nA|B2|(12000.0, 20000.0]|B2_only|proton_like_low_residual|energy_q4",148,661,148
"59|high_20nA|B2|(2000.0, 3000.0]|all_four|deuteron_like_high_residual|energy_q1",148,160,148
"60|high_20nA|B2|(3000.0, 4500.0]|B2_only|deuteron_like_high_residual|energy_q2",148,1332,148
"35|high_20nA|B2|(4500.0, 7000.0]|B2_only|ambiguous_mid_residual|energy_q2",147,417,147
"62|high_20nA|B2|(3000.0, 4500.0]|B2_plus_ge2_downstream|deuteron_like_high_residual|energy_q2",146,517,146
"53|high_20nA|B2|(999.999, 1500.0]|B2_only|proton_like_low_residual|energy_q1",145,152,145
