metric,edge_value,matched_control_value,delta,ci_low,ci_high,unit
secondary_fraction,0.04487040559956976,0.06179915075332514,-0.016928745153755385,-0.019464968459939395,-0.01440525723335697,fraction
timing_tail_fraction,0.08166574357245487,0.11537072266236424,-0.03370497908990937,-0.04682805748559687,-0.020902664651072093,fraction
median_amp_adc,4214.5,4555.0,-340.5,-385.025,-1.2125000000000128,ADC or ADC-samples
dynamic_amp_adc,4636.0,4569.0,67.0,3.475,301.04999999999995,ADC or ADC-samples
signed_area_adc_samples,35936.0,39434.0,-3498.0,-3850.7375,-607.1125000000002,ADC or ADC-samples
baseline_excursion_adc,631.0,20.0,611.0,525.275,729.1999999999999,ADC or ADC-samples
