particle,deepest_layer,n,median_total_edep_MeV,median_downstream_edep_MeV
deuteron,0,1184,49.2775675,0.0
proton,0,622,36.4759665,0.0
deuteron,1,2022,76.97757849999999,0.0
proton,1,905,56.697283,0.0
deuteron,2,208,82.4377375,29.958758500000002
proton,2,427,84.289102,40.738466
deuteron,3,704,127.36883,75.9934755
proton,3,381,89.540053,49.792234
proton,4,124,67.480887,42.213596
proton,5,608,127.92423500000001,100.41334
proton,6,944,135.3358,109.455365
deuteron,7,1,48.443857,48.443857
proton,7,827,124.09623,101.43895
