family,stave,family_target_median_ns,family_target_iqr_ns,family_log_amp_median,family_log_amp_iqr,family_area_over_amp_median,family_peak_median,family_log_support,direct_support,summary_train_runs,fallback_pulses,method,heldout_run
__global__,B4,-4.1767157118730935,1.0,7.7702232041587855,0.3380970264521155,7.365806700038506,8.0,8.228977643358313,,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
sample_ii_early,B4,-4.1767157118730935,0.7500000000000071,7.797496675622756,0.3362911913375566,7.330943847072879,8.0,7.360103972989152,1571.0,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
sample_ii_late,B4,-4.1767157118730935,1.0,7.751367779576048,0.3293484339877475,7.38872039337282,8.0,7.685703061234547,2176.0,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
__global__,B6,2.6428031039120583,0.7500000000000071,7.811163385025279,0.3212812734214143,7.0987341772151895,8.0,8.228977643358313,,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
sample_ii_early,B6,2.6428031039120583,0.75,7.817826711042375,0.3274794160145227,7.112883435582822,8.0,7.360103972989152,1571.0,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
sample_ii_late,B6,2.6428031039120583,1.0,7.805882040228621,0.3166014980734033,7.087450563123148,8.0,7.685703061234547,2176.0,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
__global__,B8,1.5339126079610423,0.7500000000000142,8.115969077565328,0.380698273549541,8.303838124297414,8.0,8.228977643358313,,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
sample_ii_early,B8,1.5339126079610423,0.7500000000000071,8.117908942383155,0.3911169471759113,8.286845120299969,8.0,7.360103972989152,1571.0,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
sample_ii_late,B8,1.5339126079610423,0.7500000000000142,8.114175075756048,0.3765141646549761,8.317880648895336,8.0,7.685703061234547,2176.0,"59,60,61,62,63,65",0,traditional_family_summary_ridge,58
__global__,B4,-4.1767157118730935,1.0,7.7702232041587855,0.3380970264521155,7.365806700038506,8.0,8.228977643358313,,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
sample_ii_early,B4,-4.1767157118730935,0.7500000000000071,7.797496675622756,0.3362911913375566,7.330943847072879,8.0,7.360103972989152,1571.0,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
sample_ii_late,B4,-4.1767157118730935,1.0,7.751367779576048,0.3293484339877475,7.38872039337282,8.0,7.685703061234547,2176.0,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
__global__,B6,2.6428031039120583,0.7500000000000071,7.811163385025279,0.3212812734214143,7.0987341772151895,8.0,8.228977643358313,,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
sample_ii_early,B6,2.6428031039120583,0.75,7.817826711042375,0.3274794160145227,7.112883435582822,8.0,7.360103972989152,1571.0,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
sample_ii_late,B6,2.6428031039120583,1.0,7.805882040228621,0.3166014980734033,7.087450563123148,8.0,7.685703061234547,2176.0,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
__global__,B8,1.5339126079610423,0.7500000000000142,8.115969077565328,0.380698273549541,8.303838124297414,8.0,8.228977643358313,,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
sample_ii_early,B8,1.5339126079610423,0.7500000000000071,8.117908942383155,0.3911169471759113,8.286845120299969,8.0,7.360103972989152,1571.0,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
sample_ii_late,B8,1.5339126079610423,0.7500000000000142,8.114175075756048,0.3765141646549761,8.317880648895336,8.0,7.685703061234547,2176.0,"59,60,61,62,63,65",0,ml_waveform_family_summary_ridge,58
__global__,B4,-4.103631061835898,0.9999999999999929,7.788004239509027,0.32592860140721847,7.393216746157923,8.0,8.025516386489008,,"58,60,61,62,63,65",0,traditional_family_summary_ridge,59
sample_ii_early,B4,-4.103631061835898,0.5000000000000142,7.866722285136729,0.27411708688853853,7.405920921915358,8.0,6.782192056006791,881.0,"58,60,61,62,63,65",0,traditional_family_summary_ridge,59
sample_ii_late,B4,-4.103631061835898,1.0,7.751367779576048,0.3293484339877475,7.38872039337282,8.0,7.685703061234547,2176.0,"58,60,61,62,63,65",0,traditional_family_summary_ridge,59
__global__,B6,2.623326745052509,0.7500000000000071,7.836172190654133,0.31002838807178534,7.119910764082543,8.0,8.025516386489008,,"58,60,61,62,63,65",0,traditional_family_summary_ridge,59
sample_ii_early,B6,2.623326745052509,0.5000000000000071,7.899524472032198,0.2682383159490618,7.215355086372361,8.0,6.782192056006791,881.0,"58,60,61,62,63,65",0,traditional_family_summary_ridge,59
sample_ii_late,B6,2.623326745052509,1.0,7.805882040228621,0.3166014980734033,7.087450563123148,8.0,7.685703061234547,2176.0,"58,60,61,62,63,65",0,traditional_family_summary_ridge,59
