feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,method,alpha,heldout_run
stave_B4,-4.2190059226054615,-1.9888584651603254,analytic_timewalk,100.0,58
stave_B6,2.4309784083477277,1.14597421164049,analytic_timewalk,100.0,58
log_amp,-2.5746586533136875,-0.8449228881837207,analytic_timewalk,100.0,58
stave_B8,1.7880275142601756,0.8428842535209862,analytic_timewalk,100.0,58
inv_amp_1000,-4.634330634470754,-0.642728749154338,analytic_timewalk,100.0,58
inv_sqrt_amp_1000,-0.606075447556517,-0.06325029483360833,analytic_timewalk,100.0,58
inv_sqrt_amp_1000_x_B4,-1.8296437714048817,-0.5881158535285317,traditional_family_ridge,100.0,58
late_norm_charge_x_B8,0.20593872862625423,0.5348731506296859,traditional_family_ridge,100.0,58
inv_sqrt_amp_1000_x_B8,1.9539198463951615,0.5257241891900368,traditional_family_ridge,100.0,58
max_norm_slope_x_B4,-2.6182127391120553,-0.5232936886737408,traditional_family_ridge,100.0,58
family_log_amp_median,-3.26807977103396,-0.5054259795070623,traditional_family_ridge,100.0,58
log_amp,-1.4062813113596297,-0.4614977856049031,traditional_family_ridge,100.0,58
area_over_amp,-0.22649600092670633,-0.44887992615097677,traditional_family_ridge,100.0,58
late_norm_charge,0.19817461957888893,0.4426809783078645,traditional_family_ridge,100.0,58
max_norm_slope_x_B8,1.9596800695840448,0.4194105935845842,traditional_family_ridge,100.0,58
log_amp_x_B8,-0.10257983870163534,-0.39222138559146286,traditional_family_ridge,100.0,58
log_amp_x_B6,0.10239215678256532,0.3754390407804072,traditional_family_ridge,100.0,58
norm_peak_height_x_B6,0.6996431575626715,0.32981494741555095,traditional_family_ridge,100.0,58
stave_B6,0.6996431575626132,0.3298149474155235,traditional_family_ridge,100.0,58
inv_amp_1000,-2.038077123716361,-0.28265802846755306,traditional_family_ridge,100.0,58
family_target_median_ns,0.08890538487103491,0.2656384705360511,traditional_family_ridge,100.0,58
cfd50_minus_cfd10_ns_x_B4,0.04212410381518432,0.25114530148866404,traditional_family_ridge,100.0,58
stave_B4,-0.48957865890019864,-0.230789593088361,traditional_family_ridge,100.0,58
norm_peak_height_x_B4,-0.489578658900074,-0.23078959308830224,traditional_family_ridge,100.0,58
cfd40_minus_cfd20_ns_x_B4,-0.07772896593689071,-0.23044126159939668,traditional_family_ridge,100.0,58
early_norm_charge,0.23356504598629085,0.20597933262725662,traditional_family_ridge,100.0,58
peak_sample_x_B8,0.05234341341147052,0.2050703475483059,traditional_family_ridge,100.0,58
cfd50_minus_cfd10_ns,0.055536966025670265,0.20095827121702475,traditional_family_ridge,100.0,58
early_norm_charge_x_B8,0.334002584489058,0.19888417932715072,traditional_family_ridge,100.0,58
cfd50_minus_cfd10_ns_x_B6,-0.033621263300939876,-0.18330036332635433,traditional_family_ridge,100.0,58
late_norm_charge_x_B4,-0.07507468301324717,-0.17591875829452247,traditional_family_ridge,100.0,58
area_over_amp_x_B4,-0.04994742632290895,-0.17308910606064046,traditional_family_ridge,100.0,58
area_over_amp_x_B8,-0.04091541193323411,-0.15635153416061123,traditional_family_ridge,100.0,58
cfd40_minus_cfd20_ns_x_B6,0.06107165221878457,0.15552337050937867,traditional_family_ridge,100.0,58
family_area_over_amp_median,0.29915703107266867,0.15497021694521299,traditional_family_ridge,100.0,58
family_log_amp_iqr,5.63735382056031,0.15401345740766254,traditional_family_ridge,100.0,58
inv_sqrt_amp_1000_x_B6,0.42867978102366905,0.13385063328290236,traditional_family_ridge,100.0,58
max_norm_slope,-1.4515190608198123,-0.12740460874403056,traditional_family_ridge,100.0,58
peak_sample,0.05042069673060854,0.1272001622808947,traditional_family_ridge,100.0,58
cfd40_minus_cfd20_ns_x_B8,0.0504374913855652,0.11082364273788813,traditional_family_ridge,100.0,58
stave_B8,-0.21006449866020502,-0.09902535432612092,traditional_family_ridge,100.0,58
norm_peak_height_x_B8,-0.21006449866013424,-0.09902535432608756,traditional_family_ridge,100.0,58
peak_sample_x_B6,-0.02408661314876414,-0.09651208314685186,traditional_family_ridge,100.0,58
area_over_amp_x_B6,0.027852393896762646,0.09257359890885014,traditional_family_ridge,100.0,58
inv_amp_1000_x_B6,-0.37293202022811933,-0.08060565439463559,traditional_family_ridge,100.0,58
inv_amp_1000_x_B4,-0.29053701814473687,-0.06699107749568846,traditional_family_ridge,100.0,58
early_norm_charge_x_B6,0.11428374474086704,0.06606979798336912,traditional_family_ridge,100.0,58
family_target_iqr_ns,0.4719293427921524,0.05746912404138903,traditional_family_ridge,100.0,58
family_log_support,-0.3514834111979359,-0.0564705292038342,traditional_family_ridge,100.0,58
inv_sqrt_amp_1000,-0.5322659904732737,-0.05554750809171783,traditional_family_ridge,100.0,58
cfd50_minus_cfd10_ns_x_B8,0.010063013382578562,0.048021383740231925,traditional_family_ridge,100.0,58
early_norm_charge_x_B4,0.067924076648834,0.0412314274700814,traditional_family_ridge,100.0,58
inv_amp_1000_x_B8,-0.22771559201019173,-0.037974464208864724,traditional_family_ridge,100.0,58
peak_sample_x_B4,-0.006040460219094709,-0.02405723717958407,traditional_family_ridge,100.0,58
cfd40_minus_cfd20_ns,-0.011520687992418354,-0.02241862742455345,traditional_family_ridge,100.0,58
max_norm_slope_x_B6,0.09823392418473302,0.018920113523507316,traditional_family_ridge,100.0,58
log_amp_x_B4,-0.0021383911166112327,-0.007789744721968552,traditional_family_ridge,100.0,58
late_norm_charge_x_B6,0.002395391767161949,0.0053351972028273355,traditional_family_ridge,100.0,58
norm_peak_height,0.0,0.0,traditional_family_ridge,100.0,58
family_peak_median,0.0,0.0,traditional_family_ridge,100.0,58
family_target_median_ns,0.3935950979991109,1.1760142537444245,ml_family_ridge,100.0,58
stave_B4,-2.3983128099689233,-1.1305755008903777,ml_family_ridge,100.0,58
stave_B6,1.9083674955748011,0.8996130647446082,ml_family_ridge,100.0,58
peak_sample,0.28784342741097585,0.7261647111658855,ml_family_ridge,100.0,58
waveform_norm_5,0.9797289061965732,0.38389645998489774,ml_family_ridge,100.0,58
family_log_amp_iqr,12.5598745137938,0.3431378905863148,ml_family_ridge,100.0,58
family_area_over_amp_median,0.5836904246065484,0.30236505358333976,ml_family_ridge,100.0,58
waveform_norm_7,-1.0936294743094235,-0.2902357699858286,ml_family_ridge,100.0,58
waveform_norm_3,1.0485155799543304,0.28524339641283325,ml_family_ridge,100.0,58
waveform_norm_17,-0.9446196530770636,-0.27783774928993477,ml_family_ridge,100.0,58
waveform_norm_10,0.9238646730609968,0.26965387523947815,ml_family_ridge,100.0,58
waveform_norm_16,-0.8852150409039761,-0.251418888548449,ml_family_ridge,100.0,58
stave_B8,0.4899453143967649,0.2309624361470152,ml_family_ridge,100.0,58
waveform_norm_14,0.6398931879924428,0.19117364131762268,ml_family_ridge,100.0,58
waveform_norm_13,0.5782421010236356,0.18091534414544824,ml_family_ridge,100.0,58
waveform_norm_1,1.6077699177839935,0.15735827947391068,ml_family_ridge,100.0,58
waveform_norm_9,0.5258662974714716,0.14707454018703228,ml_family_ridge,100.0,58
waveform_norm_0,-0.6752736333734991,-0.12034057905487214,ml_family_ridge,100.0,58
family_log_amp_median,-0.7166016978188811,-0.11082627732857998,ml_family_ridge,100.0,58
waveform_norm_12,-0.3455836439819085,-0.10984399889694951,ml_family_ridge,100.0,58
area_over_amp,0.04144510966327549,0.08213777589384642,ml_family_ridge,100.0,58
waveform_norm_2,-0.8137562543228267,-0.07981718092050537,ml_family_ridge,100.0,58
