candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,method,heldout_run,summary_train_runs
amp_only,0.0,0,2.1121381469353757,2997,6.0,analytic_timewalk,58,
amp_only,0.0,1,1.3627183983694213,3534,6.0,analytic_timewalk,58,
amp_only,0.0,2,1.3750005998962982,4710,6.0,analytic_timewalk,58,
amp_only,0.0,-1,1.6166190484003649,0,6.0,analytic_timewalk,58,
amp_only,0.01,0,2.1094853336862256,2997,6.0,analytic_timewalk,58,
amp_only,0.01,1,1.3629660442030622,3534,6.0,analytic_timewalk,58,
amp_only,0.01,2,1.375433424927048,4710,6.0,analytic_timewalk,58,
amp_only,0.01,-1,1.6159616009387785,0,6.0,analytic_timewalk,58,
amp_only,0.1,0,2.1069396537927316,2997,6.0,analytic_timewalk,58,
amp_only,0.1,1,1.3633954870649796,3534,6.0,analytic_timewalk,58,
amp_only,0.1,2,1.3747899597288828,4710,6.0,analytic_timewalk,58,
amp_only,0.1,-1,1.6150417001955315,0,6.0,analytic_timewalk,58,
amp_only,1.0,0,2.1109655096414413,2997,6.0,analytic_timewalk,58,
amp_only,1.0,1,1.379677454793276,3534,6.0,analytic_timewalk,58,
amp_only,1.0,2,1.4203893932851956,4710,6.0,analytic_timewalk,58,
amp_only,1.0,-1,1.6370107859066376,0,6.0,analytic_timewalk,58,
amp_only,10.0,0,2.1008577099035497,2997,6.0,analytic_timewalk,58,
amp_only,10.0,1,1.374014550682853,3534,6.0,analytic_timewalk,58,
amp_only,10.0,2,1.4439956764566717,4710,6.0,analytic_timewalk,58,
amp_only,10.0,-1,1.639622645681025,0,6.0,analytic_timewalk,58,
amp_only,100.0,0,2.070948021628114,2997,6.0,analytic_timewalk,58,
amp_only,100.0,1,1.312389246288859,3534,6.0,analytic_timewalk,58,
amp_only,100.0,2,1.3992276237939008,4710,6.0,analytic_timewalk,58,
amp_only,100.0,-1,1.5941882972369579,0,6.0,analytic_timewalk,58,
amp_rise_shape,0.0,0,2.0619749970082863,2997,14.0,analytic_timewalk,58,
amp_rise_shape,0.0,1,1.3731399195611864,3534,14.0,analytic_timewalk,58,
amp_rise_shape,0.0,2,1.4154505471212695,4710,14.0,analytic_timewalk,58,
amp_rise_shape,0.0,-1,1.6168551545635808,0,14.0,analytic_timewalk,58,
amp_rise_shape,0.01,0,2.0619575874994616,2997,14.0,analytic_timewalk,58,
amp_rise_shape,0.01,1,1.3716692838644091,3534,14.0,analytic_timewalk,58,
amp_rise_shape,0.01,2,1.4150749920356445,4710,14.0,analytic_timewalk,58,
amp_rise_shape,0.01,-1,1.6162339544665052,0,14.0,analytic_timewalk,58,
amp_rise_shape,0.1,0,2.058541278063389,2997,14.0,analytic_timewalk,58,
amp_rise_shape,0.1,1,1.3737419883201578,3534,14.0,analytic_timewalk,58,
amp_rise_shape,0.1,2,1.410897979567081,4710,14.0,analytic_timewalk,58,
amp_rise_shape,0.1,-1,1.6143937486502093,0,14.0,analytic_timewalk,58,
amp_rise_shape,1.0,0,2.0585647571513066,2997,14.0,analytic_timewalk,58,
amp_rise_shape,1.0,1,1.3755111993428815,3534,14.0,analytic_timewalk,58,
amp_rise_shape,1.0,2,1.423332898971222,4710,14.0,analytic_timewalk,58,
amp_rise_shape,1.0,-1,1.6191362851551367,0,14.0,analytic_timewalk,58,
amp_rise_shape,10.0,0,2.0501519244704083,2997,14.0,analytic_timewalk,58,
amp_rise_shape,10.0,1,1.3861459411651316,3534,14.0,analytic_timewalk,58,
amp_rise_shape,10.0,2,1.4433737300290885,4710,14.0,analytic_timewalk,58,
amp_rise_shape,10.0,-1,1.6265571985548763,0,14.0,analytic_timewalk,58,
amp_rise_shape,100.0,0,2.0329624740636767,2997,14.0,analytic_timewalk,58,
amp_rise_shape,100.0,1,1.3488171374342763,3534,14.0,analytic_timewalk,58,
amp_rise_shape,100.0,2,1.4242318913080747,4710,14.0,analytic_timewalk,58,
amp_rise_shape,100.0,-1,1.602003834268676,0,14.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.0,0,2.2224835322501426,2997,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.0,1,1.4782798528533754,3534,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.0,2,1.544319192472793,4710,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.0,-1,1.7483608591921038,0,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.01,0,2.2255974255132034,2997,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.01,1,1.479419972135286,3534,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.01,2,1.5613542355568137,4710,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.01,-1,1.7554572110684343,0,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.1,0,2.2283920615509536,2997,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.1,1,1.4763482706343953,3534,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.1,2,1.5694214963871587,4710,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,0.1,-1,1.7580539428575026,0,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,1.0,0,2.220819520283992,2997,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,1.0,1,1.4407521307380566,3534,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,1.0,2,1.5351435711164358,4710,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,1.0,-1,1.732238407379495,0,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,10.0,0,2.187784830328063,2997,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,10.0,1,1.4384078647067535,3534,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,10.0,2,1.5162347032883903,4710,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,10.0,-1,1.7141424661077356,0,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,100.0,0,2.156685960065417,2997,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,100.0,1,1.4395567332409176,3534,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,100.0,2,1.5228021528304858,4710,47.0,analytic_timewalk,58,
amp_rise_shape_by_stave,100.0,-1,1.7063482820456066,0,47.0,analytic_timewalk,58,
,0.01,0,2.0094337885298494,2997,,ml_ridge_no_family,58,
,0.01,1,1.3777732986283728,3534,,ml_ridge_no_family,58,
,0.01,2,1.4624620265720503,4710,,ml_ridge_no_family,58,
,0.01,-1,1.6165563712434239,0,,ml_ridge_no_family,58,
,0.1,0,2.0099099950668062,2997,,ml_ridge_no_family,58,
,0.1,1,1.377297634603472,3534,,ml_ridge_no_family,58,
,0.1,2,1.4621002383572614,4710,,ml_ridge_no_family,58,
,0.1,-1,1.6164359560091797,0,,ml_ridge_no_family,58,
,1.0,0,2.009915243659585,2997,,ml_ridge_no_family,58,
,1.0,1,1.3737544103087491,3534,,ml_ridge_no_family,58,
,1.0,2,1.461656881369096,4710,,ml_ridge_no_family,58,
,1.0,-1,1.6151088451124764,0,,ml_ridge_no_family,58,
,10.0,0,1.9937436728523636,2997,,ml_ridge_no_family,58,
,10.0,1,1.3628280649303626,3534,,ml_ridge_no_family,58,
,10.0,2,1.4512943726703653,4710,,ml_ridge_no_family,58,
,10.0,-1,1.6026220368176973,0,,ml_ridge_no_family,58,
,100.0,0,1.9739606370859044,2997,,ml_ridge_no_family,58,
,100.0,1,1.3095705960057578,3534,,ml_ridge_no_family,58,
,100.0,2,1.4032369046089965,4710,,ml_ridge_no_family,58,
,100.0,-1,1.5622560459002195,0,,ml_ridge_no_family,58,
,0.01,0,2.2285733166021564,2997,54.0,traditional_family_ridge,58,"59,60,62,63"
,0.01,1,1.6493613794159079,3534,54.0,traditional_family_ridge,58,"59,61,62,65"
,0.01,2,1.6953535943866769,4710,54.0,traditional_family_ridge,58,"60,61,63,65"
,0.01,-1,1.857762763468247,0,54.0,traditional_family_ridge,58,inner_cv_train_only
,0.1,0,2.2304272042159377,2997,54.0,traditional_family_ridge,58,"59,60,62,63"
,0.1,1,1.6432507811469312,3534,54.0,traditional_family_ridge,58,"59,61,62,65"
,0.1,2,1.6972535512060773,4710,54.0,traditional_family_ridge,58,"60,61,63,65"
,0.1,-1,1.8569771788563154,0,54.0,traditional_family_ridge,58,inner_cv_train_only
,1.0,0,2.2265805813694644,2997,54.0,traditional_family_ridge,58,"59,60,62,63"
,1.0,1,1.6096696001934216,3534,54.0,traditional_family_ridge,58,"59,61,62,65"
,1.0,2,1.6737597358782645,4710,54.0,traditional_family_ridge,58,"60,61,63,65"
,1.0,-1,1.8366699724803837,0,54.0,traditional_family_ridge,58,inner_cv_train_only
,10.0,0,2.1941114060706544,2997,54.0,traditional_family_ridge,58,"59,60,62,63"
,10.0,1,1.5669379142936983,3534,54.0,traditional_family_ridge,58,"59,61,62,65"
,10.0,2,1.6342643775197974,4710,54.0,traditional_family_ridge,58,"60,61,63,65"
,10.0,-1,1.7984378992947168,0,54.0,traditional_family_ridge,58,inner_cv_train_only
,100.0,0,2.167944217444343,2997,54.0,traditional_family_ridge,58,"59,60,62,63"
,100.0,1,1.453904728355179,3534,54.0,traditional_family_ridge,58,"59,61,62,65"
,100.0,2,1.5667298610812348,4710,54.0,traditional_family_ridge,58,"60,61,63,65"
