check,heldout_sigma68_ns,n_pair_residuals,heldout_run
template_phase,2.6428031039120548,219,58
analytic_timewalk_shuffled_target,2.589321777940147,219,58
train_heldout_event_id_overlap,0.0,0,58
traditional_family_summary_shuffled_target,2.913140387052608,219,58
ml_family_summary_shuffled_target,2.675362834720806,219,58
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,58
template_phase,2.9923192689628024,2289,59
analytic_timewalk_shuffled_target,3.0471939451232837,2289,59
train_heldout_event_id_overlap,0.0,0,59
traditional_family_summary_shuffled_target,2.8540516370294484,2289,59
ml_family_summary_shuffled_target,3.028731947754328,2289,59
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,59
template_phase,2.6639289881627697,2424,60
analytic_timewalk_shuffled_target,2.6535356592695787,2424,60
train_heldout_event_id_overlap,0.0,0,60
traditional_family_summary_shuffled_target,2.8865214040413787,2424,60
ml_family_summary_shuffled_target,2.664075516371792,2424,60
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,60
template_phase,2.7035130270822876,2799,61
analytic_timewalk_shuffled_target,2.661289126461197,2799,61
train_heldout_event_id_overlap,0.0,0,61
traditional_family_summary_shuffled_target,2.646585486839892,2799,61
ml_family_summary_shuffled_target,2.959088642335728,2799,61
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,61
template_phase,2.9011713010933917,2421,62
analytic_timewalk_shuffled_target,2.8718462895131203,2421,62
train_heldout_event_id_overlap,0.0,0,62
traditional_family_summary_shuffled_target,3.0883726714585986,2421,62
ml_family_summary_shuffled_target,2.7174673350926204,2421,62
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,62
template_phase,2.878716689818031,1110,63
analytic_timewalk_shuffled_target,2.933535939623772,1110,63
train_heldout_event_id_overlap,0.0,0,63
traditional_family_summary_shuffled_target,2.986764825964283,1110,63
ml_family_summary_shuffled_target,2.887489724181512,1110,63
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,63
template_phase,2.889152765080617,198,65
analytic_timewalk_shuffled_target,2.8501135724949123,198,65
train_heldout_event_id_overlap,0.0,0,65
traditional_family_summary_shuffled_target,2.824865693919735,198,65
ml_family_summary_shuffled_target,2.9532593545866437,198,65
feature_audit_no_run_event_order_or_cross_stave_time,0.0,0,65
