method,value,ci_low,ci_high,n_pair_residuals,s03a_report_value,delta_ns,pass
template_phase_base,2.889152765080617,2.6391527650806132,3.2054077153563445,198,2.889152765080617,0.0,True
analytic_timewalk,1.494640076269676,1.3419015052064236,1.6428752778428328,198,1.494640076269676,0.0,True
s03b_binned_timewalk,1.5695763825403084,1.359284883028215,1.8195763825403137,198,1.5695763825403084,0.0,True
ml_ridge_on_template_phase,1.3915306248207993,1.3031309212973698,1.5862945630138334,198,1.3915306248207993,0.0,True
