method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
mlp,167683,0.0068034753203392,0.0232743168115615,0.0776993466001008,"[0.020997278735041605, 0.027212719138860697]","[0.003941129997372629, 0.009108501434326165]","[0.06305568617366364, 0.0935096269902873]"
gradient_boosted_trees,167683,-0.0123365412425046,0.0313697380962435,0.0879489761712939,"[0.029430484475913593, 0.03437786541387658]","[-0.013382697531265156, -0.011373290266254868]","[0.07126430138037423, 0.10548288750065586]"
traditional_clipped_template,167683,0.0018667131685377,0.0403934804802994,0.1973447352717955,"[0.0323276690959302, 0.0496450439461025]","[-0.002460259980460939, 0.007192061182467721]","[0.14628081310509547, 0.2517579665202935]"
charge_tail_integration,167683,0.0038268107144128,0.048259852882384,0.2057112553835769,"[0.04355560229268362, 0.053582388067677574]","[-0.0055180851850210825, 0.012641397166535888]","[0.1541255282490798, 0.25526635116998736]"
birks_huber_saturation,167683,-0.008352274082154,0.0504020024451701,0.2351507485661288,"[0.04308824944601026, 0.058156388811403996]","[-0.014149162394341091, -0.0039765794816713305]","[0.17567817150905077, 0.3021244214861927]"
1d_cnn,167683,-0.012801661491394,0.0710810673236847,0.1422243489760859,"[0.06481012371420859, 0.07860750805586576]","[-0.022105235755443587, 0.0007488435506820333]","[0.11785226125946474, 0.16480850739400474]"
gated_residual_cnn,167683,0.0114011180400848,0.1257841765165329,0.1655041355776971,"[0.11159855403870346, 0.14231502955138686]","[-0.008816091120243086, 0.0445697509497404]","[0.13907497869858296, 0.1916677768099763]"
ridge,167683,-0.0435214531427689,0.2284565216944896,0.279668528649077,"[0.19856980290855802, 0.2572259383987512]","[-0.07293827634109357, 3.9171911279942736e-05]","[0.23495168230228025, 0.32046737374750095]"
