run,pair,n_pair_rows
44,B2-B4,80
44,B2-B6,33
44,B2-B8,11
44,B4-B6,27
44,B4-B8,8
44,B6-B8,10
45,B2-B4,865
45,B2-B6,309
45,B2-B8,118
45,B4-B6,291
45,B4-B8,97
45,B6-B8,106
46,B2-B4,7
46,B2-B6,1
46,B2-B8,2
46,B4-B6,1
46,B4-B8,1
46,B6-B8,1
47,B2-B4,68
47,B2-B6,29
47,B2-B8,15
47,B4-B6,24
47,B4-B8,10
47,B6-B8,10
48,B2-B4,532
48,B2-B6,195
48,B2-B8,65
48,B4-B6,182
48,B4-B8,60
48,B6-B8,64
49,B2-B4,571
49,B2-B6,217
49,B2-B8,76
49,B4-B6,203
49,B4-B8,58
49,B6-B8,61
50,B2-B4,609
50,B2-B6,242
50,B2-B8,103
50,B4-B6,208
50,B4-B8,62
50,B6-B8,65
51,B2-B4,277
51,B2-B6,119
51,B2-B8,46
51,B4-B6,101
51,B4-B8,36
51,B6-B8,37
52,B2-B4,134
52,B2-B6,54
52,B2-B8,29
52,B4-B6,49
52,B4-B8,22
52,B6-B8,24
53,B2-B4,515
53,B2-B6,212
53,B2-B8,86
53,B4-B6,180
53,B4-B8,61
53,B6-B8,66
54,B2-B4,489
54,B2-B6,203
54,B2-B8,78
54,B4-B6,174
54,B4-B8,52
54,B6-B8,54
55,B2-B4,338
55,B2-B6,137
55,B2-B8,63
55,B4-B6,127
55,B4-B8,44
55,B6-B8,46
56,B2-B4,765
56,B2-B6,307
56,B2-B8,137
56,B4-B6,268
56,B4-B8,94
56,B6-B8,98
57,B2-B4,583
57,B2-B6,213
57,B2-B8,77
57,B4-B6,212
57,B4-B8,66
57,B6-B8,69
58,B2-B4,554
58,B2-B6,213
58,B2-B8,87
58,B4-B6,202
58,B4-B8,75
58,B6-B8,76
59,B2-B4,4381
59,B2-B6,2224
59,B2-B8,829
59,B4-B6,2153
59,B4-B8,776
59,B6-B8,824
60,B2-B4,3940
60,B2-B6,2047
60,B2-B8,836
60,B4-B6,2018
60,B4-B8,819
60,B6-B8,863
61,B2-B4,4296
61,B2-B6,2342
61,B2-B8,969
61,B4-B6,2316
61,B4-B8,943
61,B6-B8,985
62,B2-B4,4084
62,B2-B6,2177
62,B2-B8,841
62,B4-B6,2158
62,B4-B8,814
62,B6-B8,861
63,B2-B4,2516
63,B2-B6,1079
63,B2-B8,396
63,B4-B6,1046
63,B4-B8,374
63,B6-B8,391
65,B2-B4,769
65,B2-B6,268
65,B2-B8,78
65,B4-B6,251
65,B4-B8,69
65,B6-B8,78
