comparison,ci_low_ns,ci_high_ns,p_value
traditional_b_plus_a_minus_b_only,-0.017282020802034826,0.017109524534266857,0.936
ml_b_plus_a_minus_ml_b_only,-0.006612368960999919,0.04204859922889803,0.116
ml_b_plus_a_minus_traditional_b_plus_a,-7.2556539269670965,-5.58185601496456,0.0
