method,run,pair_a,pair_b,cov_ns2
raw_pair_median,44,B2-B4,B2-B6,1205.2087629815683
raw_pair_median,44,B2-B4,B2-B8,2095.324813345924
raw_pair_median,44,B2-B4,B4-B6,-23.923396258083706
raw_pair_median,44,B2-B4,B4-B8,65.2811074303656
raw_pair_median,44,B2-B4,B6-B8,33.960480546990105
raw_pair_median,44,B2-B6,B2-B8,2219.7544565635585
raw_pair_median,44,B2-B6,B4-B6,13.55462549401785
raw_pair_median,44,B2-B6,B4-B8,56.09109555013843
raw_pair_median,44,B2-B6,B6-B8,41.22118940208367
raw_pair_median,44,B2-B8,B4-B6,22.130615003148318
raw_pair_median,44,B2-B8,B4-B8,71.06936580887813
raw_pair_median,44,B2-B8,B6-B8,43.60114276766746
raw_pair_median,44,B4-B6,B4-B8,4.434393199353324
raw_pair_median,44,B4-B6,B6-B8,-0.8839487128827073
raw_pair_median,44,B4-B8,B6-B8,1.6835546246452067
raw_pair_median,45,B2-B4,B2-B6,1336.424840066298
raw_pair_median,45,B2-B4,B2-B8,1381.053690908122
raw_pair_median,45,B2-B4,B4-B6,-4.041954698322862
raw_pair_median,45,B2-B4,B4-B8,-2.123107124675444
raw_pair_median,45,B2-B4,B6-B8,3.4026803275090236
raw_pair_median,45,B2-B6,B2-B8,1358.3343331502313
raw_pair_median,45,B2-B6,B4-B6,40.311811453447575
raw_pair_median,45,B2-B6,B4-B8,1.47515789571527
raw_pair_median,45,B2-B6,B6-B8,1.6393513891745934
raw_pair_median,45,B2-B8,B4-B6,-1.9275224317937503
raw_pair_median,45,B2-B8,B4-B8,35.96812844624292
raw_pair_median,45,B2-B8,B6-B8,36.51921133208211
raw_pair_median,45,B4-B6,B4-B8,4.471592604805753
raw_pair_median,45,B4-B6,B6-B8,-2.3448567025751244
raw_pair_median,45,B4-B8,B6-B8,33.563831289023305
raw_pair_median,47,B2-B4,B2-B6,2012.3308474180826
raw_pair_median,47,B2-B4,B2-B8,2086.083675693472
raw_pair_median,47,B2-B4,B4-B6,3.671674145080937
raw_pair_median,47,B2-B4,B4-B8,-28.643927738384185
raw_pair_median,47,B2-B4,B6-B8,-22.63095027667024
raw_pair_median,47,B2-B6,B2-B8,2080.780040354396
raw_pair_median,47,B2-B6,B4-B6,7.904659664279621
raw_pair_median,47,B2-B6,B4-B8,-27.934585615746236
raw_pair_median,47,B2-B6,B6-B8,-23.413441082622942
raw_pair_median,47,B2-B8,B4-B6,-5.303635339076005
raw_pair_median,47,B2-B8,B4-B8,-27.028572059996808
