method,reference_method,delta_res68_abs_frac,run_block_delta_res68_ci95
ml_hgb,strong_huber_charge,0.3792259075048876,"[0.300282664783208, 0.48462970180870696]"
ml_extra_trees,strong_huber_charge,-0.005546547946836503,"[-0.005616263055442933, -0.005532244530435028]"
