sample,res68_abs_frac,delta_res68_vs_full
0,0.3920308953300298,0.00012018820256531892
1,0.3919107071274645,0.0
2,0.3957280784705073,0.0038173713430427747
3,0.39471935661673213,0.002808649489267623
4,0.40945293680220185,0.017542229674737342
5,0.4500399085076735,0.058129201380208995
6,0.4606156684638762,0.06870496133641169
7,0.448816703794905,0.056905996667440506
8,0.43024289111484765,0.03833218398738314
9,0.4339556502474198,0.04204494311995527
10,0.8280639900373831,0.43615328290991856
11,0.7410691202602259,0.34915841313276136
12,0.43476876252966845,0.04285805540220394
13,0.4327988819957846,0.04088817486832008
14,0.4314744648826011,0.0395637577551366
15,0.431849780254089,0.03993907312662448
16,0.431849780254089,0.03993907312662448
17,0.43708205547436196,0.045171348346897455
