method,subset,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,run_block_bias_ci95,run_block_res68_ci95,run_block_full_rms_ci95,run_block_within_10pct_ci95,ablation,mode
peak_to_charge_calibrated,heldout_runs_57_65,26857,-0.21068740905039968,0.2801636470475081,2.5787736670415673,0.1291283464273746,"[-0.22875739560256975, -0.179526544393967]","[0.2634333424735638, 0.3057120089996927]","[2.0589000149720897, 2.987443173765812]","[0.08643963798128547, 0.1694044431579709]",full,grouped_retrain
peak_to_charge_calibrated,run_57,13819,-0.179526544393967,0.2634335688949483,2.987443173765812,0.1694044431579709,,,,,full,grouped_retrain
peak_to_charge_calibrated,run_65,13038,-0.22875739560256975,0.3057410425026728,2.05890001497209,0.08643963798128547,,,,,full,grouped_retrain
integral_calibrated,heldout_runs_57_65,26857,-0.09118454757895778,0.1954122908748589,1.6637384425713868,0.40332129426220353,"[-0.13038679571189649, -0.061865055434461025]","[0.1641635066281698, 0.21526889544236236]","[1.4445360843905501, 1.8468513127667665]","[0.29421690443319526, 0.5062594977928938]",full,grouped_retrain
integral_calibrated,run_57,13819,-0.061865055434461025,0.16416416931720823,1.8468513127667667,0.5062594977928938,,,,,full,grouped_retrain
integral_calibrated,run_65,13038,-0.13038679571189649,0.21527325190845958,1.4445360843905501,0.29421690443319526,,,,,full,grouped_retrain
adaptive_template_scale_calibrated,heldout_runs_57_65,26857,0.0981145828251613,0.5503925125036382,2.510873538771723,0.1881073835499125,"[-0.022019895878038865, 0.28325089173313217]","[0.3883858073098749, 0.7001958472175158]","[2.4413326730863543, 2.5825366730646704]","[0.1714219972388403, 0.20384977205297056]",full,grouped_retrain
adaptive_template_scale_calibrated,run_57,13819,-0.022019895878038865,0.3883858073098749,2.4413326730863543,0.20384977205297056,,,,,full,grouped_retrain
adaptive_template_scale_calibrated,run_65,13038,0.28325089173313217,0.7002439586985932,2.5825366730646704,0.1714219972388403,,,,,full,grouped_retrain
strong_huber_charge,heldout_runs_57_65,26857,0.000298399553188088,0.012684799622576893,480.3756791498747,0.8829727817701158,"[-6.974344701907274e-05, 0.0007554700384498423]","[0.012434474334552015, 0.013051467849113466]","[65.65585856706126, 686.1309415220477]","[0.8671394456907157, 0.8997545635833717]",full,grouped_retrain
strong_huber_charge,run_57,13819,-6.974344701907274e-05,0.013051501685672023,65.65585856706126,0.8671394456907157,,,,,full,grouped_retrain
strong_huber_charge,run_65,13038,0.0007554700384498423,0.012434556229735065,686.1309415220477,0.8997545635833717,,,,,full,grouped_retrain
ml_hgb,heldout_runs_57_65,26857,0.1313326170142578,0.3919107071274645,1.583654656935037,0.18501694157947648,"[0.004016408382377092, 0.2561110484838423]","[0.31333413263232146, 0.497064176143259]","[1.1738426912010098, 1.8905424693555102]","[0.1672035588280411, 0.20182357623561764]",full,grouped_retrain
ml_hgb,run_57,13819,0.004016408382377092,0.3133373624166149,1.8905424693555102,0.20182357623561764,,,,,full,grouped_retrain
