method,residual_column,nominal_coverage,topology,n_runs,n_pair_rows,coverage,coverage_ci_low,coverage_ci_high,coverage_error,abs_coverage_error,mean_interval_width_ns,interval_width_ci_low_ns,interval_width_ci_high_ns
b2_feature_knockout_control,resid_b2_feature_knockout_control,0.95,B2_containing,21,43956,0.949017199017199,0.9117112403215456,0.9706154465668672,-0.0009828009828009,0.0009828009828009,144.67107848200183,139.3972582679449,147.53131937507038
b2_feature_knockout_control,resid_b2_feature_knockout_control,0.95,all,21,65484,0.9501252214281352,0.9036773655911828,0.9682892073326032,0.0001252214281352,0.0001252214281352,98.29388325088507,92.4194544389756,100.72878711918813
b2_feature_knockout_control,resid_b2_feature_knockout_control,0.95,downstream_only,21,21528,0.949600520252694,0.9461183163705948,0.955264902909434,-0.0003994797473058,0.0003994797473058,11.030505232812043,10.979545542386132,11.07871665565003
cnn_1d,resid_cnn_1d,0.95,B2_containing,21,43956,0.9487669487669488,0.9022003612293688,0.9683649578939748,-0.0012330512330511,0.0012330512330511,140.1341814925664,134.2214705719684,142.79173073662204
cnn_1d,resid_cnn_1d,0.95,all,21,65484,0.9505375358866288,0.9074443459461516,0.9688695376560024,0.0005375358866288,0.0005375358866288,97.28963809537296,91.48982667723176,99.711608201259
cnn_1d,resid_cnn_1d,0.95,downstream_only,21,21528,0.900873281308064,0.8045917109938182,0.9769582590596584,-0.049126718691936,0.049126718691936,16.84952543218846,15.862638135938202,17.628487687069246
extra_trees_s05e_dynamic,resid_extra_trees_s05e_dynamic,0.95,B2_containing,21,43956,0.9496996996996996,0.93269998317487,0.9619971714440778,-0.0003003003003002,0.0003003003003002,43.4608414080203,42.241255559344815,44.55151749056468
extra_trees_s05e_dynamic,resid_extra_trees_s05e_dynamic,0.95,all,21,65484,0.9503084722985768,0.9354481334087698,0.96308322026959,0.0003084722985767,0.0003084722985767,34.123058924577364,32.94268247988435,35.244211873889384
extra_trees_s05e_dynamic,resid_extra_trees_s05e_dynamic,0.95,downstream_only,21,21528,0.9509011519881084,0.9158960142434496,0.9622371562595468,0.0009011519881085,0.0009011519881085,11.582623477120553,11.376085008821695,11.667482646308803
gradient_boosted_trees,resid_gradient_boosted_trees,0.95,B2_containing,21,43956,0.9499271999272,0.90857808064749,0.9641644900515788,-7.280007280008327e-05,7.280007280008327e-05,72.20414281490315,70.75900712339012,72.86054123350505
gradient_boosted_trees,resid_gradient_boosted_trees,0.95,all,21,65484,0.9503542850161872,0.9221537313268892,0.9656918680521928,0.0003542850161871,0.0003542850161871,58.79558930125482,57.44966327395874,59.512620568684405
gradient_boosted_trees,resid_gradient_boosted_trees,0.95,downstream_only,21,21528,0.9485785953177256,0.9382498716682888,0.9639960277079042,-0.0014214046822742,0.0014214046822742,12.904304447762316,12.76037758442367,13.103120967316356
