stave,dropout_case,amp_bin_label,peak_region,method,n,charge_res68_abs_frac,charge_gain_vs_no_recovery,time_delta_vs_no_recovery_samples,tail_bias_median_frac,q_template_abs68_shift,pileup_score_abs68_shift,phase_harm_rate,net_harm_label_rate,catastrophic_rate,accepted_fraction,support_status
B4,leading_edge,1000_2000,late,cnn_inpaint,24,0.8497587035955657,-0.46219158809535615,-0.12980677213401481,-0.07386653637558298,0.06640079272920106,0.057301026288175794,0.25,0.25,0.625,1.0,abstain
B6,leading_edge,2000_3000,late,cnn_inpaint,24,0.3787726195088253,-0.03092673510230587,-1.4080109263021106,-0.025590770145222513,0.016801323848293265,0.03792872779870245,0.2916666666666667,0.2916666666666667,0.375,1.0,abstain
B6,leading_edge,1000_2000,late,cnn_inpaint,24,0.6831010842490465,-0.38589497864166133,-0.08283567748599396,-0.00427666352728448,0.011148068542456658,0.03492697735456074,0.3333333333333333,0.3333333333333333,0.4583333333333333,1.0,abstain
B6,leading_edge,1000_2000,late,interpolation,24,0.380610789776205,-0.08340468416881985,0.021752913317242717,0.016988249172207287,0.02215803939445441,0.04494643055171719,0.0,0.0,0.375,1.0,abstain
B4,leading_edge,1000_2000,late,interpolation,24,0.5188064539860413,-0.13123933848583175,-0.04186865937756257,-0.09032360828581548,0.02464868390106404,0.05895479091297131,0.0,0.0,0.5,1.0,abstain
B2,trailing_sample,ge7000,early,ridge_residual,24,0.08100322400726463,0.008586003290086006,0.0,0.003887429653372687,0.006306127097939764,0.026944187705772032,0.0,0.0,0.0,1.0,abstain
B2,trailing_sample,ge7000,late,ridge_residual,24,0.13288839349252743,-4.178052882913841e-06,0.0,0.004527670667831191,0.022542624272513877,0.03497650496468037,0.125,0.125,0.2916666666666667,1.0,abstain
B2,peak_sample,1000_2000,central,ridge_residual,24,0.12857252288328033,0.013769551839748234,0.0,-0.11796915751033601,0.019414592991698735,0.09205770109314056,0.4583333333333333,0.4583333333333333,0.3333333333333333,1.0,abstain
B6,leading_edge,1000_2000,late,rising_edge_huber,24,0.450501206957928,-0.15329510135054286,0.0,0.1327104079808535,0.025119474819340126,0.0970567433968247,0.0,0.0,0.4166666666666667,1.0,abstain
B4,leading_edge,1000_2000,late,rising_edge_huber,24,0.5942606086383649,-0.20669349313815538,0.0,0.17689902582260342,0.028020386672673363,0.14325714664862813,0.0,0.0,0.5,1.0,abstain
B2,peak_trailing,2000_3000,central,cnn_inpaint,24,0.015492709244647497,0.25865542297242833,-0.02867696935454291,0.0002741061818008206,0.010054713404023554,0.019366525114393705,0.041666666666666664,0.041666666666666664,0.0,1.0,accept
B2,leading_edge,3000_5000,central,cnn_inpaint,24,0.034417637854567515,0.13331691164330517,-1.6289084608768047,-0.005021136964854067,0.011266830869312152,0.022953614225785963,0.041666666666666664,0.041666666666666664,0.0,1.0,accept
B2,leading_edge,5000_7000,central,cnn_inpaint,24,0.02413490670475662,0.12323428917564438,-0.975979369819013,-0.009167141808571533,0.020316971669011932,0.012282746707927382,0.041666666666666664,0.041666666666666664,0.0,1.0,accept
