method,method_family,n,accepted_fraction,amp_bias_median_frac,amp_res68_abs_frac,charge_bias_median_frac,charge_res68_abs_frac,time_abs68_samples,time_bias_median_samples,tail_bias_median_frac,q_template_shift_median,q_template_abs68_shift,pileup_score_shift_median,pileup_score_abs68_shift,catastrophic_rate,phase_harm_rate,net_harm_label_rate,amp_res68_abs_frac_ci95,charge_res68_abs_frac_ci95,time_abs68_samples_ci95,tail_bias_median_frac_ci95,q_template_abs68_shift_ci95,pileup_score_abs68_shift_ci95,catastrophic_rate_ci95,phase_harm_rate_ci95,net_harm_label_rate_ci95,accepted_fraction_ci95,utility
rising_edge_huber,traditional,4248,1.0,9.20974011144124e-05,0.035300707817361825,0.00026445507981783076,0.023254843990093185,0.05969175368710744,-0.0009283819628649326,-0.007874300056242185,0.018918409208428966,0.08298408343222242,0.03205025949500445,0.15022301191070472,0.0908662900188324,0.0,0.0,"[0.033477646315116724, 0.03648247364421668]","[0.021974553627951456, 0.024980440422646386]","[0.05394432340394371, 0.06506689521162337]","[-0.013198789992887058, -0.003600283410005179]","[0.0790291201463477, 0.08734954528084396]","[0.13903225859145277, 0.15984153136541476]","[0.07788959510357815, 0.10547316384180791]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]",0.16754392927955963
phase_harm_gated_cnn,new_phase_harm_gated_cnn,4248,0.5906308851224106,0.0019163099228183514,0.038226351737976075,-0.0030801674288701017,0.029353234027345063,0.048807355150139675,-0.009682038878350951,-0.03191297627509043,0.006233453450507229,0.037668593352629384,0.005813084395120238,0.10656029288960647,0.06638418079096045,0.20951035781544255,0.20951035781544255,"[0.03617644915092406, 0.04026021609214046]","[0.02782158155041383, 0.03131364146978567]","[0.04377509408464007, 0.05367361604946614]","[-0.034429167499256425, -0.029560636517846618]","[0.035745687098594825, 0.04001723588631995]","[0.1025243342534011, 0.10953782151139325]","[0.05482580037664784, 0.07863112052730697]","[0.1979578625235405, 0.22037429378531073]","[0.1979578625235405, 0.22037429378531073]","[0.5763300376647834, 0.6039194915254237]",0.442786395121496
gbt_residual,gradient_boosted_trees,4248,1.0,0.0011818855808480026,0.01889407021502525,0.0008051196304920757,0.014399824467920874,0.048344228624960656,-0.010093572761519898,0.00033736356067642914,0.001823817167778241,0.016088410323580618,0.00034232091080962923,0.10064563526257371,0.027306967984934087,0.2806026365348399,0.2806026365348399,"[0.01763443134095889, 0.020882635358516873]","[0.013564288746640464, 0.01559515820473818]","[0.04271869133905585, 0.053336353028891885]","[2.324559908791768e-05, 0.0009416760249297987]","[0.01514911619162821, 0.017096928663090705]","[0.09688589102488455, 0.10495152273298378]","[0.019291431261770246, 0.03602283427495292]","[0.2678790018832392, 0.2943502824858757]","[0.2678790018832392, 0.2943502824858757]","[1.0, 1.0]",0.5023171354750476
mlp_residual,mlp,4248,1.0,-1.519918441772461e-06,0.023135561615190606,0.00014751221111241187,0.016498506825162622,0.048344228624960656,-0.010093572761519898,0.00033736356067642914,0.0019478063167945314,0.01689596938514461,0.0003423209108096015,0.1006456352625736,0.024246704331450094,0.2827212806026365,0.2827212806026365,"[0.022189717986268606, 0.024570539166649846]","[0.01581649108656397, 0.017298878517889475]","[0.04271869133905585, 0.053336353028891885]","[2.3245599087863558e-05, 0.0009416760249297987]","[0.015777604472560797, 0.017790167301596268]","[0.09688589102488446, 0.10495152273298378]","[0.018355696798493408, 0.03296257062146892]","[0.27090983992467044, 0.2961805555555555]","[0.27090983992467044, 0.2961805555555555]","[1.0, 1.0]",0.5069825214888145
no_recovery,baseline,4248,0.0,-0.0018864690136343562,0.04184674017631692,-0.1609564605036072,0.2312394876751722,0.05969175368710744,-0.0009283819628649326,-0.007874300056242185,0.018918409208428966,0.08298408343222242,0.03205025949500445,0.15022301191070472,0.417608286252354,0.0,0.0,"[0.03723480203000108, 0.04666554017096688]","[0.2255621919588325, 0.2372382698704166]","[0.05394432340394371, 0.06506689521162337]","[-0.013198789992887058, -0.003600283410005179]","[0.0790291201463477, 0.08734954528084396]","[0.13903225859145277, 0.15984153136541476]","[0.4013123822975518, 0.43292725988700564]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.5398814759352428
interpolation,traditional,4248,1.0,-0.0018864690136343562,0.04184674017631692,-0.01440567889966224,0.03452357459045607,0.048344228624960656,-0.010093572761519898,0.00033736356067642914,0.001076700969739025,0.01708704959818719,0.0003423209108096015,0.1006456352625736,0.10993408662900188,0.2707156308851224,0.2707156308851224,"[0.03723480203000108, 0.04666554017096688]","[0.032484769402607125, 0.03619050420209669]","[0.04271869133905586, 0.053336353028891885]","[2.3245599087863558e-05, 0.0009416760249297987]","[0.016012646076029795, 0.01802283225776149]","[0.09688589102488446, 0.10495152273298378]","[0.09603342749529191, 0.12429967043314501]","[0.25916313559322035, 0.283674670433145]","[0.25916313559322035, 0.283674670433145]","[1.0, 1.0]",0.5527163606853466
ridge_residual,ridge,4248,1.0,0.010618234969474174,0.10455643188321513,0.002448291792653334,0.06596407471615952,0.048344228624960656,-0.010093572761519898,0.00033736356067642914,0.002199014538620793,0.022206151086897292,0.0003423209108096015,0.1006456352625736,0.1370056497175141,0.3015536723163842,0.3015536723163842,"[0.09710546398359757, 0.11038880206361006]","[0.06224283732739853, 0.07005933731703645]","[0.04271869133905585, 0.053336353028891885]","[2.3245599087863558e-05, 0.0009416760249297987]","[0.02036058216358194, 0.024002400151022167]","[0.09688589102488446, 0.10495152273298378]","[0.11838512241054613, 0.15264241996233519]","[0.28742349340866286, 0.31591925612052735]","[0.28742349340866286, 0.31591925612052735]","[1.0, 1.0]",0.655147843779282
cnn_inpaint,1d_cnn,4248,1.0,0.004737138748168945,0.0532036190290047,0.005419970656615305,0.03271594149258775,0.12436780857167053,-0.022798017481381327,-0.002863929316191227,-0.0050126119363117505,0.019014196420814134,-0.004014335602665148,0.04095839195646647,0.1089924670433145,0.567090395480226,0.567090395480226,"[0.05014942208778164, 0.05742535866313897]","[0.030924660064857588, 0.03487800188703122]","[0.11245037398376495, 0.13536186885251603]","[-0.003599670477912495, -0.0020994354297432316]","[0.01747308789964424, 0.021009305006862423]","[0.037226343982236586, 0.04489563056210799]","[0.09273775894538606, 0.12900188323917136]","[0.5491643126177025, 0.5821798493408663]","[0.5491643126177025, 0.5821798493408663]","[1.0, 1.0]",0.991692278735317
