dropout_like_location,stave,amp_bin_label,peak_region,q_template_bin,saturation_proxy,lowering_proxy,p09_taxon_proxy,n_raw_pulses,n_candidates,candidate_fraction,median_notch_deficit_frac,median_q_template_score,median_pileup_score
leading_edge,B2,ge7000,early,q_low,amp_ge_7000,quiet_prepeak,saturation_edge,101207,101207,1.0,0.25169828999765753,0.061793194251995864,0.5788961896656273
leading_edge,B2,5000_7000,early,q_low,amp_lt_7000,quiet_prepeak,ordinary,63895,63895,1.0,0.25068162343226613,0.09487395082633399,0.6372635638874162
leading_edge,B2,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,41291,41291,1.0,0.18133975559718135,0.15697397748771616,0.6123924603165123
leading_edge,B2,3000_5000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,34480,34480,1.0,0.16492086965855288,0.08408568478023738,0.6679096553471904
leading_edge,B2,3000_5000,early,q_low,amp_lt_7000,quiet_prepeak,ordinary,26069,26069,1.0,0.2088734323954052,0.09520578926938532,0.6949462767133563
leading_edge,B2,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,20050,20050,1.0,0.151078116108061,0.16144077924653372,0.6686763061876501
trailing_sample,B2,ge7000,early,q_low,amp_ge_7000,quiet_prepeak,saturation_edge,16469,16469,1.0,0.14096238867174984,0.1125306507763182,0.5478750590770498
leading_edge,B2,5000_7000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,15000,15000,1.0,0.2145110508372705,0.07260579349489248,0.6131787951816032
trailing_sample,B2,ge7000,early,q_mid,amp_ge_7000,quiet_prepeak,saturation_edge,11649,11649,1.0,0.10297766749379653,0.1841367859320291,0.6112401386957436
trailing_sample,B2,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,5516,5516,1.0,0.0921569838201784,0.24471580658562583,0.6366570370075367
leading_edge,B2,ge7000,central,q_mid,amp_ge_7000,quiet_prepeak,saturation_edge,5215,5215,1.0,1.6889659156556904,0.39082830803023133,0.6292213826087691
leading_edge,B2,3000_5000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,4237,4237,1.0,0.1576502732240437,0.17933221853416154,0.6615043344058658
leading_edge,B4,3000_5000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,4118,4118,1.0,0.18399727106526498,0.1041071889297602,0.6825478013751712
