source_unit,source_stratum,s03m_action,n_pair_residuals,n_runs,s03m_sigma68_ns,s03m_sigma68_ci_low_ns,s03m_sigma68_ci_high_ns,support_event_fraction,hgb_minus_traditional_sigma68_ns,hgb_minus_traditional_tail_frac,supporting_method,consumer_native_action,rationale
global,sample_ii_analysis,abstain,11460,7,1.4946665492512594,1.3728834900365752,1.6843914915891929,0.11727748691099477,0.0359660690651491,-0.00512952468846313,gradient_boosted_trees_vs_traditional_hier_amp,diagnostic_abstain,mixed evidence: keep as diagnostic excluded support
sample_ii_amplitude_bin,"(2000.0, 3000.0]",abstain,6922,7,1.56002515847279,1.3815210506135196,1.828244413976396,,,,not_applicable,diagnostic_abstain,mixed evidence: keep as diagnostic excluded support
sample_ii_amplitude_bin,"(4000.0, 7000.0]",abstain,25,6,11.1990250275601,7.165245430453448,18.20499585016696,,,,not_applicable,diagnostic_abstain,mixed evidence: keep as diagnostic excluded support
sample_ii_pair,B4-B6,abstain,3820,7,1.0389011433726834,0.7816356221371649,1.2814945494407255,,,,not_applicable,diagnostic_abstain,mixed evidence: keep as diagnostic excluded support
sample_ii_pair,B4-B8,abstain,3820,7,1.0718734569718085,0.8271634664472736,1.3211776994998896,,,,not_applicable,diagnostic_abstain,mixed evidence: keep as diagnostic excluded support
sample_ii_pair,B6-B8,abstain,3820,7,1.6709650230418571,1.5770114587339945,1.79522767041694,,,,not_applicable,diagnostic_abstain,mixed evidence: keep as diagnostic excluded support
run,63,recalibrate,1110,1,1.4043221273491764,1.3655384791955727,1.546255792416009,0.1189189189189189,0.06599567333139222,-0.030303030303030297,gradient_boosted_trees_vs_traditional_hier_amp,hard_veto,S03m flagged recalibration but consumer-native HGB evidence is not a clean recovery
run,64,abstain,0,0,,,,0.0,,,not_applicable,hard_veto,no or low consumer-native support for a refit
sample_ii_amplitude_bin,"(3000.0, 4000.0]",recalibrate,867,7,1.8142500687082328,1.6571578183397238,1.877504404911832,,,,not_applicable,hard_veto,S03m flagged recalibration but consumer-native HGB evidence is not a clean recovery
sample_ii_amplitude_bin,"(999.999, 1500.0]",recalibrate,1145,7,1.2717107810789638,1.211471133296402,1.290771457989095,,,,not_applicable,hard_veto,S03m flagged recalibration but consumer-native HGB evidence is not a clean recovery
run,61,recalibrate,2799,1,1.7929873649895456,1.744321376553594,1.9220253127343727,0.1318327974276527,-0.0782223041419079,-0.021680216802168,gradient_boosted_trees_vs_traditional_hier_amp,recoverable_hgb_refit,HGB improves excluded-support sigma68 without tail increase at adequate consumer support
