consumer,native_label_source,native_label_method,native_metric,native_value,native_ci_low,native_ci_high,native_role,stratum,n_pair_residuals,candidate_minus_analytic_sigma68_ns,sigma68_delta_ci_low_ns,sigma68_delta_ci_high_ns,candidate_minus_analytic_tail_frac_abs_gt5ns,tail_frac_delta_ci_low,tail_frac_delta_ci_high
charge,S06b charge-energy timing support,phase_conformal_gated_cnn,calibration_loss,0.0534483683133147,0.0414197526181598,0.0704632721501709,best existing uncertainty consumer,all_charge_matched,11460,-0.4436748790174483,-0.860892436013405,-0.2453125909866935,-0.0053228621291448,-0.0092721579184325,-0.00223460520559
energy,S14h G4 energy calibration,geant4_birks_lookup,res68_frac,0.0402439783091376,0.0388568726542925,0.0416063174949488,traditional energy calibration,all_energy_support,11460,-0.4436748790174483,-0.8058171241466829,-0.2530921435473274,-0.0053228621291448,-0.0084586577209528,-0.0022761305780173
pid,S00h calibrated PID-energy support,new_shape_residual_fusion,roc_auc,0.9883375,0.9843353125,0.99361875,best PID-energy support model,all_topology_proxy,11460,-0.4436748790174483,-0.7975045532072742,-0.2433680154291388,-0.0053228621291448,-0.0086580086580086,-0.0021383647798742
pileup,S10h phase-calibrated pileup window,1d_cnn,mean_average_precision,1.0,,,event-level pile-up classifier reference,all_timing_tail_proxy,11460,-0.4436748790174483,-0.8040325308293206,-0.2484487593287346,-0.0053228621291448,-0.0090279225240664,-0.0022776729159893
