method,heldout_run,threshold,clean_efficiency,gross_rejection,n_clean,n_gross
traditional_d_t_cut,58,2.9107784402566033,0.8918918918918919,1.0,37,2
traditional_d_t_cut,59,2.9151187408035417,0.9614457831325302,1.0,415,13
traditional_d_t_cut,60,2.9104808781683444,0.9439252336448598,1.0,428,16
traditional_d_t_cut,61,2.914394197476214,0.9538714991762768,1.0,607,25
traditional_d_t_cut,62,2.9133534904592886,0.9523809523809523,1.0,420,7
traditional_d_t_cut,63,2.910621408175274,0.9381443298969072,1.0,194,9
traditional_d_t_cut,65,2.911845972957085,0.9444444444444444,,54,0
curvature_cross_check,58,3.6566205773050107,0.972972972972973,0.0,37,2
curvature_cross_check,59,3.735322923499614,0.9710843373493976,0.38461538461538464,415,13
curvature_cross_check,60,3.5935105050386844,0.9439252336448598,0.375,428,16
curvature_cross_check,61,3.547166712442724,0.9390444810543658,0.32,607,25
curvature_cross_check,62,3.550124130505132,0.9333333333333333,0.14285714285714285,420,7
curvature_cross_check,63,3.6658880220646566,0.9587628865979382,0.2222222222222222,194,9
curvature_cross_check,65,3.6658880220646566,0.9814814814814815,,54,0
ridge,58,0.10063594282983647,0.8918918918918919,1.0,37,2
ridge,59,0.09467121743976545,0.9301204819277108,1.0,415,13
ridge,60,0.1143364952002167,0.9813084112149533,0.9375,428,16
ridge,61,0.10375021073436173,0.9555189456342669,1.0,607,25
ridge,62,0.09990906110039675,0.9404761904761905,1.0,420,7
ridge,63,0.09975095125612099,0.9278350515463918,1.0,194,9
ridge,65,0.10148855627219695,0.9444444444444444,,54,0
gradient_boosted_trees,58,0.001244687539184775,0.918918918918919,1.0,37,2
gradient_boosted_trees,59,0.001212614370954313,0.9421686746987952,1.0,415,13
gradient_boosted_trees,60,0.0015172412520364266,0.9719626168224299,1.0,428,16
gradient_boosted_trees,61,0.001442251138070412,0.9604612850082372,1.0,607,25
gradient_boosted_trees,62,0.00116774942324943,0.9357142857142857,1.0,420,7
gradient_boosted_trees,63,0.0011819436045724715,0.9226804123711341,1.0,194,9
gradient_boosted_trees,65,0.0013730285077654591,0.9629629629629629,,54,0
mlp,58,0.04956020634223023,0.9459459459459459,1.0,37,2
mlp,59,0.051295829946893724,0.9590361445783132,1.0,415,13
mlp,60,0.045882194372990355,0.9112149532710281,0.9375,428,16
mlp,61,0.06094495934509785,0.985172981878089,0.92,607,25
mlp,62,0.04609626962175059,0.9142857142857143,1.0,420,7
mlp,63,0.048970588799080256,0.9278350515463918,1.0,194,9
mlp,65,0.049259705616131536,0.9074074074074074,,54,0
shape_random_forest,58,0.08162341035013437,0.8918918918918919,1.0,37,2
shape_random_forest,59,0.08142138742241843,0.9397590361445783,1.0,415,13
shape_random_forest,60,0.08276887742355717,0.9509345794392523,1.0,428,16
shape_random_forest,61,0.08385210678986761,0.957166392092257,1.0,607,25
shape_random_forest,62,0.08430651231273767,0.9619047619047619,1.0,420,7
shape_random_forest,63,0.08142054122394156,0.9278350515463918,1.0,194,9
shape_random_forest,65,0.08278470678950307,0.9629629629629629,,54,0
1d_cnn,58,0.4690285727381698,0.8378378378378378,1.0,37,2
1d_cnn,59,0.5042543053627012,0.9686746987951808,0.6923076923076923,415,13
1d_cnn,60,0.49469622373580835,0.9626168224299065,0.9375,428,16
1d_cnn,61,0.5082284241914748,0.9670510708401977,0.72,607,25
1d_cnn,62,0.49787624180316903,0.9642857142857143,0.7142857142857143,420,7
1d_cnn,63,0.4310472011566162,0.8505154639175257,1.0,194,9
1d_cnn,65,0.45680975914001465,0.8148148148148148,,54,0
residual_gated_cnn_new,58,0.1864598371088504,0.8918918918918919,1.0,37,2
residual_gated_cnn_new,59,0.19317149370908734,0.9566265060240964,1.0,415,13
residual_gated_cnn_new,60,0.19799362272024087,0.9649532710280374,0.9375,428,16
residual_gated_cnn_new,61,0.20797332376241678,0.9654036243822076,1.0,607,25
residual_gated_cnn_new,62,0.1846737027168273,0.9404761904761905,1.0,420,7
residual_gated_cnn_new,63,0.18006828427314758,0.8917525773195877,1.0,194,9
residual_gated_cnn_new,65,0.18787764012813568,0.9444444444444444,,54,0
