run,clean,gross,intermediate,gross_fraction_of_extremes
58,37,2,162,0.05128205128205128
59,415,13,1733,0.030373831775700934
60,428,16,1581,0.036036036036036036
61,607,25,1687,0.03955696202531646
62,420,7,1727,0.01639344262295082
63,194,9,842,0.04433497536945813
65,54,0,197,0.0
