pseudo_run,method,n,bias_frac,res68_frac,mae_mev
8,truth_birks_lookup,3365,-0.010642357370029701,0.5929612958900945,28.494024401947435
9,truth_birks_lookup,3365,-0.011106755255958705,0.5876331253513495,28.56102365995266
10,truth_birks_lookup,3365,-0.0066956296498657366,0.584166965734863,28.314787030317454
8,ridge,3365,0.009708551499112851,0.2534024864037389,12.637239554845943
9,ridge,3365,0.012327384833482488,0.256004636679071,12.985108446873886
10,ridge,3365,0.009264835125205605,0.2587795790909172,13.013752865121518
8,gradient_boosted_trees,3365,0.03873642168984174,0.06817743310479846,3.4729719019742236
9,gradient_boosted_trees,3365,0.019867524770095055,0.05376319618928064,2.892577917879187
10,gradient_boosted_trees,3365,0.021295033879933856,0.054307032135461585,2.901893099055594
8,mlp,3365,0.04915445991830205,0.10130828526606579,5.004995205244285
9,mlp,3365,0.025871445955459673,0.08569509557412563,4.34541493037165
10,mlp,3365,0.028998805675772812,0.08581985066719923,4.374702214815191
8,1d_cnn,3365,-0.02483322540721355,0.2411907971356019,12.0653868233821
9,1d_cnn,3365,-0.022153428248523645,0.2416182568944507,12.25857629986289
10,1d_cnn,3365,-0.02186615913384784,0.24036052238939085,12.12397610901192
8,transformer,3365,0.05027361402123434,0.1775558362921146,8.412205794360627
9,transformer,3365,0.035859423590369366,0.17422900159933394,8.344321806447091
10,transformer,3365,0.04589367769835351,0.1710645365474538,8.313973517589725
8,physics_residual_mlp,3365,0.04265021558985081,0.12421745689467771,6.454075300799791
9,physics_residual_mlp,3365,0.02234633523258692,0.11094235160016053,6.122328060125326
10,physics_residual_mlp,3365,0.023344154537841798,0.11027857697251202,6.064704548240948
8,gated_residual_cnn,3365,0.08094920341522373,0.16181324008061584,8.097128531925746
9,gated_residual_cnn,3365,0.05729502511502037,0.15027925434436967,7.654442716915199
10,gated_residual_cnn,3365,0.06046341837249291,0.14800336061980637,7.496343226179503
