method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target
s16e_ml_proxy,0.01,0,2.0224869918990125,3018,False
s16e_ml_proxy,0.01,1,1.4042714064187953,3534,False
s16e_ml_proxy,0.01,2,1.484157398080262,4710,False
s16e_ml_proxy,0.01,-1,1.6369719321326899,0,False
s16e_ml_proxy,0.1,0,2.023289353342902,3018,False
s16e_ml_proxy,0.1,1,1.3996853274057521,3534,False
s16e_ml_proxy,0.1,2,1.4828140680764177,4710,False
s16e_ml_proxy,0.1,-1,1.635262916275024,0,False
s16e_ml_proxy,1.0,0,2.026735589715303,3018,False
s16e_ml_proxy,1.0,1,1.3927031077432006,3534,False
s16e_ml_proxy,1.0,2,1.4819095797026374,4710,False
s16e_ml_proxy,1.0,-1,1.6337827590537135,0,False
s16e_ml_proxy,10.0,0,2.018723763873609,3018,False
s16e_ml_proxy,10.0,1,1.3696084811053533,3534,False
s16e_ml_proxy,10.0,2,1.4703049343722596,4710,False
s16e_ml_proxy,10.0,-1,1.6195457264504072,0,False
s16e_ml_proxy,100.0,0,1.9678447757349857,3018,False
s16e_ml_proxy,100.0,1,1.3259591603250342,3534,False
s16e_ml_proxy,100.0,2,1.4246497419908297,4710,False
s16e_ml_proxy,100.0,-1,1.5728178926836165,0,False
