run,stave,n,pre_line_absmax_median_adc,pre_line_absmax_q90_adc,pre_range_median_adc
58,B4,73,11.333333333333332,699.8666666666659,18.0
58,B6,73,14.857142857142858,720.4666666666667,18.0
58,B8,73,11.0,1055.7333333333331,17.0
59,B4,763,13.333333333333334,723.8000000000003,20.0
59,B6,763,16.0,715.8666666666669,22.0
59,B8,763,12.666666666666668,1178.8000000000025,20.0
60,B4,808,16.0,836.3000000000003,24.0
60,B6,808,15.666666666666668,902.5333333333334,23.0
60,B8,808,13.666666666666666,1337.3666666666668,19.0
61,B4,933,13.333333333333334,709.0,22.0
61,B6,933,16.0,779.7333333333336,21.0
61,B8,933,13.333333333333336,1195.6000000000004,20.0
62,B4,807,14.0,712.6666666666665,22.0
62,B6,807,16.0,748.5333333333333,21.0
62,B8,807,14.0,1186.933333333333,20.0
63,B4,370,13.666666666666666,664.1,21.5
63,B6,370,15.0,621.3000000000001,18.0
63,B8,370,14.333333333333332,1095.4333333333336,20.0
65,B4,66,10.166666666666666,275.16666666666663,17.0
65,B6,66,14.333333333333332,109.5,17.0
65,B8,66,12.0,94.33333333333333,17.0
