feature,coefficient,method,base_method,best_alpha,train_pulses
s02_waveform_feature_0,0.057032824704996786,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_1,-0.08446433272822959,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_2,-0.2153448998114035,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_3,0.3181591770372823,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_4,0.04878572134474887,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_5,0.363807798025012,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_6,-0.0031962619501130062,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_7,-0.3273370497855781,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_8,-0.027810612580874236,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_9,0.19195304707385077,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_10,0.28182674560199356,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_11,-0.06962088024715772,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_12,-0.16787727532105493,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_13,0.20707032096099248,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_14,0.20519822525860168,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_15,0.000593536432549896,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_16,-0.26700826780105924,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_17,-0.2591012321848987,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_18,-0.008871623132025596,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_19,0.7016735958794116,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_20,0.0836856411504229,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_21,-1.9785507570192764,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_22,1.147843136256846,s16e_ml_proxy,template_phase,100.0,11262
s02_waveform_feature_23,0.8307076207626927,s16e_ml_proxy,template_phase,100.0,11262
pre_range_adc,0.053620421697590515,s16e_ml_proxy,template_phase,100.0,11262
pre_std_adc,-0.01660499078912387,s16e_ml_proxy,template_phase,100.0,11262
pre_line_absmax_adc,-0.13063564245589476,s16e_ml_proxy,template_phase,100.0,11262
pre_line_rms_adc,-0.18162929107767076,s16e_ml_proxy,template_phase,100.0,11262
pre_line_slope_adc_per_sample,0.2739296134301925,s16e_ml_proxy,template_phase,100.0,11262
pre_min_adc,0.13434273063825183,s16e_ml_proxy,template_phase,100.0,11262
log1p_pre_range,-0.01941639221980703,s16e_ml_proxy,template_phase,100.0,11262
log1p_line_absmax,-0.021280486332275365,s16e_ml_proxy,template_phase,100.0,11262
proxy_x_log_amp,0.08142434450308271,s16e_ml_proxy,template_phase,100.0,11262
