method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target
s16e_ml_proxy_shuffled,0.01,0,2.5663453116920962,3018,True
s16e_ml_proxy_shuffled,0.01,1,2.847716190955388,3534,True
s16e_ml_proxy_shuffled,0.01,2,2.944545412288613,4710,True
s16e_ml_proxy_shuffled,0.01,-1,2.7862023049786995,0,True
s16e_ml_proxy_shuffled,0.1,0,2.5678000589823227,3018,True
s16e_ml_proxy_shuffled,0.1,1,2.84971866644879,3534,True
s16e_ml_proxy_shuffled,0.1,2,2.9425835049626805,4710,True
s16e_ml_proxy_shuffled,0.1,-1,2.7867007434645976,0,True
s16e_ml_proxy_shuffled,1.0,0,2.569126266678296,3018,True
s16e_ml_proxy_shuffled,1.0,1,2.847082672181317,3534,True
s16e_ml_proxy_shuffled,1.0,2,2.9400271252260906,4710,True
s16e_ml_proxy_shuffled,1.0,-1,2.785412021361901,0,True
s16e_ml_proxy_shuffled,10.0,0,2.5615077229515126,3018,True
s16e_ml_proxy_shuffled,10.0,1,2.8321512817924788,3534,True
s16e_ml_proxy_shuffled,10.0,2,2.9324936070266387,4710,True
s16e_ml_proxy_shuffled,10.0,-1,2.7753842039235437,0,True
s16e_ml_proxy_shuffled,100.0,0,2.547439447131394,3018,True
s16e_ml_proxy_shuffled,100.0,1,2.8119190171360233,3534,True
s16e_ml_proxy_shuffled,100.0,2,2.9119471593199124,4710,True
s16e_ml_proxy_shuffled,100.0,-1,2.7571018745291105,0,True
