method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target
s16e_proxy_timewalk,0.0001,0,1.3051326065755455,3018,False
s16e_proxy_timewalk,0.0001,1,1.4205740383396226,3534,False
s16e_proxy_timewalk,0.0001,2,1.4019563726984332,4710,False
s16e_proxy_timewalk,0.0001,-1,1.375887672537867,0,False
s16e_proxy_timewalk,0.001,0,1.314222370804607,3018,False
s16e_proxy_timewalk,0.001,1,1.4358785076017582,3534,False
s16e_proxy_timewalk,0.001,2,1.4182370296306204,4710,False
s16e_proxy_timewalk,0.001,-1,1.3894459693456618,0,False
s16e_proxy_timewalk,0.01,0,1.3120119485593442,3018,False
s16e_proxy_timewalk,0.01,1,1.443341405962233,3534,False
s16e_proxy_timewalk,0.01,2,1.4197092349690568,4710,False
s16e_proxy_timewalk,0.01,-1,1.3916875298302112,0,False
s16e_proxy_timewalk,0.1,0,1.3144140082396567,3018,False
s16e_proxy_timewalk,0.1,1,1.442529380796022,3534,False
s16e_proxy_timewalk,0.1,2,1.4173397285414249,4710,False
s16e_proxy_timewalk,0.1,-1,1.3914277058590345,0,False
s16e_proxy_timewalk,1.0,0,1.319249591830773,3018,False
s16e_proxy_timewalk,1.0,1,1.4411923266124442,3534,False
s16e_proxy_timewalk,1.0,2,1.414567420093523,4710,False
s16e_proxy_timewalk,1.0,-1,1.3916697795122468,0,False
s16e_proxy_timewalk,10.0,0,1.3159783712919633,3018,False
s16e_proxy_timewalk,10.0,1,1.4410628567985027,3534,False
s16e_proxy_timewalk,10.0,2,1.4145561381735825,4710,False
s16e_proxy_timewalk,10.0,-1,1.3905324554213496,0,False
